"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Yr"
"1","Stacey Arceneaux","F","25","STL","7","0","110","22","56","0.393","0","0","0","22","56","0.393","0.393","6","13","0.462","0","0","32","4","0","0","0","10","50",1962
"2","Paul Arizin*","SF","33","PHW","78","0","2785","611","1490","0.41","0","0","0","611","1490","0.41","0.41","484","601","0.805","0","0","527","201","0","0","0","307","1706",1962
"3","Al Attles*","PG","25","PHW","75","0","2468","343","724","0.474","0","0","0","343","724","0.474","0.474","158","267","0.592","0","0","355","333","0","0","0","279","844",1962
"4","Elgin Baylor*","SF","27","LAL","48","0","2129","680","1588","0.428","0","0","0","680","1588","0.428","0.428","476","631","0.754","0","0","892","222","0","0","0","155","1836",1962
"5","Walt Bellamy*","C","22","CHP","79","0","3344","973","1875","0.519","0","0","0","973","1875","0.519","0.519","549","853","0.644","0","0","1500","210","0","0","0","281","2495",1962
"6","Al Bianchi","PG","29","SYR","80","0","1925","336","847","0.397","0","0","0","336","847","0.397","0.397","154","221","0.697","0","0","281","263","0","0","0","232","826",1962
"7","George Blaney","PG","22","NYK","36","0","363","54","142","0.38","0","0","0","54","142","0.38","0.38","9","17","0.529","0","0","36","45","0","0","0","34","117",1962
"8","Bucky Bockhorn","SG","28","CIN","80","0","3062","531","1234","0.43","0","0","0","531","1234","0.43","0.43","198","251","0.789","0","0","376","366","0","0","0","280","1260",1962
"9","George Bon Salle","PF","26","CHP","3","0","9","2","8","0.25","0","0","0","2","8","0.25","0.25","0","0","0","0","0","2","0","0","0","0","0","4",1962
"10","Bob Boozer","PF","24","CIN","79","0","2488","410","936","0.438","0","0","0","410","936","0.438","0.438","263","372","0.707","0","0","804","130","0","0","0","275","1083",1962
"11","Carl Braun*","PG","34","BOS","48","0","414","78","207","0.377","0","0","0","78","207","0.377","0.377","20","27","0.741","0","0","50","71","0","0","0","49","176",1962
"12","Joe Buckhalter","PF","24","CIN","63","0","728","153","334","0.458","0","0","0","153","334","0.458","0.458","67","108","0.62","0","0","262","43","0","0","0","123","373",1962
"13","Cleveland Buckner","PF","23","NYK","62","0","696","158","367","0.431","0","0","0","158","367","0.431","0.431","83","133","0.624","0","0","236","39","0","0","0","114","399",1962
"14","Dave Budd","SF","23","NYK","79","0","1370","188","431","0.436","0","0","0","188","431","0.436","0.436","138","231","0.597","0","0","345","86","0","0","0","162","514",1962
"15","Ed Burton","F","22","NYK","8","0","28","7","14","0.5","0","0","0","7","14","0.5","0.5","1","4","0.25","0","0","5","1","0","0","0","3","15",1962
"16","Donnie Butcher","PG","25","NYK","47","0","479","48","155","0.31","0","0","0","48","155","0.31","0.31","42","69","0.609","0","0","79","51","0","0","0","63","138",1962
"17","Al Butler","PG","23","TOT","59","0","2016","349","754","0.463","0","0","0","349","754","0.463","0.463","129","182","0.709","0","0","337","205","0","0","0","156","827",1962
"18","Barney Cable","SF","26","TOT","67","0","1861","305","749","0.407","0","0","0","305","749","0.407","0.407","118","181","0.652","0","0","563","115","0","0","0","211","728",1962
"19","Howie Carl","PG","23","CHP","31","0","382","67","201","0.333","0","0","0","67","201","0.333","0.333","36","51","0.706","0","0","39","57","0","0","0","41","170",1962
"20","Wilt Chamberlain*","C","25","PHW","80","0","3882","1597","3159","0.506","0","0","0","1597","3159","0.506","0.506","835","1363","0.613","0","0","2052","192","0","0","0","123","4029",1962
"21","Ed Conlin","SG","28","PHW","70","0","963","128","371","0.345","0","0","0","128","371","0.345","0.345","66","89","0.742","0","0","155","85","0","0","0","118","322",1962
"22","Larry Costello","PG","30","SYR","63","0","1854","310","726","0.427","0","0","0","310","726","0.427","0.427","247","295","0.837","0","0","245","359","0","0","0","220","867",1962
"23","Bob Cousy*","PG","33","BOS","75","0","2114","462","1181","0.391","0","0","0","462","1181","0.391","0.391","251","333","0.754","0","0","261","584","0","0","0","135","1175",1962
"24","Jimmy Darrow","G","24","STL","5","0","34","3","15","0.2","0","0","0","3","15","0.2","0.2","6","7","0.857","0","0","7","6","0","0","0","9","12",1962
"25","Ralph Davis","SG","23","CHP","77","0","1992","364","881","0.413","0","0","0","364","881","0.413","0.413","71","103","0.689","0","0","162","247","0","0","0","187","799",1962
"26","Archie Dees","F-C","25","TOT","21","0","288","51","115","0.443","0","0","0","51","115","0.443","0.443","35","46","0.761","0","0","77","16","0","0","0","33","137",1962
"27","Walter Dukes","C","31","DET","77","0","1896","256","647","0.396","0","0","0","256","647","0.396","0.396","208","291","0.715","0","0","803","125","0","0","0","327","720",1962
"28","Johnny Egan","PG","23","DET","58","0","696","128","301","0.425","0","0","0","128","301","0.425","0.425","64","84","0.762","0","0","86","102","0","0","0","64","320",1962
"29","Rich Eichhorst","G","28","STL","1","0","10","1","2","0.5","0","0","0","1","2","0.5","0.5","0","0","0","0","0","1","3","0","0","0","1","2",1962
"30","Wayne Embry*","C","24","CIN","75","0","2623","564","1210","0.466","0","0","0","564","1210","0.466","0.466","356","516","0.69","0","0","977","182","0","0","0","286","1484",1962
"31","Ray Felix","C","31","LAL","80","0","1478","171","398","0.43","0","0","0","171","398","0.43","0.43","90","130","0.692","0","0","473","55","0","0","0","266","432",1962
"32","Al Ferrari","SG","28","STL","79","0","2046","208","582","0.357","0","0","0","208","582","0.357","0.357","175","219","0.799","0","0","213","313","0","0","0","278","591",1962
"33","Bob Ferry","C","24","DET","80","0","1918","411","939","0.438","0","0","0","411","939","0.438","0.438","286","422","0.678","0","0","503","145","0","0","0","199","1108",1962
"34","Larry Foust","C","33","STL","57","0","1153","204","433","0.471","0","0","0","204","433","0.471","0.471","145","178","0.815","0","0","328","78","0","0","0","186","553",1962
"35","Dave Gambee","SF","24","SYR","80","0","2301","477","1126","0.424","0","0","0","477","1126","0.424","0.424","384","470","0.817","0","0","631","114","0","0","0","275","1338",1962
"36","Tom Gola*","SG","29","PHW","60","0","2462","322","765","0.421","0","0","0","322","765","0.421","0.421","176","230","0.765","0","0","587","295","0","0","0","267","820",1962
"37","Joe Graboski","F-C","32","TOT","38","0","468","77","221","0.348","0","0","0","77","221","0.348","0.348","39","65","0.6","0","0","154","28","0","0","0","62","193",1962
"38","Johnny Green","PF","28","NYK","80","0","2789","507","1164","0.436","0","0","0","507","1164","0.436","0.436","261","434","0.601","0","0","1066","191","0","0","0","265","1275",1962
"39","Si Green","G-F","28","TOT","71","0","2388","341","905","0.377","0","0","0","341","905","0.377","0.377","218","311","0.701","0","0","399","318","0","0","0","226","900",1962
"40","Hal Greer*","SG","25","SYR","71","0","2705","644","1442","0.447","0","0","0","644","1442","0.447","0.447","331","404","0.819","0","0","524","313","0","0","0","252","1619",1962
"41","Gene Guarilia","SF","24","BOS","45","0","367","61","161","0.379","0","0","0","61","161","0.379","0.379","41","64","0.641","0","0","124","11","0","0","0","56","163",1962
"42","Richie Guerin*","SG","29","NYK","78","0","3348","839","1897","0.442","0","0","0","839","1897","0.442","0.442","625","762","0.82","0","0","501","539","0","0","0","299","2303",1962
"43","Cliff Hagan*","SF","30","STL","77","0","2784","701","1490","0.47","0","0","0","701","1490","0.47","0.47","362","439","0.825","0","0","633","370","0","0","0","282","1764",1962
"44","Swede Halbrook","C","29","SYR","64","0","908","152","422","0.36","0","0","0","152","422","0.36","0.36","96","151","0.636","0","0","399","33","0","0","0","179","400",1962
"45","Vern Hatton","G","26","TOT","40","0","898","112","331","0.338","0","0","0","112","331","0.338","0.338","98","125","0.784","0","0","102","99","0","0","0","63","322",1962
"46","Tom Hawkins","SF","25","LAL","79","0","1903","289","704","0.411","0","0","0","289","704","0.411","0.411","143","222","0.644","0","0","514","95","0","0","0","244","721",1962
"47","Tom Heinsohn*","PF","27","BOS","79","0","2383","692","1613","0.429","0","0","0","692","1613","0.429","0.429","358","437","0.819","0","0","747","165","0","0","0","280","1742",1962
"48","Cleo Hill","SG","23","STL","58","0","1050","107","309","0.346","0","0","0","107","309","0.346","0.346","106","137","0.774","0","0","178","114","0","0","0","98","320",1962
"49","Ron Horn","SF","23","STL","3","0","25","1","12","0.083","0","0","0","1","12","0.083","0.083","1","2","0.5","0","0","6","1","0","0","0","4","3",1962
"50","Bailey Howell*","SF","25","DET","79","0","2857","553","1193","0.464","0","0","0","553","1193","0.464","0.464","470","612","0.768","0","0","996","186","0","0","0","317","1576",1962
"51","Hot Rod Hundley","SG","27","LAL","78","0","1492","173","509","0.34","0","0","0","173","509","0.34","0.34","83","127","0.654","0","0","199","290","0","0","0","129","429",1962
"52","Darrall Imhoff","C","23","NYK","76","0","1481","186","482","0.386","0","0","0","186","482","0.386","0.386","80","139","0.576","0","0","470","82","0","0","0","230","452",1962
"53","Andy Johnson","SF","29","CHP","71","0","2193","365","814","0.448","0","0","0","365","814","0.448","0.448","284","452","0.628","0","0","351","228","0","0","0","247","1014",1962
"54","Howie Jolliff","PF","23","LAL","64","0","1094","104","253","0.411","0","0","0","104","253","0.411","0.411","41","78","0.526","0","0","383","76","0","0","0","175","249",1962
"55","K.C. Jones*","PG","29","BOS","80","0","2054","294","724","0.406","0","0","0","294","724","0.406","0.406","147","232","0.634","0","0","298","343","0","0","0","206","735",1962
"56","Sam Jones*","SG","28","BOS","78","0","2388","596","1284","0.464","0","0","0","596","1284","0.464","0.464","243","297","0.818","0","0","458","232","0","0","0","149","1435",1962
