"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Yr"
"1","Jay Arnette","PG","25","CIN","48","0","501","71","196","0.362","0","0","0","71","196","0.362","0.362","42","54","0.778","0","0","54","71","0","0","0","105","184",1964
"2","Al Attles*","PG","27","SFW","70","0","1883","289","640","0.452","0","0","0","289","640","0.452","0.452","185","275","0.673","0","0","236","197","0","0","0","249","763",1964
"3","Dick Barnett","SG","27","LAL","78","0","2620","541","1197","0.452","0","0","0","541","1197","0.452","0.452","351","454","0.773","0","0","250","238","0","0","0","233","1433",1964
"4","John Barnhill","SG","25","STL","74","0","1367","208","505","0.412","0","0","0","208","505","0.412","0.412","70","115","0.609","0","0","157","145","0","0","0","107","486",1964
"5","Elgin Baylor*","SF","29","LAL","78","0","3164","756","1778","0.425","0","0","0","756","1778","0.425","0.425","471","586","0.804","0","0","936","347","0","0","0","235","1983",1964
"6","Zelmo Beaty*","C","24","STL","59","0","1922","287","647","0.444","0","0","0","287","647","0.444","0.444","200","270","0.741","0","0","633","79","0","0","0","262","774",1964
"7","Walt Bellamy*","C","24","BAL","80","0","3394","811","1582","0.513","0","0","0","811","1582","0.513","0.513","537","825","0.651","0","0","1361","126","0","0","0","300","2159",1964
"8","Al Bianchi","PG","31","PHI","78","0","1437","257","684","0.376","0","0","0","257","684","0.376","0.376","109","141","0.773","0","0","147","149","0","0","0","248","623",1964
"9","Bucky Bockhorn","SG","30","CIN","70","0","1670","242","587","0.412","0","0","0","242","587","0.412","0.412","96","126","0.762","0","0","205","173","0","0","0","227","580",1964
"10","Bob Boozer","SF","26","TOT","81","0","2379","468","1096","0.427","0","0","0","468","1096","0.427","0.427","272","376","0.723","0","0","596","96","0","0","0","231","1208",1964
"11","Bill Bridges","PF","24","STL","80","0","1949","268","675","0.397","0","0","0","268","675","0.397","0.397","146","224","0.652","0","0","680","181","0","0","0","269","682",1964
"12","Dave Budd","SF","25","NYK","73","0","1031","128","297","0.431","0","0","0","128","297","0.431","0.431","84","115","0.73","0","0","276","57","0","0","0","130","340",1964
"13","Donnie Butcher","PG","27","TOT","78","0","1971","202","507","0.398","0","0","0","202","507","0.398","0.398","159","256","0.621","0","0","329","244","0","0","0","249","563",1964
"14","Al Butler","PG","25","NYK","76","0","1379","260","616","0.422","0","0","0","260","616","0.422","0.422","138","187","0.738","0","0","168","157","0","0","0","167","658",1964
"15","Barney Cable","SF","28","BAL","71","0","1125","116","290","0.4","0","0","0","116","290","0.4","0.4","28","42","0.667","0","0","301","47","0","0","0","166","260",1964
"16","Wilt Chamberlain*","C","27","SFW","80","0","3689","1204","2298","0.524","0","0","0","1204","2298","0.524","0.524","540","1016","0.531","0","0","1787","403","0","0","0","182","2948",1964
"17","Len Chappell","PF","23","TOT","79","0","2505","531","1185","0.448","0","0","0","531","1185","0.448","0.448","288","403","0.715","0","0","771","83","0","0","0","214","1350",1964
"18","Larry Comley","G","24","BAL","12","0","89","8","37","0.216","0","0","0","8","37","0.216","0.216","9","16","0.563","0","0","19","12","0","0","0","11","25",1964
"19","Gene Conley","PF","33","NYK","46","0","551","74","189","0.392","0","0","0","74","189","0.392","0.392","44","65","0.677","0","0","156","21","0","0","0","124","192",1964
"20","Larry Costello","PG","32","PHI","45","0","1137","191","408","0.468","0","0","0","191","408","0.468","0.468","147","170","0.865","0","0","105","167","0","0","0","150","529",1964
"21","Dave DeBusschere*","SF","23","DET","15","0","304","52","133","0.391","0","0","0","52","133","0.391","0.391","25","43","0.581","0","0","105","23","0","0","0","32","129",1964
"22","Connie Dierking","C","27","PHI","76","0","1286","191","514","0.372","0","0","0","191","514","0.372","0.372","114","169","0.675","0","0","422","50","0","0","0","221","496",1964
"23","Terry Dischinger","SF","23","BAL","80","0","2816","604","1217","0.496","0","0","0","604","1217","0.496","0.496","454","585","0.776","0","0","667","157","0","0","0","321","1662",1964
"24","Bob Duffy","PG","23","TOT","48","0","662","94","229","0.41","0","0","0","94","229","0.41","0.41","44","65","0.677","0","0","61","79","0","0","0","48","232",1964
"25","Johnny Egan","PG","25","TOT","66","0","2326","334","758","0.441","0","0","0","334","758","0.441","0.441","193","243","0.794","0","0","191","358","0","0","0","181","861",1964
"26","Leroy Ellis","C","23","LAL","78","0","1459","200","473","0.423","0","0","0","200","473","0.423","0.423","112","170","0.659","0","0","498","41","0","0","0","192","512",1964
"27","Wayne Embry*","C","26","CIN","80","0","2915","556","1213","0.458","0","0","0","556","1213","0.458","0.458","271","417","0.65","0","0","925","113","0","0","0","325","1383",1964
"28","Mike Farmer","SF","27","STL","76","0","1361","178","438","0.406","0","0","0","178","438","0.406","0.406","68","83","0.819","0","0","225","109","0","0","0","140","424",1964
"29","Bob Ferry","C","26","DET","74","0","1522","298","670","0.445","0","0","0","298","670","0.445","0.445","186","279","0.667","0","0","428","94","0","0","0","174","782",1964
"30","Dave Gambee","SF","26","PHI","41","0","927","149","378","0.394","0","0","0","149","378","0.394","0.394","151","185","0.816","0","0","256","35","0","0","0","161","449",1964
"31","Mel Gibson","G","23","LAL","9","0","53","6","20","0.3","0","0","0","6","20","0.3","0.3","1","2","0.5","0","0","4","6","0","0","0","10","13",1964
"32","Tom Gola*","SG","31","NYK","74","0","2156","258","602","0.429","0","0","0","258","602","0.429","0.429","154","212","0.726","0","0","469","257","0","0","0","278","670",1964
"33","Johnny Green","PF","30","NYK","80","0","2134","482","1026","0.47","0","0","0","482","1026","0.47","0.47","195","392","0.497","0","0","799","157","0","0","0","246","1159",1964
"34","Si Green","PG","30","BAL","75","0","2064","287","691","0.415","0","0","0","287","691","0.415","0.415","198","290","0.683","0","0","282","215","0","0","0","224","772",1964
"35","Jerry Greenspan","SG","22","PHI","20","0","280","32","90","0.356","0","0","0","32","90","0.356","0.356","34","50","0.68","0","0","72","11","0","0","0","54","98",1964
"36","Hal Greer*","SG","27","PHI","80","0","3157","715","1611","0.444","0","0","0","715","1611","0.444","0.444","435","525","0.829","0","0","484","374","0","0","0","291","1865",1964
"37","Richie Guerin*","SG","31","TOT","80","0","2366","351","846","0.415","0","0","0","351","846","0.415","0.415","347","424","0.818","0","0","256","375","0","0","0","276","1049",1964
"38","Cliff Hagan*","SF","32","STL","77","0","2279","572","1280","0.447","0","0","0","572","1280","0.447","0.447","269","331","0.813","0","0","377","193","0","0","0","273","1413",1964
"39","Reggie Harding","C","21","DET","39","0","1158","184","460","0.4","0","0","0","184","460","0.4","0.4","61","98","0.622","0","0","410","52","0","0","0","119","429",1964
"40","Charlie Hardnett","PF","25","BAL","66","0","617","107","260","0.412","0","0","0","107","260","0.412","0.412","84","125","0.672","0","0","251","27","0","0","0","114","298",1964
"41","Jerry Harkness","PG","23","NYK","5","0","59","13","30","0.433","0","0","0","13","30","0.433","0.433","3","8","0.375","0","0","6","6","0","0","0","4","29",1964
"42","John Havlicek*","SF","23","BOS","80","0","2587","640","1535","0.417","0","0","0","640","1535","0.417","0.417","315","422","0.746","0","0","428","238","0","0","0","227","1595",1964
"43","Tom Hawkins","SF","27","CIN","73","0","1770","256","580","0.441","0","0","0","256","580","0.441","0.441","113","188","0.601","0","0","435","74","0","0","0","198","625",1964
"44","Tom Heinsohn*","PF","29","BOS","76","0","2040","487","1223","0.398","0","0","0","487","1223","0.398","0.398","283","342","0.827","0","0","460","183","0","0","0","268","1257",1964
"45","Art Heyman","SG","22","NYK","75","0","2236","432","1003","0.431","0","0","0","432","1003","0.431","0.431","289","422","0.685","0","0","298","256","0","0","0","229","1153",1964
"46","Wayne Hightower","PF","24","SFW","79","0","2536","393","1022","0.385","0","0","0","393","1022","0.385","0.385","260","329","0.79","0","0","566","133","0","0","0","269","1046",1964
"47","Gary Hill","SG","22","SFW","67","0","1015","146","384","0.38","0","0","0","146","384","0.38","0.38","51","77","0.662","0","0","114","103","0","0","0","165","343",1964
"48","Paul Hogue","C","23","TOT","15","0","147","12","30","0.4","0","0","0","12","30","0.4","0.4","2","7","0.286","0","0","31","6","0","0","0","35","26",1964
"49","Tom Hoover","C","23","NYK","59","0","988","102","247","0.413","0","0","0","102","247","0.413","0.413","81","132","0.614","0","0","331","36","0","0","0","185","285",1964
"50","Bailey Howell*","SF","27","DET","77","0","2700","598","1267","0.472","0","0","0","598","1267","0.472","0.472","470","581","0.809","0","0","776","205","0","0","0","290","1666",1964
"51","Darrall Imhoff","C","25","DET","58","0","871","104","251","0.414","0","0","0","104","251","0.414","0.414","69","114","0.605","0","0","283","56","0","0","0","167","277",1964
"52","Gus Johnson*","PF","25","BAL","78","0","2847","571","1329","0.43","0","0","0","571","1329","0.43","0.43","210","319","0.658","0","0","1064","169","0","0","0","321","1352",1964
"53","K.C. Jones*","PG","31","BOS","80","0","2424","283","722","0.392","0","0","0","283","722","0.392","0.392","88","168","0.524","0","0","372","407","0","0","0","253","654",1964
"54","Sam Jones*","SG","30","BOS","76","0","2381","612","1359","0.45","0","0","0","612","1359","0.45","0.45","249","318","0.783","0","0","349","202","0","0","0","192","1473",1964
"55","Willie Jones","PG","27","DET","77","0","1539","265","680","0.39","0","0","0","265","680","0.39","0.39","100","141","0.709","0","0","253","172","0","0","0","211","630",1964
"56","Red Kerr","C","31","PHI","80","0","2938","536","1250","0.429","0","0","0","536","1250","0.429","0.429","268","357","0.751","0","0","1017","275","0","0","0","187","1340",1964
"57","Jim King","PG","22","LAL","60","0","762","84","198","0.424","0","0","0","84","198","0.424","0.424","66","101","0.653","0","0","113","110","0","0","0","99","234",1964
"58","Don Kojis","SF","25","BAL","78","0","1148","203","484","0.419","0","0","0","203","484","0.419","0.419","82","146","0.562","0","0","309","57","0","0","0","123","488",1964
"59","Jim Krebs","C","28","LAL","68","0","975","134","357","0.375","0","0","0","134","357","0.375","0.375","65","85","0.765","0","0","283","49","0","0","0","166","333",1964
"60","Rudy LaRusso","PF","26","LAL","79","0","2746","337","776","0.434","0","0","0","337","776","0.434","0.434","298","397","0.751","0","0","800","190","0","0","0","268","972",1964
"61","George Lee","SF","27","SFW","54","0","522","64","169","0.379","0","0","0","64","169","0.379","0.379","47","71","0.662","0","0","97","25","0","0","0","67","175",1964
"62","Jim Loscutoff","SF","33","BOS","53","0","451","56","182","0.308","0","0","0","56","182","0.308","0.308","18","31","0.581","0","0","131","25","0","0","0","90","130",1964
"63","Kevin Loughery","SG","23","TOT","66","0","1459","236","631","0.374","0","0","0","236","631","0.374","0.374","126","177","0.712","0","0","138","182","0","0","0","175","598",1964
"64","Clyde Lovellette*","C","34","BOS","45","0","437","128","305","0.42","0","0","0","128","305","0.42","0.42","45","57","0.789","0","0","126","24","0","0","0","100","301",1964
"65","Jerry Lucas*","PF","23","CIN","79","0","3273","545","1035","0.527","0","0","0","545","1035","0.527","0.527","310","398","0.779","0","0","1375","204","0","0","0","300","1400",1964
"66","Johnny McCarthy","PG","29","BOS","28","0","206","16","48","0.333","0","0","0","16","48","0.333","0.333","5","13","0.385","0","0","35","24","0","0","0","42","37",1964
"67","Bill McGill","C","24","TOT","74","0","1784","456","937","0.487","0","0","0","456","937","0.487","0.487","204","282","0.723","0","0","414","121","0","0","0","217","1116",1964
"68","Tom Meschery","SF","25","SFW","80","0","2422","436","951","0.458","0","0","0","436","951","0.458","0.458","207","295","0.702","0","0","612","149","0","0","0","288","1079",1964
"69","Eddie Miles","SG","23","DET","60","0","811","131","371","0.353","0","0","0","131","371","0.353","0.353","62","87","0.713","0","0","95","58","0","0","0","92","324",1964
"70","Jackie Moreland","PF","25","DET","78","0","1780","272","639","0.426","0","0","0","272","639","0.426","0.426","164","210","0.781","0","0","405","121","0","0","0","268","708",1964
