"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Yr"
"1","Zaid Abdul-Aziz","PF","23","MIL","80","0","1637","237","546","0.434","0","0","0","237","546","0.434","0.434","119","185","0.643","0","0","603","62","0","0","0","167","593",1970
"2","Kareem Abdul-Jabbar*","C","22","MIL","82","0","3534","938","1810","0.518","0","0","0","938","1810","0.518","0.518","485","743","0.653","0","0","1190","337","0","0","0","283","2361",1970
"3","Rick Adelman","PG","23","SDR","35","0","717","96","247","0.389","0","0","0","96","247","0.389","0.389","68","91","0.747","0","0","81","113","0","0","0","90","260",1970
"4","Lucius Allen","PG","22","SEA","81","0","1817","306","692","0.442","0","0","0","306","692","0.442","0.442","182","249","0.731","0","0","211","342","0","0","0","201","794",1970
"5","Wally Anderzunas","SF","24","CIN","44","0","370","65","166","0.392","0","0","0","65","166","0.392","0.392","29","46","0.63","0","0","82","9","0","0","0","47","159",1970
"6","John Arthurs","G","22","MIL","11","0","86","12","35","0.343","0","0","0","12","35","0.343","0.343","11","15","0.733","0","0","14","17","0","0","0","15","35",1970
"7","Al Attles*","PG","33","SFW","45","0","676","78","202","0.386","0","0","0","78","202","0.386","0.386","75","113","0.664","0","0","74","142","0","0","0","103","231",1970
"8","Jim Barnes","C","28","BOS","77","0","1049","178","434","0.41","0","0","0","178","434","0.41","0.41","95","128","0.742","0","0","350","52","0","0","0","229","451",1970
"9","Dick Barnett","SG","33","NYK","82","0","2772","494","1039","0.475","0","0","0","494","1039","0.475","0.475","232","325","0.714","0","0","221","298","0","0","0","220","1220",1970
"10","Jim Barnett","SG","25","SDR","80","0","2105","450","998","0.451","0","0","0","450","998","0.451","0.451","289","366","0.79","0","0","305","287","0","0","0","222","1189",1970
"11","Johnny Baum","SF","23","CHI","3","0","13","3","11","0.273","0","0","0","3","11","0.273","0.273","0","0","0","0","0","4","0","0","0","0","1","6",1970
"12","Elgin Baylor*","SF","35","LAL","54","0","2213","511","1051","0.486","0","0","0","511","1051","0.486","0.486","276","357","0.773","0","0","559","292","0","0","0","132","1298",1970
"13","Butch Beard","PG","22","ATL","72","0","941","183","392","0.467","0","0","0","183","392","0.467","0.467","135","163","0.828","0","0","140","121","0","0","0","124","501",1970
"14","Walt Bellamy*","C","30","TOT","79","0","2028","351","671","0.523","0","0","0","351","671","0.523","0.523","215","373","0.576","0","0","707","143","0","0","0","260","917",1970
"15","Dave Bing*","PG","26","DET","70","0","2334","575","1295","0.444","0","0","0","575","1295","0.444","0.444","454","580","0.783","0","0","299","418","0","0","0","196","1604",1970
"16","John Block","PF","25","SDR","82","0","2152","453","1025","0.442","0","0","0","453","1025","0.442","0.442","287","367","0.782","0","0","609","137","0","0","0","275","1193",1970
"17","Tom Boerwinkle","C","24","CHI","81","0","2335","348","775","0.449","0","0","0","348","775","0.449","0.449","150","226","0.664","0","0","1016","229","0","0","0","255","846",1970
"18","Bob Boozer","PF","32","SEA","82","0","2549","493","1005","0.491","0","0","0","493","1005","0.491","0.491","263","320","0.822","0","0","717","110","0","0","0","237","1249",1970
"19","Nate Bowman","C","26","NYK","81","0","744","98","235","0.417","0","0","0","98","235","0.417","0.417","41","79","0.519","0","0","257","46","0","0","0","189","237",1970
"20","Bill Bradley*","SF","26","NYK","67","0","2098","413","897","0.46","0","0","0","413","897","0.46","0.46","145","176","0.824","0","0","239","268","0","0","0","219","971",1970
"21","Bill Bridges","PF","30","ATL","82","0","3269","443","932","0.475","0","0","0","443","932","0.475","0.475","331","451","0.734","0","0","1181","345","0","0","0","292","1217",1970
"22","Em Bryant","PG","31","BOS","71","0","1617","210","520","0.404","0","0","0","210","520","0.404","0.404","135","181","0.746","0","0","269","231","0","0","0","201","555",1970
"23","Joe Caldwell","SG","28","ATL","82","0","2857","674","1329","0.507","0","0","0","674","1329","0.507","0.507","379","551","0.688","0","0","407","287","0","0","0","255","1727",1970
"24","Fred Carter","SG","24","BAL","76","0","1219","157","439","0.358","0","0","0","157","439","0.358","0.358","80","116","0.69","0","0","192","121","0","0","0","137","394",1970
"25","Wilt Chamberlain*","C","33","LAL","12","0","505","129","227","0.568","0","0","0","129","227","0.568","0.568","70","157","0.446","0","0","221","49","0","0","0","31","328",1970
"26","Jerry Chambers","SF","26","PHO","79","0","1139","283","658","0.43","0","0","0","283","658","0.43","0.43","91","125","0.728","0","0","219","54","0","0","0","162","657",1970
