"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Yr"
"1","Zaid Abdul-Aziz","C","30","BUF","22","0","195","25","74","0.338","0","0","0","25","74","0.338","0.338","33","43","0.767","41","49","90","7","3","9","0","21","83",1977
"2","Kareem Abdul-Jabbar*","C","29","LAL","82","0","3016","888","1533","0.579","0","0","0","888","1533","0.579","0.579","376","536","0.701","266","824","1090","319","101","261","0","262","2152",1977
"3","Tom Abernethy","SF","22","LAL","70","0","1378","169","349","0.484","0","0","0","169","349","0.484","0.484","101","134","0.754","113","178","291","98","49","10","0","118","439",1977
"4","Alvan Adams","C","22","PHO","72","0","2278","522","1102","0.474","0","0","0","522","1102","0.474","0.474","252","334","0.754","180","472","652","322","95","87","0","260","1296",1977
"5","Don Adams","SF","29","BUF","77","0","1710","216","526","0.411","0","0","0","216","526","0.411","0.411","129","173","0.746","130","241","371","150","74","16","0","201","561",1977
"6","Lucius Allen","PG","29","LAL","78","0","2482","472","1035","0.456","0","0","0","472","1035","0.456","0.456","195","252","0.774","58","193","251","405","116","19","0","183","1139",1977
"7","Jerome Anderson","SG","23","IND","27","0","164","26","59","0.441","0","0","0","26","59","0.441","0.441","14","20","0.7","9","3","12","10","6","2","0","26","66",1977
"8","Tiny Archibald*","PG","28","NYN","34","0","1277","250","560","0.446","0","0","0","250","560","0.446","0.446","197","251","0.785","22","58","80","254","59","11","0","77","697",1977
"9","Jim Ard","C","28","BOS","63","0","969","96","254","0.378","0","0","0","96","254","0.378","0.378","49","76","0.645","77","219","296","53","18","28","0","128","241",1977
"10","Bird Averitt","SG","24","BUF","75","0","1136","234","619","0.378","0","0","0","234","619","0.378","0.378","121","169","0.716","20","58","78","134","30","5","0","127","589",1977
"11","Dennis Awtrey","C","28","PHO","72","0","1760","160","373","0.429","0","0","0","160","373","0.429","0.429","91","126","0.722","111","245","356","182","23","31","0","170","411",1977
"12","Mike Bantom","PF-SF","25","TOT","77","0","1909","361","755","0.478","0","0","0","361","755","0.478","0.478","224","310","0.723","184","287","471","102","63","49","0","233","946",1977
"13","Tom Barker","C","21","ATL","59","0","1354","182","436","0.417","0","0","0","182","436","0.417","0.417","112","164","0.683","111","290","401","60","33","41","0","223","476",1977
"14","Marvin Barnes","PF","24","DET","53","0","989","202","452","0.447","0","0","0","202","452","0.447","0.447","106","156","0.679","69","184","253","45","38","33","0","139","510",1977
"15","Jim Barnett","SG","32","PHI","16","0","231","28","64","0.438","0","0","0","28","64","0.438","0.438","10","18","0.556","7","7","14","23","4","0","0","28","66",1977
"16","Norton Barnhill","SG","23","SEA","4","0","10","2","6","0.333","0","0","0","2","6","0.333","0.333","0","0","0","2","1","3","1","0","0","0","5","4",1977
"17","Mike Barr","SG","26","KCK","73","0","1224","122","279","0.437","0","0","0","122","279","0.437","0.437","41","57","0.719","33","97","130","175","52","18","0","96","285",1977
"18","Rick Barry*","SF","32","GSW","79","0","2904","682","1551","0.44","0","0","0","682","1551","0.44","0.44","359","392","0.916","73","349","422","475","172","58","0","194","1723",1977
"19","Tim Bassett","PF","25","NYN","76","0","2442","293","739","0.396","0","0","0","293","739","0.396","0.396","101","177","0.571","175","466","641","109","95","53","0","246","687",1977
"20","Butch Beard","PG","29","NYK","70","0","1082","148","293","0.505","0","0","0","148","293","0.505","0.505","75","109","0.688","50","113","163","144","57","5","0","137","371",1977
"21","Byron Beck","PF","32","DEN","53","0","480","107","246","0.435","0","0","0","107","246","0.435","0.435","36","44","0.818","45","51","96","33","15","1","0","59","250",1977
"22","Ron Behagen","PF","26","NOJ","60","0","1170","213","509","0.418","0","0","0","213","509","0.418","0.418","90","126","0.714","144","287","431","83","41","19","0","166","516",1977
