"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Yr"
"1","Bud Acton","SF","26","SDR","23","0","195","29","74","0.392","0","0","0","29","74","0.392","0.392","19","29","0.655","0","0","47","11","0","0","0","35","77",1968
"2","Henry Akin","C","23","SEA","36","0","259","46","137","0.336","0","0","0","46","137","0.336","0.336","20","31","0.645","0","0","57","14","0","0","0","48","112",1968
"3","Cliff Anderson","SG","23","LAL","18","0","94","7","29","0.241","0","0","0","7","29","0.241","0.241","12","28","0.429","0","0","11","17","0","0","0","18","26",1968
"4","Al Attles*","PG","31","SFW","67","0","1992","252","540","0.467","0","0","0","252","540","0.467","0.467","150","216","0.694","0","0","276","390","0","0","0","284","654",1968
"5","Jim Barnes","PF","26","TOT","79","0","1425","221","499","0.443","0","0","0","221","499","0.443","0.443","133","191","0.696","0","0","415","55","0","0","0","262","575",1968
"6","Dick Barnett","SG","31","NYK","81","0","2488","559","1159","0.482","0","0","0","559","1159","0.482","0.482","343","440","0.78","0","0","238","242","0","0","0","222","1461",1968
"7","Jim Barnett","SG","23","SDR","47","0","1068","179","456","0.393","0","0","0","179","456","0.393","0.393","84","118","0.712","0","0","155","134","0","0","0","101","442",1968
"8","John Barnhill","PG","29","SDR","75","0","1883","295","700","0.421","0","0","0","295","700","0.421","0.421","154","234","0.658","0","0","173","259","0","0","0","143","744",1968
"9","Elgin Baylor*","SF","33","LAL","77","0","3029","757","1709","0.443","0","0","0","757","1709","0.443","0.443","488","621","0.786","0","0","941","355","0","0","0","232","2002",1968
"10","Zelmo Beaty*","C","28","STL","82","0","3068","639","1310","0.488","0","0","0","639","1310","0.488","0.488","455","573","0.794","0","0","959","174","0","0","0","295","1733",1968
"11","Walt Bellamy*","C","28","NYK","82","0","2695","511","944","0.541","0","0","0","511","944","0.541","0.541","350","529","0.662","0","0","961","164","0","0","0","259","1372",1968
"12","Dave Bing*","PG","24","DET","79","0","3209","835","1893","0.441","0","0","0","835","1893","0.441","0.441","472","668","0.707","0","0","373","509","0","0","0","254","2142",1968
"13","John Block","C","23","SDR","52","0","1805","366","865","0.423","0","0","0","366","865","0.423","0.423","316","394","0.802","0","0","571","71","0","0","0","189","1048",1968
"14","Bob Boozer","PF","30","CHI","77","0","2988","622","1265","0.492","0","0","0","622","1265","0.492","0.492","411","535","0.768","0","0","756","121","0","0","0","229","1655",1968
"15","Nate Bowman","C","24","NYK","42","0","272","52","134","0.388","0","0","0","52","134","0.388","0.388","10","15","0.667","0","0","113","20","0","0","0","69","114",1968
"16","Bill Bradley*","SF","24","NYK","45","0","874","142","341","0.416","0","0","0","142","341","0.416","0.416","76","104","0.731","0","0","113","137","0","0","0","138","360",1968
"17","Bill Bridges","PF","28","STL","82","0","3197","466","1009","0.462","0","0","0","466","1009","0.462","0.462","347","484","0.717","0","0","1102","253","0","0","0","366","1279",1968
"18","Tyrone Britt","SG","23","SDR","11","0","84","13","34","0.382","0","0","0","13","34","0.382","0.382","2","3","0.667","0","0","15","12","0","0","0","10","28",1968
"19","Em Bryant","PG","29","NYK","77","0","968","112","291","0.385","0","0","0","112","291","0.385","0.385","59","86","0.686","0","0","133","134","0","0","0","173","283",1968
