"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Yr"
"1","Don Ackerman","PG","23","NYK","28","0","220","14","63","0.222","0","0","0","14","63","0.222","0.222","15","28","0.536","0","0","15","23","0","0","0","43","43",1954
"2","Don Asmonga","G","25","BLB","7","0","46","2","15","0.133","0","0","0","2","15","0.133","0.133","1","1","1","0","0","1","5","0","0","0","12","5",1954
"3","Jim Baechtold","SF","26","NYK","70","0","1627","170","465","0.366","0","0","0","170","465","0.366","0.366","134","177","0.757","0","0","183","117","0","0","0","195","474",1954
"4","Don Barksdale*","PF","30","BOS","63","0","1358","156","415","0.376","0","0","0","156","415","0.376","0.376","149","225","0.662","0","0","345","117","0","0","0","213","461",1954
"5","Leo Barnhorst","F-G","29","TOT","72","0","2064","199","588","0.338","0","0","0","199","588","0.338","0.338","63","88","0.716","0","0","297","226","0","0","0","203","461",1954
"6","Ernie Barrett","SG","24","BOS","59","0","641","60","191","0.314","0","0","0","60","191","0.314","0.314","14","25","0.56","0","0","100","55","0","0","0","116","134",1954
"7","Ernie Beck","SG","22","PHW","15","0","422","39","142","0.275","0","0","0","39","142","0.275","0.275","34","43","0.791","0","0","50","34","0","0","0","29","112",1954
"8","Irv Bemoras","SF","23","MLH","69","0","1496","185","505","0.366","0","0","0","185","505","0.366","0.366","139","208","0.668","0","0","214","79","0","0","0","152","509",1954
"9","Bill Bolger","SF","22","BLB","20","0","202","24","59","0.407","0","0","0","24","59","0.407","0.407","8","13","0.615","0","0","36","11","0","0","0","27","56",1954
"10","Vince Boryla","SF","26","NYK","52","0","1522","175","525","0.333","0","0","0","175","525","0.333","0.333","70","81","0.864","0","0","130","77","0","0","0","128","420",1954
"11","Bob Brannum","PF","27","BOS","71","0","1729","140","453","0.309","0","0","0","140","453","0.309","0.309","129","206","0.626","0","0","509","144","0","0","0","280","409",1954
"12","Carl Braun*","SG","26","NYK","72","0","2373","354","884","0.4","0","0","0","354","884","0.4","0.4","354","429","0.825","0","0","246","209","0","0","0","259","1062",1954
"13","Frankie Brian","SG","30","FTW","64","0","973","132","352","0.375","0","0","0","132","352","0.375","0.375","137","182","0.753","0","0","79","92","0","0","0","100","401",1954
"14","Bill Calhoun","SF","26","MLH","72","0","2370","190","545","0.349","0","0","0","190","545","0.349","0.349","214","292","0.733","0","0","274","189","0","0","0","151","594",1954
"15","Cal Christensen","SF","26","ROC","70","0","1654","137","395","0.347","0","0","0","137","395","0.347","0.347","138","261","0.529","0","0","395","107","0","0","0","196","412",1954
"16","Nat Clifton*","PF","31","NYK","72","0","2179","257","699","0.368","0","0","0","257","699","0.368","0.368","174","277","0.628","0","0","528","176","0","0","0","215","688",1954
"17","Jack Coleman","PF","29","ROC","71","0","2377","289","714","0.405","0","0","0","289","714","0.405","0.405","108","181","0.597","0","0","589","158","0","0","0","201","686",1954
"18","Chuck Cooper*","SF","27","BOS","70","0","1101","78","261","0.299","0","0","0","78","261","0.299","0.299","78","116","0.672","0","0","304","74","0","0","0","150","234",1954
"19","Bob Cousy*","PG","25","BOS","72","0","2857","486","1262","0.385","0","0","0","486","1262","0.385","0.385","411","522","0.787","0","0","394","518","0","0","0","201","1383",1954
"20","Bob Davies*","PG","34","ROC","72","0","2137","288","777","0.371","0","0","0","288","777","0.371","0.371","311","433","0.718","0","0","194","323","0","0","0","224","887",1954
"21","Walt Davis","PF","23","PHW","68","0","1568","167","455","0.367","0","0","0","167","455","0.367","0.367","65","101","0.644","0","0","435","58","0","0","0","207","399",1954
"22","Bob Donham","SG","27","BOS","68","0","1451","141","315","0.448","0","0","0","141","315","0.448","0.448","118","213","0.554","0","0","267","186","0","0","0","235","400",1954
"23","Gene Dyker","F","23","MLH","11","0","91","6","26","0.231","0","0","0","6","26","0.231","0.231","4","8","0.5","0","0","16","5","0","0","0","21","16",1954
"24","Ed Earle","PF","26","SYR","2","0","12","1","2","0.5","0","0","0","1","2","0.5","0.5","2","4","0.5","0","0","2","0","0","0","0","0","4",1954
"25","Ray Felix","C","23","BLB","72","0","2672","410","983","0.417","0","0","0","410","983","0.417","0.417","449","704","0.638","0","0","958","82","0","0","0","253","1269",1954
"26","Danny Finn","PG","25","PHW","68","0","1562","170","495","0.343","0","0","0","170","495","0.343","0.343","126","196","0.643","0","0","216","265","0","0","0","215","466",1954
"27","Larry Foust","C","25","FTW","72","0","2693","376","919","0.409","0","0","0","376","919","0.409","0.409","338","475","0.712","0","0","967","161","0","0","0","258","1090",1954
"28","Jim Fritsche","PF","22","TOT","68","0","1221","116","379","0.306","0","0","0","116","379","0.306","0.306","49","68","0.721","0","0","217","73","0","0","0","103","281",1954
"29","Joe Fulks*","PF","32","PHW","61","0","501","61","229","0.266","0","0","0","61","229","0.266","0.266","28","49","0.571","0","0","101","28","0","0","0","90","150",1954
"30","Bill Gabor","SG","31","SYR","61","0","1211","204","551","0.37","0","0","0","204","551","0.37","0.37","139","194","0.716","0","0","96","162","0","0","0","183","547",1954
"31","Harry Gallatin*","PF","26","NYK","72","0","2690","258","639","0.404","0","0","0","258","639","0.404","0.404","433","552","0.784","0","0","1098","153","0","0","0","208","949",1954
"32","Jack George","PG","25","PHW","71","0","2648","259","736","0.352","0","0","0","259","736","0.352","0.352","157","266","0.59","0","0","386","312","0","0","0","210","675",1954
"33","Bato Govedarica","PG","25","SYR","23","0","258","25","79","0.316","0","0","0","25","79","0.316","0.316","25","37","0.676","0","0","18","24","0","0","0","44","75",1954
"34","Joe Graboski","PF","24","PHW","71","0","2759","354","1000","0.354","0","0","0","354","1000","0.354","0.354","236","350","0.674","0","0","670","163","0","0","0","223","944",1954
"35","Norm Grekin","F","23","PHW","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",1954
"36","Alex Hannum*","PF","30","ROC","72","0","1707","175","503","0.348","0","0","0","175","503","0.348","0.348","102","164","0.622","0","0","350","105","0","0","0","279","452",1954
"37","Rollen Hans","SG","22","BLB","67","0","1556","191","515","0.371","0","0","0","191","515","0.371","0.371","101","180","0.561","0","0","160","181","0","0","0","172","483",1954
"38","Bob Harris","SF","26","BOS","71","0","1898","156","409","0.381","0","0","0","156","409","0.381","0.381","108","172","0.628","0","0","517","94","0","0","0","224","420",1954
"39","Bob Harrison","SG","26","TOT","64","0","1443","144","449","0.321","0","0","0","144","449","0.321","0.321","94","158","0.595","0","0","130","139","0","0","0","218","382",1954
"40","Lew Hitch","PF","24","MLH","72","0","2452","221","603","0.367","0","0","0","221","603","0.367","0.367","133","208","0.639","0","0","691","141","0","0","0","176","575",1954
"41","Paul Hoffman","PG","28","BLB","72","0","2505","253","761","0.332","0","0","0","253","761","0.332","0.332","217","303","0.716","0","0","486","285","0","0","0","271","723",1954
"42","Jim Holstein","SF","23","MNL","70","0","1155","88","288","0.306","0","0","0","88","288","0.306","0.306","64","112","0.571","0","0","204","79","0","0","0","140","240",1954
"43","Red Holzman*","PG","33","MLH","51","0","649","74","224","0.33","0","0","0","74","224","0.33","0.33","48","73","0.658","0","0","46","75","0","0","0","73","196",1954
"44","Bob Houbregs*","PF","21","TOT","70","0","1970","209","562","0.372","0","0","0","209","562","0.372","0.372","190","266","0.714","0","0","375","123","0","0","0","209","608",1954
"45","Mel Hutchins","PF","25","FTW","72","0","2934","295","736","0.401","0","0","0","295","736","0.401","0.401","151","223","0.677","0","0","695","210","0","0","0","229","741",1954
"46","Neil Johnston*","C","24","PHW","72","0","3296","591","1317","0.449","0","0","0","591","1317","0.449","0.449","577","772","0.747","0","0","797","203","0","0","0","259","1759",1954
"47","Billy Kenville","PG","23","SYR","72","0","1405","149","388","0.384","0","0","0","149","388","0.384","0.384","136","182","0.747","0","0","247","122","0","0","0","138","434",1954
"48","George King","PG","25","SYR","72","0","2370","280","744","0.376","0","0","0","280","744","0.376","0.376","257","410","0.627","0","0","268","272","0","0","0","179","817",1954
"49","Dick Knostman","C","22","SYR","5","0","47","3","10","0.3","0","0","0","3","10","0.3","0.3","7","11","0.636","0","0","17","6","0","0","0","9","13",1954
"50","Bob Lavoy","PF","27","TOT","68","0","1277","135","356","0.379","0","0","0","135","356","0.379","0.379","94","129","0.729","0","0","317","78","0","0","0","215","364",1954
"51","Earl Lloyd*","SF","25","SYR","72","0","2206","249","666","0.374","0","0","0","249","666","0.374","0.374","156","209","0.746","0","0","529","115","0","0","0","303","654",1954
"52","Don Lofgran","SF","24","MLH","21","0","380","35","112","0.313","0","0","0","35","112","0.313","0.313","32","49","0.653","0","0","64","26","0","0","0","34","102",1954
"53","Clyde Lovellette*","C","24","MNL","72","0","1255","237","560","0.423","0","0","0","237","560","0.423","0.423","114","164","0.695","0","0","419","51","0","0","0","210","588",1954
"54","Jim Luisi","PG","25","BLB","31","0","367","31","95","0.326","0","0","0","31","95","0.326","0.326","27","41","0.659","0","0","25","35","0","0","0","45","89",1954
"55","Ed Macauley*","C","25","BOS","71","0","2792","462","950","0.486","0","0","0","462","950","0.486","0.486","420","554","0.758","0","0","571","271","0","0","0","168","1344",1954
"56","Mo Mahoney","F","26","BLB","2","0","11","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","2","1","0","0","0","0","0",1954
"57","Slater Martin*","PG","28","MNL","69","0","2472","254","654","0.388","0","0","0","254","654","0.388","0.388","176","243","0.724","0","0","166","253","0","0","0","198","684",1954
"58","Al Masino","PG","25","TOT","27","0","181","26","62","0.419","0","0","0","26","62","0.419","0.419","30","49","0.612","0","0","28","22","0","0","0","44","82",1954
"59","Alfred McGuire*","PG","25","NYK","64","0","849","58","177","0.328","0","0","0","58","177","0.328","0.328","58","133","0.436","0","0","121","103","0","0","0","144","174",1954
"60","Dick McGuire*","PG","28","NYK","68","0","2343","201","493","0.408","0","0","0","201","493","0.408","0.408","220","345","0.638","0","0","310","354","0","0","0","199","622",1954
"61","Jack McMahon","PG","25","ROC","71","0","1891","250","691","0.362","0","0","0","250","691","0.362","0.362","211","303","0.696","0","0","211","238","0","0","0","221","711",1954
"62","Monk Meineke","PF","23","FTW","71","0","1466","135","393","0.344","0","0","0","135","393","0.344","0.344","136","169","0.805","0","0","372","81","0","0","0","214","406",1954
"63","Ed Mikan","C","28","BOS","9","0","71","8","24","0.333","0","0","0","8","24","0.333","0.333","5","9","0.556","0","0","20","3","0","0","0","15","21",1954
"64","George Mikan*","C","29","MNL","72","0","2362","441","1160","0.38","0","0","0","441","1160","0.38","0.38","424","546","0.777","0","0","1028","174","0","0","0","268","1306",1954
"65","Vern Mikkelsen*","PF","25","MNL","72","0","2247","288","771","0.374","0","0","0","288","771","0.374","0.374","221","298","0.742","0","0","615","119","0","0","0","264","797",1954
"66","Eddie Miller","C","22","BLB","72","0","1657","244","600","0.407","0","0","0","244","600","0.407","0.407","231","317","0.729","0","0","537","95","0","0","0","194","719",1954
"67","Jack Molinas","SF","22","FTW","32","0","958","114","292","0.39","0","0","0","114","292","0.39","0.39","142","187","0.759","0","0","228","51","0","0","0","83","370",1954
"68","Ken Murray","SG","25","FTW","49","0","528","53","195","0.272","0","0","0","53","195","0.272","0.272","43","60","0.717","0","0","65","56","0","0","0","60","149",1954
"69","Jim Neal","C","23","SYR","67","0","899","117","369","0.317","0","0","0","117","369","0.317","0.317","78","132","0.591","0","0","257","24","0","0","0","139","312",1954
"70","Jack Nichols","C-F","27","TOT","75","0","1607","163","528","0.309","0","0","0","163","528","0.309","0.309","113","152","0.743","0","0","363","104","0","0","0","187","439",1954
"71","Paul Nolen","C","24","BLB","1","0","2","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0",1954
"72","Mike Novak","PF","38","SYR","5","0","24","0","7","0","0","0","0","0","7","0","0","1","2","0.5","0","0","2","2","0","0","0","9","1",1954
"73","Wally Osterkorn","PF","25","SYR","70","0","2164","203","586","0.346","0","0","0","203","586","0.346","0.346","209","361","0.579","0","0","487","151","0","0","0","209","615",1954
"74","Bob Peterson","F","22","TOT","8","0","60","3","10","0.3","0","0","0","3","10","0.3","0.3","9","11","0.818","0","0","12","3","0","0","0","15","15",1954
"75","James Phelan","G","24","PHW","4","0","33","0","6","0","0","0","0","0","6","0","0","3","6","0.5","0","0","5","2","0","0","0","9","3",1954
"76","Andy Phillip*","PG","31","FTW","71","0","2705","255","680","0.375","0","0","0","255","680","0.375","0.375","241","330","0.73","0","0","265","449","0","0","0","204","751",1954
"77","Jim Pollard*","SF","31","MNL","71","0","2483","326","882","0.37","0","0","0","326","882","0.37","0.37","179","230","0.778","0","0","500","214","0","0","0","161","831",1954
"78","George Ratkovicz","PF","31","MLH","69","0","2170","197","501","0.393","0","0","0","197","501","0.393","0.393","176","273","0.645","0","0","523","154","0","0","0","255","570",1954
"79","Connie Rea","G-F","23","BLB","20","0","154","9","43","0.209","0","0","0","9","43","0.209","0.209","5","16","0.313","0","0","31","16","0","0","0","13","23",1954
"80","Frank Reddout","F","22","ROC","7","0","18","5","6","0.833","0","0","0","5","6","0.833","0.833","3","4","0.75","0","0","9","0","0","0","0","6","13",1954
"81","Arnie Risen*","C","29","ROC","72","0","2385","321","872","0.368","0","0","0","321","872","0.368","0.368","307","430","0.714","0","0","728","120","0","0","0","284","949",1954
"82","Al Roges","SF","23","BLB","67","0","1937","220","614","0.358","0","0","0","220","614","0.358","0.358","130","179","0.726","0","0","213","160","0","0","0","177","570",1954
"83","Pep Saul","SG","29","MNL","71","0","1805","162","467","0.347","0","0","0","162","467","0.347","0.347","128","170","0.753","0","0","159","139","0","0","0","149","452",1954
"84","Fred Schaus","SF","28","TOT","67","0","1515","161","415","0.388","0","0","0","161","415","0.388","0.388","153","195","0.785","0","0","267","109","0","0","0","176","475",1954
"85","Dolph Schayes*","C","25","SYR","72","0","2655","370","973","0.38","0","0","0","370","973","0.38","0.38","488","590","0.827","0","0","870","214","0","0","0","232","1228",1954
"86","Dick Schnittker","SF","25","MNL","71","0","1040","122","307","0.397","0","0","0","122","307","0.397","0.397","86","132","0.652","0","0","178","59","0","0","0","178","330",1954
"87","Fred Scolari","PG","31","FTW","64","0","1589","159","491","0.324","0","0","0","159","491","0.324","0.324","144","180","0.8","0","0","139","131","0","0","0","155","462",1954
"88","George Senesky","PG","31","PHW","58","0","771","41","119","0.345","0","0","0","41","119","0.345","0.345","29","53","0.547","0","0","66","84","0","0","0","79","111",1954
"89","Paul Seymour","SG","26","SYR","71","0","2727","316","838","0.377","0","0","0","316","838","0.377","0.377","299","368","0.813","0","0","291","364","0","0","0","187","931",1954
"90","Chuck Share","C","26","TOT","68","0","1576","188","493","0.381","0","0","0","188","493","0.381","0.381","188","275","0.684","0","0","555","80","0","0","0","210","564",1954
"91","Bill Sharman*","SG","27","BOS","72","0","2467","412","915","0.45","0","0","0","412","915","0.45","0.45","331","392","0.844","0","0","255","229","0","0","0","211","1155",1954
"92","Connie Simmons","C","28","NYK","72","0","2006","255","713","0.358","0","0","0","255","713","0.358","0.358","210","305","0.689","0","0","484","128","0","0","0","234","720",1954
"93","Zeke Sinicola","G","25","FTW","9","0","33","4","16","0.25","0","0","0","4","16","0.25","0.25","3","6","0.5","0","0","1","3","0","0","0","8","11",1954
"94","Whitey Skoog","SG","27","MNL","71","0","1877","212","530","0.4","0","0","0","212","530","0.4","0.4","72","97","0.742","0","0","224","179","0","0","0","234","496",1954
"95","Ed Smith","SF","24","NYK","12","0","127","14","49","0.286","0","0","0","14","49","0.286","0.286","7","13","0.538","0","0","32","10","0","0","0","17","35",1954
"96","Joe Smyth","SF","24","TOT","40","0","495","48","138","0.348","0","0","0","48","138","0.348","0.348","35","65","0.538","0","0","98","49","0","0","0","53","131",1954
"97","Odie Spears","SF","29","ROC","72","0","1633","184","505","0.364","0","0","0","184","505","0.364","0.364","183","238","0.769","0","0","310","109","0","0","0","211","551",1954
"98","Don Sunderlage","SG","24","MLH","68","0","2232","254","748","0.34","0","0","0","254","748","0.34","0.34","252","337","0.748","0","0","225","187","0","0","0","263","760",1954
"99","Dick Surhoff","PF","24","MLH","32","0","358","43","129","0.333","0","0","0","43","129","0.333","0.333","47","62","0.758","0","0","69","23","0","0","0","53","133",1954
"100","Norm Swanson","SF","23","ROC","63","0","611","31","137","0.226","0","0","0","31","137","0.226","0.226","38","64","0.594","0","0","110","33","0","0","0","91","100",1954
"101","Bill Tosheff","PG","27","MLH","71","0","1825","168","578","0.291","0","0","0","168","578","0.291","0.291","156","210","0.743","0","0","163","196","0","0","0","207","492",1954
"102","Hal Uplinger","SG","24","BLB","23","0","268","33","94","0.351","0","0","0","33","94","0.351","0.351","20","22","0.909","0","0","31","26","0","0","0","42","86",1954
"103","Ernie Vandeweghe","SG","25","NYK","15","0","271","37","103","0.359","0","0","0","37","103","0.359","0.359","25","31","0.806","0","0","20","29","0","0","0","38","99",1954
"104","Paul Walther","SG","26","PHW","64","0","2067","138","392","0.352","0","0","0","138","392","0.352","0.352","145","206","0.704","0","0","257","220","0","0","0","199","421",1954
"105","Isaac Walthour","G","23","MLH","4","0","30","1","6","0.167","0","0","0","1","6","0.167","0.167","0","0","0","0","0","1","2","0","0","0","6","2",1954
"106","Bobby Wanzer*","SG","32","ROC","72","0","2538","322","835","0.386","0","0","0","322","835","0.386","0.386","314","428","0.734","0","0","392","254","0","0","0","171","958",1954
