"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Yr"
"70","Bob Santini","F","20","NYK","4","0","23","5","10","0.5","0","0","0","5","10","0.5","0.5","1","2","0.5","0","0","3","1","0","0","0","4","11",1956
"71","Bob Schafer","SG","22","TOT","54","0","578","81","270","0.3","0","0","0","81","270","0.3","0.3","62","81","0.765","0","0","71","53","0","0","0","75","224",1956
"72","Dolph Schayes*","PF","27","SYR","72","0","2517","465","1202","0.387","0","0","0","465","1202","0.387","0.387","542","632","0.858","0","0","891","200","0","0","0","251","1472",1956
"73","Dick Schnittker","SF","27","MNL","72","0","1930","254","647","0.393","0","0","0","254","647","0.393","0.393","304","355","0.856","0","0","296","142","0","0","0","253","812",1956
"74","Kenny Sears","PF","22","NYK","70","0","2069","319","728","0.438","0","0","0","319","728","0.438","0.438","258","324","0.796","0","0","616","114","0","0","0","201","896",1956
"75","Frank Selvy","SG","23","STL","17","0","444","67","183","0.366","0","0","0","67","183","0.366","0.366","53","71","0.746","0","0","54","35","0","0","0","38","187",1956
"76","Paul Seymour","SG","28","SYR","57","0","1826","227","670","0.339","0","0","0","227","670","0.339","0.339","188","233","0.807","0","0","152","276","0","0","0","130","642",1956
"77","Chuck Share","C","28","STL","72","0","1975","315","733","0.43","0","0","0","315","733","0.43","0.43","346","498","0.695","0","0","774","131","0","0","0","318","976",1956
"78","Bill Sharman*","SG","29","BOS","72","0","2698","538","1229","0.438","0","0","0","538","1229","0.438","0.438","358","413","0.867","0","0","259","339","0","0","0","197","1434",1956
"79","Gene Shue","PG","24","NYK","72","0","1750","240","625","0.384","0","0","0","240","625","0.384","0.384","181","237","0.764","0","0","212","179","0","0","0","111","661",1956
"80","Connie Simmons","PF","30","ROC","68","0","903","144","428","0.336","0","0","0","144","428","0.336","0.336","78","129","0.605","0","0","235","82","0","0","0","142","366",1956
"81","Whitey Skoog","SG","29","MNL","72","0","2311","340","854","0.398","0","0","0","340","854","0.398","0.398","155","193","0.803","0","0","291","255","0","0","0","232","835",1956
"82","Odie Spears","SF","31","FTW","72","0","1378","166","468","0.355","0","0","0","166","468","0.355","0.355","159","201","0.791","0","0","231","121","0","0","0","191","491",1956
"83","Art Spoelstra","C","23","ROC","72","0","1640","226","576","0.392","0","0","0","226","576","0.392","0.392","163","238","0.685","0","0","436","95","0","0","0","248","615",1956
"84","Jack Stephens","SG","22","STL","72","0","2219","248","643","0.386","0","0","0","248","643","0.386","0.386","247","357","0.692","0","0","377","207","0","0","0","144","743",1956
"85","Maurice Stokes*","C","22","ROC","67","0","2323","403","1137","0.354","0","0","0","403","1137","0.354","0.354","319","447","0.714","0","0","1094","328","0","0","0","276","1125",1956
"86","Jim Tucker","PF","23","SYR","70","0","895","101","290","0.348","0","0","0","101","290","0.348","0.348","66","83","0.795","0","0","232","38","0","0","0","166","268",1956
"87","Jack Twyman*","SF","21","ROC","72","0","2186","417","987","0.422","0","0","0","417","987","0.422","0.422","204","298","0.685","0","0","466","171","0","0","0","239","1038",1956
"88","Ernie Vandeweghe","F-G","27","NYK","5","0","77","10","31","0.323","0","0","0","10","31","0.323","0.323","2","2","1","0","0","13","12","0","0","0","15","22",1956
"89","Bobby Wanzer*","PG","34","ROC","72","0","1980","245","651","0.376","0","0","0","245","651","0.376","0.376","259","360","0.719","0","0","272","225","0","0","0","151","749",1956
"90","Bob Williams","F","24","MNL","20","0","173","21","46","0.457","0","0","0","21","46","0.457","0.457","24","45","0.533","0","0","54","7","0","0","0","36","66",1956
"91","George Yardley*","SF","27","FTW","71","0","2353","434","1067","0.407","0","0","0","434","1067","0.407","0.407","365","492","0.742","0","0","686","159","0","0","0","212","1233",1956
"92","Max Zaslofsky","SG","30","FTW","9","0","182","29","81","0.358","0","0","0","29","81","0.358","0.358","30","35","0.857","0","0","16","16","0","0","0","18","88",1956
