"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Yr"
"1","Henry Akin","PF","22","NYK","50","0","453","83","230","0.361","0","0","0","83","230","0.361","0.361","26","37","0.703","0","0","120","25","0","0","0","82","192",1967
"2","Al Attles*","PG","30","SFW","69","0","1764","212","467","0.454","0","0","0","212","467","0.454","0.454","88","151","0.583","0","0","321","269","0","0","0","265","512",1967
"3","Johnny Austin","SG","22","BAL","4","0","61","5","22","0.227","0","0","0","5","22","0.227","0.227","13","16","0.813","0","0","7","4","0","0","0","12","23",1967
"4","Jim Barnes","PF","25","LAL","80","0","1398","217","497","0.437","0","0","0","217","497","0.437","0.437","128","187","0.684","0","0","450","47","0","0","0","266","562",1967
"5","Dick Barnett","SG","30","NYK","67","0","1969","454","949","0.478","0","0","0","454","949","0.478","0.478","231","295","0.783","0","0","226","161","0","0","0","185","1139",1967
"6","Jim Barnett","SG","22","BOS","48","0","383","78","211","0.37","0","0","0","78","211","0.37","0.37","42","62","0.677","0","0","53","41","0","0","0","61","198",1967
"7","John Barnhill","PG","28","BAL","53","0","1214","187","447","0.418","0","0","0","187","447","0.418","0.418","66","103","0.641","0","0","157","136","0","0","0","80","440",1967
"8","Rick Barry*","SF","22","SFW","78","0","3175","1011","2240","0.451","0","0","0","1011","2240","0.451","0.451","753","852","0.884","0","0","714","282","0","0","0","258","2775",1967
"9","Elgin Baylor*","SF","32","LAL","70","0","2706","711","1658","0.429","0","0","0","711","1658","0.429","0.429","440","541","0.813","0","0","898","215","0","0","0","211","1862",1967
"10","Zelmo Beaty*","C","27","STL","48","0","1661","328","694","0.473","0","0","0","328","694","0.473","0.473","197","260","0.758","0","0","515","60","0","0","0","189","853",1967
"11","Walt Bellamy*","C","27","NYK","79","0","3010","565","1084","0.521","0","0","0","565","1084","0.521","0.521","369","580","0.636","0","0","1064","206","0","0","0","275","1499",1967
"12","Dave Bing*","PG","23","DET","80","0","2762","664","1522","0.436","0","0","0","664","1522","0.436","0.436","273","370","0.738","0","0","359","330","0","0","0","217","1601",1967
"13","John Block","PF","22","LAL","22","0","118","20","52","0.385","0","0","0","20","52","0.385","0.385","24","34","0.706","0","0","45","5","0","0","0","20","64",1967
"14","Bob Boozer","PF","29","CHI","80","0","2451","538","1104","0.487","0","0","0","538","1104","0.487","0.487","360","461","0.781","0","0","679","90","0","0","0","212","1436",1967
"15","Nate Bowman","C","23","CHI","9","0","65","8","21","0.381","0","0","0","8","21","0.381","0.381","6","8","0.75","0","0","28","2","0","0","0","18","22",1967
"16","Bill Bridges","PF","27","STL","79","0","3130","503","1106","0.455","0","0","0","503","1106","0.455","0.455","367","523","0.702","0","0","1190","222","0","0","0","325","1373",1967
"17","Em Bryant","PG","28","NYK","63","0","1593","236","577","0.409","0","0","0","236","577","0.409","0.409","74","114","0.649","0","0","273","218","0","0","0","231","546",1967
"18","Joe Caldwell","SF","25","STL","81","0","2256","458","1076","0.426","0","0","0","458","1076","0.426","0.426","200","308","0.649","0","0","442","166","0","0","0","230","1116",1967
"19","Wilt Chamberlain*","C","30","PHI","81","0","3682","785","1150","0.683","0","0","0","785","1150","0.683","0.683","386","875","0.441","0","0","1957","630","0","0","0","143","1956",1967
"20","Jerry Chambers","SF","23","LAL","69","0","1015","224","496","0.452","0","0","0","224","496","0.452","0.452","68","93","0.731","0","0","208","44","0","0","0","143","516",1967
"21","Len Chappell","C-PF","26","TOT","73","0","708","132","313","0.422","0","0","0","132","313","0.422","0.422","53","81","0.654","0","0","189","33","0","0","0","104","317",1967
"22","Archie Clark","SG","25","LAL","76","0","1763","331","732","0.452","0","0","0","331","732","0.452","0.452","136","192","0.708","0","0","218","205","0","0","0","193","798",1967
"23","Barry Clemens","SF","23","CHI","60","0","986","186","444","0.419","0","0","0","186","444","0.419","0.419","68","90","0.756","0","0","201","39","0","0","0","143","440",1967
"24","Larry Costello","PG","35","PHI","49","0","976","130","293","0.444","0","0","0","130","293","0.444","0.444","120","133","0.902","0","0","103","140","0","0","0","141","380",1967
"25","Mel Counts","C","25","TOT","56","0","860","177","419","0.422","0","0","0","177","419","0.422","0.422","69","94","0.734","0","0","344","52","0","0","0","183","423",1967
"26","Freddie Crawford","SG","25","NYK","19","0","192","44","116","0.379","0","0","0","44","116","0.379","0.379","24","38","0.632","0","0","48","12","0","0","0","39","112",1967
"27","Billy Cunningham*","SF","23","PHI","81","0","2168","556","1211","0.459","0","0","0","556","1211","0.459","0.459","383","558","0.686","0","0","589","205","0","0","0","260","1495",1967
