"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Yr"
"1","Paul Arizin*","SF","22","PHW","65","0","0","352","864","0.407","0","0","0","352","864","0.407","0.407","417","526","0.793","0","0","640","138","0","0","0","284","1121",1951
"2","Curly Armstrong","G-F","32","FTW","38","0","0","72","232","0.31","0","0","0","72","232","0.31","0.31","58","90","0.644","0","0","89","77","0","0","0","97","202",1951
"3","Cliff Barker","SG","30","INO","56","0","0","51","202","0.252","0","0","0","51","202","0.252","0.252","50","77","0.649","0","0","100","115","0","0","0","98","152",1951
"4","Leo Barnhorst","SF","26","INO","68","0","0","232","671","0.346","0","0","0","232","671","0.346","0.346","82","119","0.689","0","0","296","218","0","0","0","197","546",1951
"5","Ed Bartels","F","25","WSC","17","0","0","24","97","0.247","0","0","0","24","97","0.247","0.247","24","46","0.522","0","0","84","12","0","0","0","54","72",1951
"6","Ed Beach","F","22","TOT","12","0","0","8","38","0.211","0","0","0","8","38","0.211","0.211","6","9","0.667","0","0","25","3","0","0","0","14","22",1951
"7","Ralph Beard","G","23","INO","66","0","0","409","1110","0.368","0","0","0","409","1110","0.368","0.368","293","378","0.775","0","0","251","318","0","0","0","96","1111",1951
"8","Leon Blevins","G","24","INO","2","0","0","1","4","0.25","0","0","0","1","4","0.25","0.25","0","1","0","0","0","2","1","0","0","0","3","2",1951
"9","Nelson Bobb","PG","26","PHW","53","0","0","52","158","0.329","0","0","0","52","158","0.329","0.329","44","79","0.557","0","0","101","82","0","0","0","83","148",1951
"10","Ike Borsavage","C-F","26","PHW","24","0","0","26","74","0.351","0","0","0","26","74","0.351","0.351","12","18","0.667","0","0","24","4","0","0","0","34","64",1951
"11","Vince Boryla","SF","23","NYK","66","0","0","352","867","0.406","0","0","0","352","867","0.406","0.406","278","332","0.837","0","0","249","182","0","0","0","244","982",1951
"12","Harry Boykoff","C","28","TOT","48","0","0","126","336","0.375","0","0","0","126","336","0.375","0.375","74","100","0.74","0","0","220","60","0","0","0","197","326",1951
"13","Frankie Brian","G","27","TRI","68","0","0","363","1127","0.322","0","0","0","363","1127","0.322","0.322","418","508","0.823","0","0","244","266","0","0","0","215","1144",1951
"14","Walt Budko","PF","25","BLB","64","0","0","165","464","0.356","0","0","0","165","464","0.356","0.356","166","223","0.744","0","0","452","135","0","0","0","203","496",1951
"15","Art Burris","SF","26","FTW","33","0","0","28","113","0.248","0","0","0","28","113","0.248","0.248","21","36","0.583","0","0","106","27","0","0","0","51","77",1951
"16","Tommy Byrnes","F-G","27","TOT","47","0","0","81","267","0.303","0","0","0","81","267","0.303","0.303","55","84","0.655","0","0","71","69","0","0","0","81","217",1951
"17","Gerry Calabrese","SG","25","SYR","46","0","0","70","197","0.355","0","0","0","70","197","0.355","0.355","61","88","0.693","0","0","65","65","0","0","0","80","201",1951
"18","Bill Calhoun","SG","23","ROC","66","0","0","175","506","0.346","0","0","0","175","506","0.346","0.346","161","228","0.706","0","0","199","99","0","0","0","87","511",1951
"19","Don Carlson","G-F","31","BLB","9","0","0","17","46","0.37","0","0","0","17","46","0.37","0.37","8","16","0.5","0","0","15","19","0","0","0","23","42",1951
"20","Bob Carpenter","F-C","33","TOT","56","0","0","109","335","0.325","0","0","0","109","335","0.325","0.325","105","128","0.82","0","0","229","79","0","0","0","115","323",1951
"21","Al Cervi*","PG","33","SYR","53","0","0","132","346","0.382","0","0","0","132","346","0.382","0.382","194","237","0.819","0","0","152","208","0","0","0","180","458",1951
"22","Leroy Chollet","F","25","SYR","14","0","0","6","51","0.118","0","0","0","6","51","0.118","0.118","12","19","0.632","0","0","15","12","0","0","0","29","24",1951
"23","Cal Christensen","SF","23","TRI","67","0","0","134","445","0.301","0","0","0","134","445","0.301","0.301","175","245","0.714","0","0","523","161","0","0","0","266","443",1951
"24","Nat Clifton*","PF","28","NYK","65","0","0","211","656","0.322","0","0","0","211","656","0.322","0.322","140","263","0.532","0","0","491","162","0","0","0","269","562",1951
"25","Bill Closs","SF","29","PHW","65","0","0","202","631","0.32","0","0","0","202","631","0.32","0.32","166","223","0.744","0","0","401","110","0","0","0","156","570",1951
"26","Jack Coleman","PF","26","ROC","67","0","0","315","749","0.421","0","0","0","315","749","0.421","0.421","134","172","0.779","0","0","584","197","0","0","0","193","764",1951
"27","Chuck Cooper*","F","24","BOS","66","0","0","207","601","0.344","0","0","0","207","601","0.344","0.344","201","267","0.753","0","0","562","174","0","0","0","219","615",1951
"28","Ray Corley","G","23","TOT","34","0","0","46","152","0.303","0","0","0","46","152","0.303","0.303","30","55","0.545","0","0","77","60","0","0","0","52","122",1951
"29","Bob Cousy*","PG","22","BOS","69","0","0","401","1138","0.352","0","0","0","401","1138","0.352","0.352","276","365","0.756","0","0","474","341","0","0","0","185","1078",1951
"30","Bob Davies*","PG","31","ROC","63","0","0","326","877","0.372","0","0","0","326","877","0.372","0.372","303","381","0.795","0","0","197","287","0","0","0","208","955",1951
"31","Hank DeZonie","C-F","28","TRI","5","0","0","6","25","0.24","0","0","0","6","25","0.24","0.24","5","7","0.714","0","0","18","9","0","0","0","6","17",1951
"32","Joe Dolhon","G","23","BLB","13","0","0","17","56","0.304","0","0","0","17","56","0.304","0.304","17","23","0.739","0","0","18","19","0","0","0","32","51",1951
"33","Bob Donham","SG","24","BOS","68","0","0","151","298","0.507","0","0","0","151","298","0.507","0.507","114","229","0.498","0","0","235","139","0","0","0","179","416",1951
"34","Andy Duncan","F-C","28","BOS","14","0","0","7","40","0.175","0","0","0","7","40","0.175","0.175","15","22","0.682","0","0","30","8","0","0","0","32","29",1951
"35","Dike Eddleman","SF","28","TRI","68","0","0","398","1120","0.355","0","0","0","398","1120","0.355","0.355","244","349","0.699","0","0","410","170","0","0","0","231","1040",1951
"36","Ray Ellefson","C","28","NYK","3","0","0","0","4","0","0","0","0","0","4","0","0","4","4","1","0","0","8","0","0","0","0","6","4",1951
"37","Arnie Ferrin","F-G","25","MNL","68","0","0","119","373","0.319","0","0","0","119","373","0.319","0.319","114","164","0.695","0","0","271","107","0","0","0","220","352",1951
"38","Larry Foust","C","22","FTW","68","0","0","327","944","0.346","0","0","0","327","944","0.346","0.346","261","396","0.659","0","0","681","90","0","0","0","247","915",1951
"39","Joe Fulks*","PF","29","PHW","66","0","0","429","1358","0.316","0","0","0","429","1358","0.316","0.316","378","442","0.855","0","0","523","117","0","0","0","247","1236",1951
"40","Bill Gabor","SG","28","SYR","61","0","0","255","745","0.342","0","0","0","255","745","0.342","0.342","179","242","0.74","0","0","150","125","0","0","0","213","689",1951
"41","Harry Gallatin*","F-C","23","NYK","66","0","0","293","705","0.416","0","0","0","293","705","0.416","0.416","259","354","0.732","0","0","800","180","0","0","0","244","845",1951
"42","Vern Gardner","SG","25","PHW","61","0","0","129","383","0.337","0","0","0","129","383","0.337","0.337","69","97","0.711","0","0","237","89","0","0","0","149","327",1951
"43","Ed Gayda","G-F","23","TRI","15","0","0","19","46","0.413","0","0","0","19","46","0.413","0.413","18","24","0.75","0","0","39","13","0","0","0","34","56",1951
"44","Chuck Gilmur","F-C","28","WSC","16","0","0","17","61","0.279","0","0","0","17","61","0.279","0.279","17","32","0.531","0","0","75","17","0","0","0","57","51",1951
"45","Bud Grant","F","23","MNL","61","0","0","53","184","0.288","0","0","0","53","184","0.288","0.288","52","83","0.627","0","0","115","71","0","0","0","106","158",1951
"46","Alex Groza","C","24","INO","66","0","0","492","1046","0.47","0","0","0","492","1046","0.47","0.47","445","566","0.786","0","0","709","156","0","0","0","237","1429",1951
"47","Chick Halbert","C","31","TOT","68","0","0","164","449","0.365","0","0","0","164","449","0.365","0.365","172","248","0.694","0","0","539","158","0","0","0","216","500",1951
