"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Yr"
"1","Jim Baechtold","SF","25","BLB","64","0","1893","242","621","0.39","0","0","0","242","621","0.39","0.39","177","240","0.738","0","0","219","154","0","0","0","203","661",1953
"2","Don Barksdale*","PF","29","BLB","65","0","2298","321","829","0.387","0","0","0","321","829","0.387","0.387","257","401","0.641","0","0","597","166","0","0","0","273","899",1953
"3","Leo Barnhorst","SF","28","INO","71","0","2871","402","1034","0.389","0","0","0","402","1034","0.389","0.389","163","259","0.629","0","0","483","277","0","0","0","245","967",1953
"4","Nelson Bobb","PG","28","PHW","55","0","1286","119","318","0.374","0","0","0","119","318","0.374","0.374","105","162","0.648","0","0","157","192","0","0","0","161","343",1953
"5","Vince Boryla","SF","25","NYK","66","0","2200","254","686","0.37","0","0","0","254","686","0.37","0.37","165","201","0.821","0","0","233","166","0","0","0","226","673",1953
"6","Don Boven","SF","27","TOT","67","0","1373","153","427","0.358","0","0","0","153","427","0.358","0.358","145","209","0.694","0","0","217","79","0","0","0","227","451",1953
"7","Bob Brannum","PF","26","BOS","71","0","1900","188","541","0.348","0","0","0","188","541","0.348","0.348","110","185","0.595","0","0","537","147","0","0","0","287","486",1953
"8","Jim Brasco","G","21","TOT","20","0","248","25","94","0.266","0","0","0","25","94","0.266","0.266","27","34","0.794","0","0","24","21","0","0","0","30","77",1953
"9","Carl Braun*","SG","25","NYK","70","0","2316","323","807","0.4","0","0","0","323","807","0.4","0.4","331","401","0.825","0","0","233","243","0","0","0","287","977",1953
"10","Frankie Brian","SG","29","FTW","68","0","1910","245","699","0.351","0","0","0","245","699","0.351","0.351","236","297","0.795","0","0","133","142","0","0","0","205","726",1953
"11","Dick Bunt","PG","22","TOT","26","0","271","29","105","0.276","0","0","0","29","105","0.276","0.276","34","48","0.708","0","0","28","17","0","0","0","40","92",1953
"12","Bill Calhoun","SF","25","TOT","62","0","2148","180","534","0.337","0","0","0","180","534","0.337","0.337","211","292","0.723","0","0","277","156","0","0","0","136","571",1953
"13","Al Cervi*","PG","35","SYR","38","0","301","31","71","0.437","0","0","0","31","71","0.437","0.437","81","100","0.81","0","0","22","28","0","0","0","90","143",1953
"14","Cal Christensen","SF","25","ROC","59","0","777","72","230","0.313","0","0","0","72","230","0.313","0.313","68","114","0.596","0","0","199","54","0","0","0","148","212",1953
"15","Nat Clifton*","PF","30","NYK","70","0","2496","272","794","0.343","0","0","0","272","794","0.343","0.343","200","343","0.583","0","0","761","231","0","0","0","274","744",1953
"16","Jack Coleman","PF","28","ROC","70","0","2625","314","748","0.42","0","0","0","314","748","0.42","0.42","135","208","0.649","0","0","774","231","0","0","0","245","763",1953
"17","Gene Conley","PF","22","BOS","39","0","461","35","108","0.324","0","0","0","35","108","0.324","0.324","18","31","0.581","0","0","171","19","0","0","0","74","88",1953
"18","Chuck Cooper*","SF","26","BOS","70","0","1994","157","466","0.337","0","0","0","157","466","0.337","0.337","144","190","0.758","0","0","439","112","0","0","0","258","458",1953
"19","Ray Corley","G","25","FTW","8","0","65","3","24","0.125","0","0","0","3","24","0.125","0.125","5","6","0.833","0","0","5","5","0","0","0","18","11",1953
"20","Bob Cousy*","PG","24","BOS","71","0","2945","464","1320","0.352","0","0","0","464","1320","0.352","0.352","479","587","0.816","0","0","449","547","0","0","0","227","1407",1953
"21","Dillard Crocker","PF","28","MLH","61","0","776","100","284","0.352","0","0","0","100","284","0.352","0.352","130","189","0.688","0","0","104","63","0","0","0","199","330",1953
"22","Pete Darcey","C","22","MLH","12","0","90","3","18","0.167","0","0","0","3","18","0.167","0.167","5","9","0.556","0","0","10","2","0","0","0","29","11",1953
"23","Bob Davies*","PG","33","ROC","66","0","2216","339","880","0.385","0","0","0","339","880","0.385","0.385","351","466","0.753","0","0","195","280","0","0","0","261","1029",1953
"24","Blaine Denning","G","22","BLB","1","0","9","2","5","0.4","0","0","0","2","5","0.4","0.4","1","1","1","0","0","4","0","0","0","0","3","5",1953
"25","Bob Donham","SG","26","BOS","71","0","1435","169","353","0.479","0","0","0","169","353","0.479","0.479","113","240","0.471","0","0","239","153","0","0","0","213","451",1953
"26","Dike Eddleman","SF","30","FTW","69","0","1571","241","687","0.351","0","0","0","241","687","0.351","0.351","133","237","0.561","0","0","236","104","0","0","0","220","615",1953
"27","George Feigenbaum","PG","24","MLH","5","0","79","4","22","0.182","0","0","0","4","22","0.182","0.182","8","15","0.533","0","0","7","9","0","0","0","14","16",1953
"28","Jake Fendley","PG","23","FTW","45","0","380","32","80","0.4","0","0","0","32","80","0.4","0.4","40","60","0.667","0","0","46","36","0","0","0","82","104",1953
"29","Danny Finn","SG","24","PHW","31","0","1015","135","409","0.33","0","0","0","135","409","0.33","0.33","99","182","0.544","0","0","175","146","0","0","0","124","369",1953
"30","Jerry Fleishman","SG","30","PHW","33","0","882","100","303","0.33","0","0","0","100","303","0.33","0.33","96","140","0.686","0","0","152","108","0","0","0","118","296",1953
"31","Larry Foust","C","24","FTW","67","0","2303","311","865","0.36","0","0","0","311","865","0.36","0.36","336","465","0.723","0","0","769","151","0","0","0","267","958",1953
"32","Joe Fulks*","PF","31","PHW","70","0","2085","332","960","0.346","0","0","0","332","960","0.346","0.346","168","231","0.727","0","0","387","138","0","0","0","319","832",1953
"33","Bill Gabor","SG","30","SYR","69","0","1337","215","614","0.35","0","0","0","215","614","0.35","0.35","217","284","0.764","0","0","104","134","0","0","0","262","647",1953
"34","Harry Gallatin*","PF","25","NYK","70","0","2333","282","635","0.444","0","0","0","282","635","0.444","0.444","301","430","0.7","0","0","916","126","0","0","0","224","865",1953
"35","Joe Graboski","C","23","INO","69","0","2769","272","799","0.34","0","0","0","272","799","0.34","0.34","350","513","0.682","0","0","687","156","0","0","0","303","894",1953
"36","Dick Groat","PG","22","FTW","26","0","663","100","272","0.368","0","0","0","100","272","0.368","0.368","109","138","0.79","0","0","86","69","0","0","0","90","309",1953
"37","Alex Hannum*","PF","29","ROC","68","0","1288","129","360","0.358","0","0","0","129","360","0.358","0.358","88","133","0.662","0","0","279","81","0","0","0","258","346",1953
"38","Don Hanrahan","F","23","INO","18","0","121","11","32","0.344","0","0","0","11","32","0.344","0.344","11","15","0.733","0","0","30","11","0","0","0","24","33",1953
"39","Bob Harris","SF","25","BOS","70","0","1971","192","459","0.418","0","0","0","192","459","0.418","0.418","133","226","0.588","0","0","485","95","0","0","0","238","517",1953
"40","Bob Harrison","SG","25","MNL","70","0","1643","195","518","0.376","0","0","0","195","518","0.376","0.376","107","165","0.648","0","0","153","160","0","0","0","264","497",1953
"41","Don Henriksen","C","23","BLB","68","0","2263","199","475","0.419","0","0","0","199","475","0.419","0.419","176","281","0.626","0","0","506","129","0","0","0","242","574",1953
"42","Kleggie Hermsen","C-F","29","TOT","10","0","62","4","31","0.129","0","0","0","4","31","0.129","0.129","3","5","0.6","0","0","19","4","0","0","0","18","11",1953
"43","Lew Hitch","PF","23","MNL","70","0","1027","89","255","0.349","0","0","0","89","255","0.349","0.349","83","136","0.61","0","0","275","66","0","0","0","122","261",1953
"44","Paul Hoffman","SG","27","BLB","69","0","1955","240","656","0.366","0","0","0","240","656","0.366","0.366","224","342","0.655","0","0","317","237","0","0","0","282","704",1953
"45","Jim Holstein","SF","22","MNL","66","0","989","98","274","0.358","0","0","0","98","274","0.358","0.358","70","105","0.667","0","0","173","74","0","0","0","128","266",1953
"46","Red Holzman*","PG","32","ROC","46","0","392","38","149","0.255","0","0","0","38","149","0.255","0.255","27","38","0.711","0","0","40","35","0","0","0","56","103",1953
"47","Mel Hutchins","C","24","MLH","71","0","2891","319","842","0.379","0","0","0","319","842","0.379","0.379","193","295","0.654","0","0","793","227","0","0","0","214","831",1953
"48","Arnie Johnson","SF","32","ROC","70","0","1984","140","369","0.379","0","0","0","140","369","0.379","0.379","303","405","0.748","0","0","419","153","0","0","0","282","583",1953
"49","Ralph Johnson","PG","31","FTW","3","0","30","3","9","0.333","0","0","0","3","9","0.333","0.333","2","3","0.667","0","0","1","5","0","0","0","6","8",1953
"50","Neil Johnston*","C","23","PHW","70","0","3166","504","1114","0.452","0","0","0","504","1114","0.452","0.452","556","794","0.7","0","0","976","197","0","0","0","248","1564",1953
"51","Noble Jorgensen","C","27","SYR","70","0","1355","145","436","0.333","0","0","0","145","436","0.333","0.333","146","199","0.734","0","0","236","76","0","0","0","247","436",1953
"52","George Kaftan","SF","24","BLB","23","0","380","45","142","0.317","0","0","0","45","142","0.317","0.317","44","67","0.657","0","0","75","31","0","0","0","59","134",1953
"53","Jack Kerris","PF","28","TOT","69","0","1424","93","256","0.363","0","0","0","93","256","0.363","0.363","88","140","0.629","0","0","295","156","0","0","0","165","274",1953
"54","Jack Kiley","SG","24","FTW","6","0","27","2","10","0.2","0","0","0","2","10","0.2","0.2","2","2","1","0","0","2","3","0","0","0","7","6",1953
"55","George King","PG","24","SYR","71","0","2519","255","635","0.402","0","0","0","255","635","0.402","0.402","284","442","0.643","0","0","281","364","0","0","0","244","794",1953
"56","Frank Kudelka","SG","27","TOT","36","0","567","59","193","0.306","0","0","0","59","193","0.306","0.306","44","68","0.647","0","0","88","70","0","0","0","109","162",1953
"57","Bob Lavoy","PF","26","INO","70","0","2327","225","560","0.402","0","0","0","225","560","0.402","0.402","168","242","0.694","0","0","528","130","0","0","0","274","618",1953
