"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Yr"
"1","Jay Arnette","SG","26","CIN","63","0","662","91","245","0.371","0","0","0","91","245","0.371","0.371","56","75","0.747","0","0","62","68","0","0","0","125","238",1965
"2","Al Attles*","PG","28","SFW","73","0","1733","254","662","0.384","0","0","0","254","662","0.384","0.384","171","274","0.624","0","0","239","205","0","0","0","242","679",1965
"3","Jim Barnes","PF","23","NYK","75","0","2586","454","1070","0.424","0","0","0","454","1070","0.424","0.424","251","379","0.662","0","0","729","93","0","0","0","312","1159",1965
"4","Dick Barnett","SG","28","LAL","74","0","2026","375","908","0.413","0","0","0","375","908","0.413","0.413","270","338","0.799","0","0","200","159","0","0","0","209","1020",1965
"5","John Barnhill","SG","26","STL","41","0","777","121","312","0.388","0","0","0","121","312","0.388","0.388","45","70","0.643","0","0","91","76","0","0","0","56","287",1965
"6","Elgin Baylor*","SF","30","LAL","74","0","3056","763","1903","0.401","0","0","0","763","1903","0.401","0.401","483","610","0.792","0","0","950","280","0","0","0","235","2009",1965
"7","Zelmo Beaty*","C","25","STL","80","0","2916","505","1047","0.482","0","0","0","505","1047","0.482","0.482","341","477","0.715","0","0","966","111","0","0","0","328","1351",1965
"8","Walt Bellamy*","C","25","BAL","80","0","3301","733","1441","0.509","0","0","0","733","1441","0.509","0.509","515","752","0.685","0","0","1166","191","0","0","0","260","1981",1965
"9","Al Bianchi","PG","32","PHI","60","0","1116","175","486","0.36","0","0","0","175","486","0.36","0.36","54","76","0.711","0","0","95","140","0","0","0","178","404",1965
"10","Bucky Bockhorn","SG","31","CIN","19","0","424","60","157","0.382","0","0","0","60","157","0.382","0.382","28","39","0.718","0","0","55","45","0","0","0","52","148",1965
