"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Yr"
"1","Tariq Abdul-Wahad","SG","24","SAC","49","49","1205","177","407","0.435","6","21","0.286","171","386","0.443","0.442","94","136","0.691","72","114","186","50","50","16","70","121","454",1999
"2","Shareef Abdur-Rahim","SF","22","VAN","50","50","2021","386","893","0.432","11","36","0.306","375","857","0.438","0.438","369","439","0.841","114","260","374","172","69","55","186","137","1152",1999
"3","Cory Alexander","PG","25","DEN","36","4","778","97","260","0.373","30","105","0.286","67","155","0.432","0.431","37","44","0.841","7","67","74","119","35","5","69","77","261",1999
"4","Ray Allen*","SG","23","MIL","50","50","1719","303","673","0.45","74","208","0.356","229","465","0.492","0.505","176","195","0.903","57","155","212","178","53","7","122","117","856",1999
"5","Peter Aluma","C","25","SAC","2","0","5","1","2","0.5","0","0","0","1","2","0.5","0.5","0","0","0","1","1","2","0","1","1","2","4","2",1999
"6","Derek Anderson","SG","24","CLE","38","13","978","125","314","0.398","21","69","0.304","104","245","0.424","0.432","138","165","0.836","20","89","109","145","48","4","82","73","409",1999
"7","Kenny Anderson","PG","28","BOS","34","33","1010","161","357","0.451","6","24","0.25","155","333","0.465","0.459","84","101","0.832","24","79","103","193","33","2","71","78","412",1999
"8","Nick Anderson","SF","31","ORL","47","39","1581","253","640","0.395","96","277","0.347","157","363","0.433","0.47","99","162","0.611","51","226","277","91","64","15","83","72","701",1999
"9","Shandon Anderson","SG","25","UTA","50","2","1072","162","363","0.446","14","41","0.341","148","322","0.46","0.466","89","125","0.712","49","83","132","56","39","10","66","89","427",1999
"10","Chris Anstey","C","24","DAL","41","4","470","50","139","0.36","0","7","0","50","132","0.379","0.36","34","48","0.708","35","62","97","27","18","13","26","98","134",1999
"11","Greg Anthony","PG","31","POR","50","0","806","104","251","0.414","49","125","0.392","55","126","0.437","0.512","62","89","0.697","14","49","63","100","66","3","55","75","319",1999
"12","B.J. Armstrong","PG","31","TOT","32","1","358","40","88","0.455","7","15","0.467","33","73","0.452","0.494","18","21","0.857","2","37","39","61","12","0","25","31","105",1999
