"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Yr"
"1","Al Attles*","PG","26","SFW","71","0","1876","301","630","0.478","0","0","0","301","630","0.478","0.478","133","206","0.646","0","0","205","184","0","0","0","253","735",1963
"2","Dick Barnett","SG","26","LAL","80","0","2544","547","1162","0.471","0","0","0","547","1162","0.471","0.471","343","421","0.815","0","0","242","224","0","0","0","189","1437",1963
"3","John Barnhill","SG","24","STL","77","0","2692","360","838","0.43","0","0","0","360","838","0.43","0.43","181","255","0.71","0","0","359","322","0","0","0","168","901",1963
"4","Elgin Baylor*","SF","28","LAL","80","0","3370","1029","2273","0.453","0","0","0","1029","2273","0.453","0.453","661","790","0.837","0","0","1146","386","0","0","0","226","2719",1963
"5","Zelmo Beaty*","C","23","STL","80","0","1918","297","677","0.439","0","0","0","297","677","0.439","0.439","220","307","0.717","0","0","665","85","0","0","0","312","814",1963
"6","Walt Bellamy*","C","23","CHZ","80","0","3306","840","1595","0.527","0","0","0","840","1595","0.527","0.527","553","821","0.674","0","0","1309","233","0","0","0","283","2233",1963
"7","Al Bianchi","SG","30","SYR","61","0","1159","202","476","0.424","0","0","0","202","476","0.424","0.424","120","164","0.732","0","0","134","170","0","0","0","165","524",1963
"8","Bucky Bockhorn","SG","29","CIN","80","0","2612","375","954","0.393","0","0","0","375","954","0.393","0.393","183","242","0.756","0","0","322","261","0","0","0","260","933",1963
"9","Bob Boozer","PF","25","CIN","79","0","2488","440","992","0.444","0","0","0","440","992","0.444","0.444","252","353","0.714","0","0","878","102","0","0","0","299","1132",1963
"10","Bill Bridges","PF","23","STL","27","0","374","66","160","0.413","0","0","0","66","160","0.413","0.413","32","51","0.627","0","0","144","23","0","0","0","58","164",1963
"11","Joe Buckhalter","PF","25","CIN","2","0","12","0","5","0","0","0","0","0","5","0","0","2","2","1","0","0","3","0","0","0","0","1","2",1963
"12","Cleveland Buckner","PF","24","NYK","6","0","27","5","10","0.5","0","0","0","5","10","0.5","0.5","2","4","0.5","0","0","4","5","0","0","0","6","12",1963
"13","Dave Budd","SF","24","NYK","78","0","1725","294","596","0.493","0","0","0","294","596","0.493","0.493","151","202","0.748","0","0","395","87","0","0","0","204","739",1963
"14","Donnie Butcher","SG","26","NYK","68","0","1193","172","424","0.406","0","0","0","172","424","0.406","0.406","131","194","0.675","0","0","180","138","0","0","0","164","475",1963
"15","Al Butler","PG","24","NYK","74","0","1488","297","676","0.439","0","0","0","297","676","0.439","0.439","144","187","0.77","0","0","170","156","0","0","0","145","738",1963
"16","Barney Cable","SF","27","TOT","61","0","1203","173","380","0.455","0","0","0","173","380","0.455","0.455","62","96","0.646","0","0","238","83","0","0","0","135","408",1963
"17","Wilt Chamberlain*","C","26","SFW","80","0","3806","1463","2770","0.528","0","0","0","1463","2770","0.528","0.528","660","1113","0.593","0","0","1946","275","0","0","0","136","3586",1963
"18","Len Chappell","PF","22","SYR","80","0","1241","281","604","0.465","0","0","0","281","604","0.465","0.465","148","238","0.622","0","0","461","56","0","0","0","171","710",1963
"19","Gene Conley","PF","32","NYK","70","0","1544","254","651","0.39","0","0","0","254","651","0.39","0.39","122","186","0.656","0","0","469","70","0","0","0","263","630",1963
"20","Larry Costello","PG","31","SYR","78","0","2066","285","660","0.432","0","0","0","285","660","0.432","0.432","288","327","0.881","0","0","237","334","0","0","0","263","858",1963
"21","Bob Cousy*","PG","34","BOS","76","0","1975","392","988","0.397","0","0","0","392","988","0.397","0.397","219","298","0.735","0","0","193","515","0","0","0","175","1003",1963
"22","Johnny Cox","SG","26","CHZ","73","0","1685","239","568","0.421","0","0","0","239","568","0.421","0.421","95","135","0.704","0","0","280","142","0","0","0","149","573",1963
"23","Dave DeBusschere*","SF","22","DET","80","0","2352","406","944","0.43","0","0","0","406","944","0.43","0.43","206","287","0.718","0","0","694","207","0","0","0","247","1018",1963
"24","Terry Dischinger","SF","22","CHZ","57","0","2294","525","1026","0.512","0","0","0","525","1026","0.512","0.512","402","522","0.77","0","0","458","175","0","0","0","188","1452",1963
"25","Danny Doyle","PF","22","DET","4","0","25","6","12","0.5","0","0","0","6","12","0.5","0.5","4","5","0.8","0","0","8","3","0","0","0","4","16",1963
"26","Bob Duffy","PG","22","STL","42","0","435","66","174","0.379","0","0","0","66","174","0.379","0.379","22","39","0.564","0","0","39","83","0","0","0","42","154",1963
"27","Walter Dukes","C","32","DET","62","0","913","83","255","0.325","0","0","0","83","255","0.325","0.325","101","137","0.737","0","0","360","55","0","0","0","183","267",1963
"28","Johnny Egan","PG","24","DET","46","0","752","110","296","0.372","0","0","0","110","296","0.372","0.372","53","69","0.768","0","0","59","114","0","0","0","70","273",1963
"29","Leroy Ellis","C","22","LAL","80","0","1628","222","530","0.419","0","0","0","222","530","0.419","0.419","133","202","0.658","0","0","518","46","0","0","0","194","577",1963
"30","Wayne Embry*","C","25","CIN","76","0","2511","534","1165","0.458","0","0","0","534","1165","0.458","0.458","343","514","0.667","0","0","936","177","0","0","0","286","1411",1963
"31","Mike Farmer","SF","26","STL","80","0","1724","239","562","0.425","0","0","0","239","562","0.425","0.425","117","139","0.842","0","0","369","143","0","0","0","155","595",1963
"32","Dave Fedor","F","22","SFW","7","0","27","3","10","0.3","0","0","0","3","10","0.3","0.3","0","1","0","0","0","6","1","0","0","0","4","6",1963
"33","Al Ferrari","G-F","29","CHZ","18","0","138","12","37","0.324","0","0","0","12","37","0.324","0.324","14","17","0.824","0","0","12","14","0","0","0","21","38",1963
"34","Bob Ferry","C","25","DET","79","0","2479","426","984","0.433","0","0","0","426","984","0.433","0.433","220","339","0.649","0","0","537","170","0","0","0","246","1072",1963
"35","Jack Foley","F","23","TOT","11","0","83","20","51","0.392","0","0","0","20","51","0.392","0.392","13","15","0.867","0","0","16","5","0","0","0","8","53",1963
"36","Dave Gambee","SF","25","SYR","60","0","1234","235","537","0.438","0","0","0","235","537","0.438","0.438","199","238","0.836","0","0","289","48","0","0","0","190","669",1963
"37","Tom Gola*","SF-SG","30","TOT","73","0","2670","363","791","0.459","0","0","0","363","791","0.459","0.459","170","219","0.776","0","0","517","298","0","0","0","295","896",1963
"38","Johnny Green","PF","29","NYK","80","0","2553","582","1261","0.462","0","0","0","582","1261","0.462","0.462","280","439","0.638","0","0","964","152","0","0","0","243","1444",1963
"39","Si Green","PG","29","CHZ","73","0","2648","322","783","0.411","0","0","0","322","783","0.411","0.411","209","306","0.683","0","0","335","422","0","0","0","274","853",1963
"40","Hal Greer*","SG","26","SYR","80","0","2631","600","1293","0.464","0","0","0","600","1293","0.464","0.464","362","434","0.834","0","0","457","275","0","0","0","286","1562",1963
