"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Yr"
"1","Zaid Abdul-Aziz","C","24","SEA","61","0","1276","263","597","0.441","0","0","0","263","597","0.441","0.441","139","188","0.739","0","0","468","42","0","0","0","118","665",1971
"2","Kareem Abdul-Jabbar*","C","23","MIL","82","0","3288","1063","1843","0.577","0","0","0","1063","1843","0.577","0.577","470","681","0.69","0","0","1311","272","0","0","0","264","2596",1971
"3","Don Adams","SF","23","SDR","82","0","2374","391","957","0.409","0","0","0","391","957","0.409","0.409","155","212","0.731","0","0","581","173","0","0","0","344","937",1971
"4","Rick Adelman","PG","24","POR","81","0","2303","378","895","0.422","0","0","0","378","895","0.422","0.422","267","369","0.724","0","0","282","380","0","0","0","214","1023",1971
"5","Lucius Allen","PG","23","MIL","61","0","1162","178","398","0.447","0","0","0","178","398","0.447","0.447","77","110","0.7","0","0","152","161","0","0","0","108","433",1971
"6","Cliff Anderson","SG","26","TOT","28","0","198","20","65","0.308","0","0","0","20","65","0.308","0.308","46","67","0.687","0","0","48","20","0","0","0","29","86",1971
"7","Tiny Archibald*","PG","22","CIN","82","0","2867","486","1095","0.444","0","0","0","486","1095","0.444","0.444","336","444","0.757","0","0","242","450","0","0","0","218","1308",1971
"8","Bob Arnzen","SF","23","CIN","55","0","594","128","277","0.462","0","0","0","128","277","0.462","0.462","45","52","0.865","0","0","152","24","0","0","0","54","301",1971
"9","Al Attles*","PG","34","SFW","34","0","321","22","54","0.407","0","0","0","22","54","0.407","0.407","24","41","0.585","0","0","40","58","0","0","0","59","68",1971
"10","Dennis Awtrey","C","22","PHI","70","0","1292","200","421","0.475","0","0","0","200","421","0.475","0.475","104","157","0.662","0","0","430","89","0","0","0","211","504",1971
"11","Jim Barnes","PF","29","BAL","11","0","100","15","28","0.536","0","0","0","15","28","0.536","0.536","7","11","0.636","0","0","16","8","0","0","0","23","37",1971
"12","Dick Barnett","SG","34","NYK","82","0","2843","540","1184","0.456","0","0","0","540","1184","0.456","0.456","193","278","0.694","0","0","238","225","0","0","0","232","1273",1971
"13","Jim Barnett","SG","26","POR","78","0","2371","559","1283","0.436","0","0","0","559","1283","0.436","0.436","326","402","0.811","0","0","376","323","0","0","0","190","1444",1971
"14","Moe Barr","G","26","CIN","31","0","145","25","62","0.403","0","0","0","25","62","0.403","0.403","11","13","0.846","0","0","20","28","0","0","0","27","61",1971
"15","Johnny Baum","SF","24","CHI","62","0","543","123","293","0.42","0","0","0","123","293","0.42","0.42","40","58","0.69","0","0","125","31","0","0","0","55","286",1971
"16","Elgin Baylor*","SF","36","LAL","2","0","57","8","19","0.421","0","0","0","8","19","0.421","0.421","4","6","0.667","0","0","11","2","0","0","0","6","20",1971
"17","Walt Bellamy*","C","31","ATL","82","0","2908","433","879","0.493","0","0","0","433","879","0.493","0.493","336","556","0.604","0","0","1060","230","0","0","0","271","1202",1971
"18","Dave Bing*","PG","27","DET","82","0","3065","799","1710","0.467","0","0","0","799","1710","0.467","0.467","615","772","0.797","0","0","364","408","0","0","0","228","2213",1971
"19","Tom Black","C","29","TOT","71","0","873","121","301","0.402","0","0","0","121","301","0.402","0.402","57","88","0.648","0","0","259","44","0","0","0","136","299",1971
"20","John Block","PF","26","SDR","73","0","1464","245","584","0.42","0","0","0","245","584","0.42","0.42","212","270","0.785","0","0","442","98","0","0","0","193","702",1971
"21","Tom Boerwinkle","C","25","CHI","82","0","2370","357","736","0.485","0","0","0","357","736","0.485","0.485","168","232","0.724","0","0","1133","397","0","0","0","275","882",1971
"22","Bob Boozer","PF","33","MIL","80","0","1775","290","645","0.45","0","0","0","290","645","0.45","0.45","148","181","0.818","0","0","435","128","0","0","0","216","728",1971
"23","Nate Bowman","C","27","BUF","44","0","483","58","148","0.392","0","0","0","58","148","0.392","0.392","20","38","0.526","0","0","173","41","0","0","0","91","136",1971
"24","Bill Bradley*","SF","27","NYK","78","0","2300","413","912","0.453","0","0","0","413","912","0.453","0.453","144","175","0.823","0","0","260","280","0","0","0","245","970",1971
"25","Bill Bridges","PF","31","ATL","82","0","3140","382","834","0.458","0","0","0","382","834","0.458","0.458","211","330","0.639","0","0","1233","240","0","0","0","317","975",1971
"26","Em Bryant","PG","32","BUF","73","0","2137","288","684","0.421","0","0","0","288","684","0.421","0.421","151","203","0.744","0","0","262","352","0","0","0","266","727",1971
"27","Fred Carter","SG","25","BAL","77","0","1707","340","815","0.417","0","0","0","340","815","0.417","0.417","119","183","0.65","0","0","251","165","0","0","0","165","799",1971
"28","Wilt Chamberlain*","C","34","LAL","82","0","3630","668","1226","0.545","0","0","0","668","1226","0.545","0.545","360","669","0.538","0","0","1493","352","0","0","0","174","1696",1971
"29","Jerry Chambers","SF","27","ATL","65","0","1168","237","526","0.451","0","0","0","237","526","0.451","0.451","106","134","0.791","0","0","245","61","0","0","0","119","580",1971
"30","Don Chaney","SG","24","BOS","81","0","2289","348","766","0.454","0","0","0","348","766","0.454","0.454","234","313","0.748","0","0","463","235","0","0","0","288","930",1971
"31","Len Chappell","PF","30","TOT","48","0","537","86","199","0.432","0","0","0","86","199","0.432","0.432","71","88","0.807","0","0","151","17","0","0","0","72","243",1971
"32","Bob Christian","C","24","ATL","54","0","524","55","127","0.433","0","0","0","55","127","0.433","0.433","40","64","0.625","0","0","177","30","0","0","0","118","150",1971
"33","Archie Clark","PG","29","PHI","82","0","3245","662","1334","0.496","0","0","0","662","1334","0.496","0.496","422","536","0.787","0","0","391","440","0","0","0","217","1746",1971
"34","Barry Clemens","SF","27","SEA","78","0","1286","247","526","0.47","0","0","0","247","526","0.47","0.47","83","114","0.728","0","0","243","92","0","0","0","169","577",1971
"35","Jimmy Collins","SG","24","CHI","55","0","478","92","214","0.43","0","0","0","92","214","0.43","0.43","35","45","0.778","0","0","54","60","0","0","0","43","219",1971
"36","Joe Cooke","SG","22","CLE","73","0","725","134","341","0.393","0","0","0","134","341","0.393","0.393","48","59","0.814","0","0","114","93","0","0","0","135","316",1971
"37","Mel Counts","C","29","PHO","80","0","1669","365","799","0.457","0","0","0","365","799","0.457","0.457","149","198","0.753","0","0","503","136","0","0","0","279","879",1971
"38","Dave Cowens*","C","22","BOS","81","0","3076","550","1302","0.422","0","0","0","550","1302","0.422","0.422","273","373","0.732","0","0","1216","228","0","0","0","350","1373",1971
"39","Freddie Crawford","SG","29","TOT","51","0","652","110","281","0.391","0","0","0","110","281","0.391","0.391","48","98","0.49","0","0","104","78","0","0","0","77","268",1971
"40","Pete Cross","C","22","SEA","79","0","2194","245","554","0.442","0","0","0","245","554","0.442","0.442","140","203","0.69","0","0","949","113","0","0","0","212","630",1971
