"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","ORtg","DRtg","Yr"
"1","Kareem Abdul-Jabbar*","C","37","LAL","79","79","2630","12.8","21.3","0.599","0","0","0","12.8","21.3","0.6","5.1","7","0.732","2.9","8.1","11","4.4","1.1","2.9","3.5","4.2","30.7","120","105",1985
"2","Alvan Adams","PF","30","PHO","82","69","2136","10.4","20.1","0.52","0","0","0","10.4","20.1","0.52","5.5","6.2","0.883","3.4","7.6","11","6.8","2.5","1.1","4.3","5.6","26.4","111","104",1985
"3","Mark Aguirre","SF","25","DAL","80","79","2699","14.3","28.2","0.506","0.5","1.5","0.318","13.8","26.7","0.517","7.9","10.4","0.759","3.4","5.2","8.6","4.5","1.1","0.4","4.6","4.5","37","110","111",1985
"4","Danny Ainge","SG","25","BOS","75","73","2564","7.7","14.6","0.529","0.3","1","0.268","7.4","13.6","0.549","2.2","2.5","0.868","1.4","3.5","4.9","7.4","2.2","0.1","2.7","4.2","17.9","115","108",1985
"5","Chuck Aleksinas","C","25","GSW","74","4","1114","6.7","14.1","0.478","0","0","0","6.7","14","0.479","2.3","3.1","0.733","3.6","7.6","11.3","1.5","0.6","0.6","3","7.1","15.7","100","114",1985
"6","J.J. Anderson","SF","24","UTA","44","0","457","6.1","14.9","0.409","0","0.2","0","6.1","14.7","0.415","2.7","4.5","0.6","2.9","5.3","8.2","2.1","2.9","0.9","3.2","7","14.9","87","102",1985
"7","Ron Anderson","SF","26","CLE","36","7","520","7.6","17.7","0.431","0.1","0.2","0.5","7.5","17.5","0.43","3.7","4.5","0.82","3.5","4.4","8","3.1","0.8","0.6","3.1","3.6","19","100","112",1985
"8","John Bagley","PG","24","CLE","81","65","2401","6.6","13.6","0.488","0.1","0.5","0.115","6.6","13.1","0.502","2.5","3.3","0.749","1.1","4.6","5.7","13.7","2.5","0.1","4.1","2.6","15.8","108","108",1985
"9","James Bailey","PF","27","NYK","74","28","1297","5.8","13","0.447","0","0","0","5.8","12.9","0.448","2.7","4","0.676","4.5","8.3","12.8","1.5","1.1","1.9","3.7","10.6","14.3","93","107",1985
"10","Thurl Bailey","PF","23","UTA","80","68","2481","9.3","19","0.49","0","0","1","9.3","19","0.49","3.6","4.3","0.842","2.8","6.8","9.7","2.5","0.9","1.9","2.8","4","22.3","105","104",1985
"11","Greg Ballard","SF","30","WSB","82","77","2664","8.4","17.6","0.48","0.3","0.8","0.304","8.2","16.7","0.488","2.2","2.7","0.795","2.7","6.8","9.5","3.7","1.8","0.6","1.9","4","19.3","107","104",1985
"12","Gene Banks","SF","25","SAS","82","41","2091","6.4","10.9","0.586","0","0.1","0.333","6.4","10.8","0.588","4.4","5.7","0.774","2.9","6.9","9.8","5.2","1.4","0.3","3.1","4.9","17.2","120","109",1985
"13","Ken Bannister","PF","24","NYK","75","50","1404","7.2","15.3","0.47","0","0","0","7.2","15.3","0.47","3.1","6.6","0.474","3.7","7.6","11.3","1.3","1.3","1.4","4.8","9.6","17.5","86","108",1985
"14","Charles Barkley*","PF","21","PHI","82","60","2347","8.7","15.9","0.545","0","0.1","0.167","8.6","15.8","0.548","5.9","8.1","0.733","5.4","8.9","14.3","3.1","1.9","1.6","4.2","6.1","23.3","114","105",1985
"15","Kent Benson","C","30","DET","72","35","1401","6.6","13","0.506","0","0.1","0","6.6","12.9","0.51","2.5","3.1","0.809","3.4","7.2","10.6","3","1.7","1.4","2.2","6.8","15.6","112","106",1985
"16","Larry Bird*","SF","28","BOS","80","77","3161","13.7","26.3","0.522","0.8","2","0.427","12.9","24.3","0.529","6","6.8","0.882","2.5","10.1","12.6","7.9","1.9","1.5","3.7","3.1","34.3","119","103",1985
"17","Otis Birdsong","SG","29","NJN","56","45","1842","12.8","25","0.511","0.1","0.5","0.19","12.7","24.4","0.518","4.2","6.7","0.622","1.5","2.3","3.8","6","2.2","0.2","3","3.7","29.8","109","110",1985
"18","Rolando Blackman","SG","25","DAL","81","80","2834","10.7","21.1","0.508","0.1","0.3","0.3","10.6","20.7","0.512","5.9","7.1","0.828","1.8","3.3","5.1","5","1","0.3","2.8","1.6","27.4","115","112",1985
"19","Cory Blackwell","SF","21","SEA","60","0","551","7.6","20.8","0.367","0","0.2","0","7.6","20.6","0.37","2.5","4.8","0.509","3.7","4.7","8.4","2.3","2.2","0.3","3.9","4.8","17.7","79","108",1985
"20","Sam Bowie","C","23","POR","76","62","2216","6.3","11.7","0.537","0","0","0","6.3","11.7","0.537","3.3","4.7","0.711","4.3","9.4","13.7","4.5","1.2","4.2","3.6","5.8","15.9","110","103",1985
"21","Dudley Bradley","SG","27","WSB","73","24","1232","5.5","11.6","0.475","0.8","2.5","0.313","4.7","9.1","0.519","2.1","3.1","0.684","1.3","3.9","5.2","6.7","3.7","0.8","3.3","5.9","13.9","102","102",1985
