"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","ORtg","DRtg","Yr"
"1","Mahmoud Abdul-Rauf","PG","26","DEN","57","53","2029","10.6","24.5","0.434","3.1","7.9","0.392","7.5","16.6","0.454","3.7","4","0.93","0.7","2.9","3.5","10","1.6","0.1","3","3","28.1","114","112",1996
"2","Michael Adams","PG","33","CHH","21","3","329","5.9","13.2","0.446","2.2","6.5","0.341","3.7","6.7","0.548","4.1","5.6","0.743","0.8","2.7","3.5","10.7","3.3","0.6","4","4","18.2","114","110",1996
"3","Rafael Addison","SF","31","CHH","53","0","516","7.8","16.8","0.467","0","0.9","0","7.8","15.9","0.494","1.7","2.2","0.773","2.5","6.6","9.1","3","0.9","0.9","2.7","7.5","17.4","99","112",1996
"4","Cory Alexander","PG","22","SAS","60","0","560","5.8","14.2","0.406","2.4","6.1","0.394","3.4","8.2","0.416","1.5","2.3","0.64","0.8","3","3.9","11.1","2.5","0.2","6.2","8.6","15.4","92","105",1996
"5","Jerome Allen","SG","23","MIN","41","0","362","5.1","14.9","0.343","1.4","4.7","0.303","3.7","10.2","0.361","3.7","5.1","0.722","0.7","2.8","3.5","6.9","3","0.7","4.8","6","15.3","86","110",1996
"6","Derrick Alston","C","23","PHI","73","41","1614","6.4","12.5","0.512","0","0.1","0.333","6.4","12.4","0.513","1.8","3.6","0.491","4.1","5.6","9.7","2","1.8","1.7","1.9","6.2","14.6","106","112",1996
"7","John Amaechi","PF","25","CLE","28","3","357","4.7","11.4","0.414","0","0","0","4.7","11.4","0.414","3.1","5.4","0.576","2.1","6.4","8.5","1.5","1","1.8","5.6","8","12.6","74","108",1996
"8","Ashraf Amaya","PF","24","VAN","54","34","1104","5.8","12","0.48","0","0","0","5.8","12","0.482","4.6","7.1","0.651","5.4","9","14.5","1.6","1.1","0.5","2.7","7.2","16.2","106","108",1996
"9","Greg Anderson","PF","31","SAS","46","7","344","3.6","7","0.511","0","0.1","0","3.6","6.9","0.522","0.9","3.7","0.24","4.3","10.6","14.9","1.5","1.3","3.6","3.3","9.9","8.1","86","99",1996
"10","Kenny Anderson","PG","25","TOT","69","64","2344","7.8","18.7","0.418","2.1","5.7","0.359","5.8","13","0.445","5.8","7.6","0.769","1.4","3.1","4.6","12.9","2.5","0.3","3.3","4","23.6","118","110",1996
"11","Nick Anderson","SG","28","ORL","77","77","2717","7.7","17.4","0.442","3.2","8.3","0.391","4.5","9.1","0.489","3.2","4.6","0.692","1.8","6.2","8","5.4","2.3","0.9","2.7","2.6","21.8","112","106",1996
