"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","ORtg","DRtg","Yr"
"1","Zaid Abdul-Aziz","C","29","SEA","27","0","223","7","15","0.467","0","0","0","7","15","0.467","3.2","5.8","0.552","6","9.2","15.2","3.2","1.6","3","0","5.8","17.2","0","95",1976
"2","Kareem Abdul-Jabbar*","C","28","LAL","82","0","3379","12","22.7","0.529","0","0","0","12","22.7","0.529","5.9","8.4","0.703","3.6","14.6","18.2","5.4","1.6","4.4","0","3.8","29.9","0","90",1976
"3","Alvan Adams","C","21","PHO","80","0","2656","10.8","22.9","0.469","0","0","0","10.8","22.9","0.469","4.5","6.1","0.735","3.7","8.8","12.4","7.7","2.1","2","0","4.7","26","0","95",1976
"4","Don Adams","SF","28","BUF","56","0","704","4.2","10.7","0.394","0","0","0","4.2","10.7","0.394","2.5","3.6","0.702","2.4","6.7","9.1","4.6","1.9","0.4","0","8.1","11","0","98",1976
"5","Lucius Allen","PG","28","LAL","76","0","2388","8.6","18.7","0.459","0","0","0","8.6","18.7","0.459","3.7","4.7","0.776","1.2","2.8","4","6.6","1.9","0.4","0","4.5","20.8","0","101",1976
"6","Dan Anderson","PG","25","POR","52","0","614","6.4","13.1","0.486","0","0","0","6.4","13.1","0.486","3.7","4.4","0.836","1.1","3.4","4.5","6.2","1.5","0.1","0","4.2","16.5","0","101",1976
"7","Jerome Anderson","SG","22","BOS","22","0","126","8.9","16","0.556","0","0","0","8.9","16","0.556","3.9","5.7","0.688","1.4","3.2","4.6","2.1","1.1","1.1","0","8.9","21.7","0","99",1976
"8","Tiny Archibald*","PG","27","KCK","78","0","3184","10.2","22.6","0.453","0","0","0","10.2","22.6","0.453","7.1","8.9","0.802","1","2.1","3","8.8","1.8","0.2","0","2.4","27.6","0","103",1976
"9","Jim Ard","C","27","BOS","81","0","853","5.6","15.5","0.364","0","0","0","5.6","15.5","0.364","3.7","5.3","0.71","5.1","10.2","15.2","2.5","0.6","1.9","0","7.4","15","0","95",1976
"10","Dennis Awtrey","C","27","PHO","74","0","1376","4.7","10","0.467","0","0","0","4.7","10","0.467","2.5","3.6","0.688","3.1","6.6","9.7","5.3","0.7","0.7","0","5.1","11.9","0","100",1976
"11","Gus Bailey","SG","24","HOU","30","0","262","4.9","13.5","0.364","0","0","0","4.9","13.5","0.364","2.5","4.9","0.5","3.5","5.3","8.8","7.2","2.5","1.4","0","5.8","12.3","0","100",1976
"12","Mike Bantom","SF","24","TOT","73","0","1571","6.2","13.5","0.462","0","0","0","6.2","13.5","0.462","3.9","5.7","0.683","4","7.1","11.1","3","0.8","0.8","0","6.3","16.4","0","100",1976
"13","Jim Barnett","SG","31","NYK","71","0","1026","7.4","16.7","0.442","0","0","0","7.4","16.7","0.442","4","5.1","0.789","2.2","1.8","4","4","1.1","0.1","0","3.9","18.8","0","103",1976
"14","Rick Barry*","SF","31","GSW","81","0","3122","10","23.1","0.435","0","0","0","10","23.1","0.435","4.1","4.4","0.923","1.1","6","7","7","2.9","0.4","0","3.1","24.2","0","94",1976
"15","Jerry Baskerville","SF","24","PHI","21","0","105","3.4","11.1","0.308","0","0","0","3.4","11.1","0.308","4.3","6.8","0.625","5.5","6.4","11.9","1.3","2.6","2.1","0","13.6","11.1","0","95",1976
"16","Butch Beard","PG","28","TOT","75","0","1704","6.2","13.5","0.46","0","0","0","6.2","13.5","0.46","3.9","5.2","0.75","2.8","5.6","8.4","5.9","2.2","0.2","0","5.9","16.3","0","98",1976
"17","Ron Behagen","PF","25","NOJ","66","0","1733","8","17.9","0.446","0","0","0","8","17.9","0.446","3.7","4.6","0.804","4.9","9.4","14.4","3.6","1.7","0.7","0","5.8","19.7","0","95",1976
"18","Dennis Bell","SF","24","NYK","10","0","76","4.9","12.7","0.381","0","0","0","4.9","12.7","0.381","1.8","4.2","0.429","2.4","6.1","8.5","1.8","3.6","0.6","0","6.7","11.5","0","95",1976
"19","Leon Benbow","SG","25","CHI","76","0","1586","6.6","16.6","0.397","0","0","0","6.6","16.6","0.397","3.2","4.2","0.75","2","3.4","5.3","4.8","1.9","0.3","0","5.6","16.4","0","99",1976
"20","Henry Bibby","PG","26","NOJ","79","0","1772","6.8","15.8","0.428","0","0","0","6.8","15.8","0.428","5.1","6.4","0.797","1.5","3.1","4.5","5.7","1.6","0.1","0","4.2","18.6","0","100",1976
"21","Bob Bigelow","SF","22","KCK","31","0","163","4.5","13.1","0.34","0","0","0","4.5","13.1","0.34","6.7","9.2","0.727","2.5","5.6","8.1","2.5","1.1","0.3","0","5","15.6","0","102",1976
"22","Dave Bing*","PG","32","WSB","82","0","2945","7.8","17.4","0.447","0","0","0","7.8","17.4","0.447","5.2","6.6","0.787","1.5","2.2","3.7","7.7","1.8","0.4","0","4.1","20.7","0","99",1976
"23","John Block","PF","31","CHI","2","0","7","13.7","27.4","0.5","0","0","0","13.7","27.4","0.5","0","13.7","0","0","13.7","13.7","0","6.8","0","0","13.7","27.4","0","84",1976
"24","Tom Boerwinkle","C","30","CHI","74","0","2045","6.2","12.4","0.5","0","0","0","6.2","12.4","0.5","2.8","4.1","0.667","6.2","12.4","18.5","6.6","1.1","1.2","0","6.2","15.2","0","95",1976
"25","Tom Boswell","PF","22","BOS","35","0","275","6.7","15.2","0.441","0","0","0","6.7","15.2","0.441","2.3","3.9","0.583","4.2","7.3","11.6","2.6","0.3","0.2","0","11.4","15.7","0","98",1976
"26","Freddie Boyd","SG-PG","25","TOT","36","0","617","5.4","12.5","0.433","0","0","0","5.4","12.5","0.433","2.1","3.7","0.569","0.3","2","2.3","5.8","2","0.5","0","4.3","12.9","0","100",1976
