"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","ORtg","DRtg","Yr"
"1","Álex Abrines","SG","24","OKC","75","8","1134","5","12.7","0.395","3.7","9.7","0.38","1.4","3.1","0.443","1.7","2","0.848","1.1","3.9","5","1.2","1.7","0.4","1.1","5.4","15.4","116","110",2018
"2","Quincy Acy","PF","27","BRK","70","8","1359","4.6","13","0.356","3.6","10.4","0.349","1","2.6","0.384","1.8","2.1","0.817","1.4","7.8","9.2","2","1.2","1","2.1","5.3","14.7","99","110",2018
"3","Steven Adams","C","24","OKC","76","76","2487","8.9","14.2","0.629","0","0","0","8.9","14.2","0.631","3.2","5.7","0.559","7.7","6","13.7","1.8","1.8","1.6","2.6","4.3","21.1","125","107",2018
"4","Bam Adebayo","C","20","MIA","69","19","1368","6.4","12.5","0.512","0","0.3","0","6.4","12.2","0.523","4.7","6.6","0.721","4.3","9.7","14","3.7","1.2","1.5","2.4","5.1","17.5","116","105",2018
"5","Arron Afflalo","SG","32","ORL","53","3","682","4.7","11.6","0.401","1.9","5","0.386","2.7","6.6","0.413","1.6","1.9","0.846","0.3","4.5","4.7","2.2","0.3","0.6","1.5","4","12.8","98","115",2018
"6","Cole Aldrich","C","29","MIN","21","0","49","5.1","15.3","0.333","0","0","0","5.1","15.3","0.333","2","6.1","0.333","3.1","12.2","15.3","3.1","2","1","1","11.2","12.2","85","107",2018
"7","LaMarcus Aldridge","C","32","SAS","75","75","2509","13.8","27.1","0.51","0.5","1.9","0.293","13.3","25.3","0.526","6.7","8","0.837","5","7.8","12.8","3.1","0.9","1.8","2.2","3.2","34.9","118","105",2018
"8","Jarrett Allen","C","19","BRK","72","31","1441","7.9","13.4","0.589","0.2","0.5","0.333","7.7","12.9","0.599","3.8","5","0.776","4.9","8.2","13.1","1.7","0.9","3","2.8","5","19.8","119","108",2018
"9","Kadeem Allen","PG","25","BOS","18","1","107","2.8","10.3","0.273","0","5.1","0","2.8","5.1","0.545","3.3","4.2","0.778","1.9","3.3","5.1","5.6","1.4","0.9","4.2","7","8.9","78","106",2018
"10","Tony Allen","SF","36","NOP","22","0","273","7.7","15.9","0.484","0.7","2.1","0.333","7","13.8","0.506","1.9","3.7","0.524","3.5","4.7","8.2","1.6","1.9","0.5","3.3","8.6","18","95","110",2018
"11","Al-Farouq Aminu","PF","27","POR","69","67","2072","5.5","14","0.395","3","8.1","0.369","2.5","5.8","0.432","1.4","1.9","0.738","2.3","10.3","12.6","2","1.9","1","1.9","3.3","15.5","105","104",2018
"12","Justin Anderson","SF","24","PHI","38","0","519","8.1","18.7","0.431","3.2","9.5","0.33","4.9","9.2","0.535","2.6","3.5","0.737","2.3","6.3","8.6","2.3","1.4","0.6","1.5","5","21.9","110","107",2018
"13","Kyle Anderson","SF","24","SAS","74","67","1978","5.9","11.2","0.527","0.5","1.5","0.333","5.4","9.7","0.556","2.7","3.7","0.712","2.1","8","10.1","5.2","2.9","1.5","2.4","2.9","14.9","114","101",2018
"14","Ryan Anderson","PF","29","HOU","66","50","1725","5.9","13.7","0.431","3.7","9.7","0.386","2.2","4","0.539","2.1","2.7","0.774","2.7","6.8","9.4","1.7","0.7","0.6","1.2","3.6","17.6","121","109",2018
"15","Ike Anigbogu","C","19","IND","11","0","30","6.7","15","0.444","0","0","0","6.7","15","0.444","8.3","10","0.833","8.3","6.7","15","0","1.7","5","3.3","1.7","21.7","114","104",2018
"16","Giannis Antetokounmpo","PF","23","MIL","75","75","2756","13.4","25.4","0.529","0.8","2.5","0.307","12.6","22.8","0.554","8.8","11.6","0.76","2.8","10.8","13.6","6.5","2","1.9","4","4.2","36.4","116","106",2018
"17","Carmelo Anthony","PF","33","OKC","78","78","2501","9.4","23.2","0.404","3.4","9.4","0.357","6","13.8","0.437","2.9","3.8","0.767","1.3","7.7","9","2","0.9","1","2","3.9","25","104","109",2018
"18","OG Anunoby","SF","20","TOR","74","62","1481","5.4","11.5","0.471","2.4","6.6","0.371","3","5","0.604","1.3","2.1","0.629","1.5","4.7","6.1","1.8","1.7","0.5","1.5","4.3","14.6","113","108",2018
"19","Ryan Arcidiacono","PG","23","CHI","24","0","304","2.7","6.6","0.415","1.4","5","0.29","1.3","1.6","0.8","0.8","1","0.833","0.2","3.9","4","5.6","2.1","0","2.1","2.9","7.7","105","112",2018
"20","Trevor Ariza","SF","32","HOU","67","67","2269","5.8","14.1","0.412","3.7","10","0.368","2.1","4.1","0.519","1.6","1.9","0.854","0.7","5.7","6.4","2.3","2.1","0.3","1.1","2.9","17","114","107",2018
"21","Darrell Arthur","PF","29","DEN","19","1","141","7.7","16.5","0.468","2.8","8.1","0.348","4.9","8.4","0.583","0.7","1.1","0.667","1.1","4.2","5.3","3.2","2.8","1.1","5.3","7.7","19","90","109",2018
"22","Jamel Artis","SG","25","ORL","15","1","279","5.4","13.9","0.392","1.4","5.1","0.276","4","8.8","0.46","1.2","2.1","0.583","0.7","6","6.7","3.2","0.4","0.5","1.4","1.9","13.5","94","114",2018
"23","Ömer Asik","C","31","TOT","18","0","182","2.4","5.8","0.409","0","0","0","2.4","5.8","0.409","1.1","3.4","0.308","2.4","10","12.4","0.8","0.5","1.1","2.4","5.3","5.8","76","110",2018
"24","D.J. Augustin","PG","30","ORL","75","36","1760","6.8","15","0.452","3.2","7.6","0.419","3.6","7.5","0.485","4.6","5.3","0.868","0.8","3.6","4.5","8","1.5","0","3.4","2.6","21.3","116","114",2018
"25","Luke Babbitt","SF","28","TOT","50","14","715","6.3","14.8","0.423","4.1","10.7","0.385","2.1","4.1","0.525","1.2","1.5","0.773","0.5","6.1","6.6","2.1","0.5","0.5","1.3","3.7","17.8","109","113",2018
"26","Dwayne Bacon","SG","22","CHO","53","6","713","4.9","13.1","0.375","0.8","2.9","0.256","4.2","10.2","0.409","1.4","1.7","0.8","0.3","8.2","8.5","2.6","1.1","0.1","1.6","3.1","12","88","111",2018
"27","Ron Baker","SG","24","NYK","29","1","385","2.6","7.6","0.339","1.4","4.2","0.333","1.2","3.3","0.346","2.6","3.3","0.769","0.6","3.2","3.9","6.1","3.3","0.8","2.3","4.2","9.1","104","109",2018
"28","Wade Baldwin","PG","21","POR","7","0","80","8.7","13.1","0.667","2.5","3.1","0.8","6.2","10","0.625","3.7","6.2","0.6","0.6","4.4","5","3.1","1.2","0.6","2.5","7.5","23.6","131","109",2018
"29","Lonzo Ball","PG","20","LAL","52","50","1780","5.5","15.2","0.36","2.4","7.9","0.305","3","7.2","0.42","0.9","1.9","0.451","1.9","7.8","9.7","10.1","2.4","1.2","3.7","3.1","14.2","97","106",2018
"30","J.J. Barea","PG","33","DAL","69","10","1603","9.5","21.6","0.439","3.6","9.8","0.367","5.9","11.8","0.499","2.5","3.2","0.784","0.5","5.8","6.3","13.6","1.1","0.1","4.5","2.6","25.1","109","112",2018
"31","Harrison Barnes","PF","25","DAL","77","77","2634","10.2","23","0.445","2.3","6.3","0.357","8","16.7","0.478","4.9","6","0.827","1.5","7.5","8.9","2.9","0.9","0.3","2.2","1.8","27.7","105","111",2018
"32","Will Barton","SG","27","DEN","81","40","2683","8.6","19","0.452","2.9","7.8","0.37","5.7","11.2","0.51","3.4","4.2","0.805","1.3","6.3","7.6","6.1","1.5","1","2.8","3.1","23.4","113","112",2018
