"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","ORtg","DRtg","Yr"
"1","Jeff Adrien","PF","25","HOU","8","0","63","5.8","13.3","0.438","0","0","0","5.8","13.3","0.438","5.8","10","0.583","4.2","14.1","18.3","0.8","0","1.7","1.7","10.8","17.5","106","103",2012
"2","Arron Afflalo","SG","26","DEN","62","62","2086","8","17.1","0.471","2.1","5.4","0.398","5.9","11.7","0.504","4.8","6","0.798","1","3.8","4.8","3.6","0.9","0.3","2.1","3.3","23","116","111",2012
"3","Blake Ahearn","PG","27","UTA","4","0","30","7","24.5","0.286","3.5","15.7","0.222","3.5","8.7","0.4","0","0","0","0","3.5","3.5","1.7","0","0","8.7","7","17.5","57","113",2012
"4","Solomon Alabi","C","23","TOR","14","0","122","5.7","15.9","0.361","0","0","0","5.7","15.9","0.361","3.1","3.5","0.875","6.6","14.1","20.7","1.3","0.9","4","2.2","4.8","14.5","95","98",2012
"5","Cole Aldrich","C","23","OKC","26","0","173","6.6","12.5","0.524","0","0","0","6.6","12.5","0.524","3.9","4.2","0.929","3.9","10.4","14.3","0.9","2.4","4.8","2.7","6.6","17","113","96",2012
"6","LaMarcus Aldridge","PF","26","POR","55","55","1994","12.7","24.9","0.512","0.1","0.3","0.182","12.7","24.6","0.516","5.9","7.2","0.814","4","7.7","11.7","3.5","1.3","1.2","2.9","4","31.4","113","106",2012
"7","Lavoy Allen","PF","22","PHI","41","15","624","6.8","14.3","0.473","0","0","0","6.8","14.3","0.473","0.9","1.2","0.786","4","10.6","14.7","2.9","1.1","1.5","1.7","6.3","14.5","104","98",2012
"8","Ray Allen*","SG","36","BOS","46","42","1565","7.7","16.7","0.458","3.6","7.9","0.453","4.1","8.8","0.463","3.3","3.6","0.915","0.5","4.3","4.8","3.7","1.7","0.3","2.3","2.8","22.2","111","101",2012
"9","Tony Allen","SG","30","MEM","58","57","1525","7.3","15.5","0.469","0.3","0.9","0.308","7","14.6","0.479","4.9","6.1","0.8","3.4","4.7","8.1","2.7","3.6","1.1","3.3","4.9","19.7","106","100",2012
"10","Morris Almond","SG","26","WAS","4","0","67","4.6","13.2","0.353","0.8","2.3","0.333","3.9","10.8","0.357","0.8","2.3","0.333","0.8","5.4","6.2","1.5","5.4","0","0.8","4.6","10.8","85","101",2012
"11","Al-Farouq Aminu","SF","21","NOH","66","21","1477","5.5","13.4","0.411","0.5","1.7","0.277","5","11.7","0.431","3.2","4.2","0.754","3.5","7.8","11.3","2.4","2.2","1.3","3.3","5","14.7","93","103",2012
"12","Lou Amundson","PF","29","IND","60","0","753","6.3","14.5","0.43","0","0","0","6.3","14.5","0.43","2.5","5.8","0.427","6.6","9","15.6","1","1.9","3.1","3.2","8.8","15","92","99",2012
"13","Chris Andersen","C","33","DEN","32","1","486","6.2","11.3","0.546","0","0","0","6.2","11.3","0.546","5.2","8.6","0.61","5","10.5","15.5","0.6","2","4.8","1.8","5.5","17.6","119","99",2012
"14","Alan Anderson","SF","29","TOR","17","12","461","6.4","16.6","0.387","2.8","7.1","0.393","3.6","9.4","0.383","3.4","4","0.853","0.9","3","4","3","0.6","0.3","2.9","4.1","19","99","110",2012
"15","James Anderson","SG","22","SAS","51","2","603","5.7","14.9","0.379","1.6","5.8","0.279","4","9.1","0.443","3.3","4.5","0.75","1.4","5.4","6.8","3.5","0.7","0.2","2.6","3","16.3","97","107",2012
"16","Ryan Anderson","PF","23","ORL","61","61","1964","9.1","20.8","0.439","4.6","11.6","0.393","4.6","9.2","0.496","4.1","4.7","0.877","6.1","6.8","12.9","1.5","1.4","0.7","1.6","4","26.9","124","105",2012
"17","Carmelo Anthony","SF","27","NYK","55","55","1876","12.1","28.2","0.43","1.9","5.6","0.335","10.2","22.6","0.454","8.1","10.1","0.804","2.4","7","9.4","5.5","1.7","0.7","4","4.3","34.2","106","102",2012
"18","Joel Anthony","C","29","MIA","64","51","1349","3.3","5.9","0.559","0","0","0","3.3","5.9","0.559","1.9","2.8","0.69","3.9","5.9","9.8","0.4","1.4","3.3","1.8","4.9","8.5","113","100",2012
"19","Gilbert Arenas","PG","30","MEM","17","0","211","6.5","16","0.406","3.3","9.8","0.333","3.3","6.3","0.52","1.8","2.5","0.7","0.5","4","4.5","4.5","2.8","0.3","3","8.8","18","102","103",2012
"20","Trevor Ariza","SF","26","NOH","41","41","1350","6.8","16.2","0.417","1.2","3.5","0.333","5.6","12.7","0.44","3.2","4.1","0.775","1.7","7","8.7","5.4","2.8","1","3.1","2.9","17.9","100","103",2012
"21","Ömer Asik","C","25","CHI","66","2","971","4.4","8.7","0.506","0","0","0","4.4","8.7","0.506","2.6","5.7","0.456","7","12.4","19.4","1.8","1.7","3.8","3.8","6.7","11.4","97","92",2012
"22","D.J. Augustin","PG","24","CHA","48","46","1408","6.8","18.2","0.376","2.3","6.7","0.341","4.6","11.5","0.396","3.9","4.5","0.875","0.9","3.2","4.1","11.5","1.3","0","4.1","2.4","19.9","100","114",2012
"23","Gustavo Ayón","PF","26","NOH","54","24","1088","7","13","0.536","0","0","0","7","13","0.538","1.9","3.1","0.619","4.3","8.9","13.2","3.7","2.6","2.3","2.3","5.9","15.9","111","100",2012
"24","Jeff Ayres","C","24","IND","20","1","106","7.5","18","0.417","0","0","0","7.5","18","0.417","2","3.5","0.571","6","10.5","16.5","2","1.5","1","1","8","17","105","101",2012
"25","Kelenna Azubuike","SG","28","DAL","3","0","18","8.7","23.3","0.375","2.9","8.7","0.333","5.8","14.6","0.4","0","0","0","0","0","0","0","2.9","0","11.7","2.9","20.4","54","106",2012
"26","Luke Babbitt","SF","22","POR","40","4","537","7","17","0.41","4.2","9.8","0.43","2.7","7.2","0.384","1.7","2","0.85","1.6","7.7","9.3","1.6","1","0.4","2.6","4.5","19.8","103","108",2012
"27","Renaldo Balkman","SF","27","NYK","14","0","115","7.2","14.3","0.5","0.9","4","0.222","6.3","10.3","0.609","3.6","4.9","0.727","2.7","9","11.6","2.2","1.8","1.3","2.7","6.3","18.8","109","99",2012
"28","Leandro Barbosa","SG","29","TOT","64","0","1382","10.5","24.7","0.425","2.5","6.6","0.382","8","18.1","0.441","3.9","4.8","0.815","1.3","3.7","5","3.7","2.2","0.3","3.6","5.2","27.4","99","106",2012
"29","J.J. Barea","PG","27","MIN","41","11","1032","8.3","20.8","0.4","2.6","7.1","0.371","5.7","13.7","0.415","3.8","4.9","0.776","0.7","5","5.7","11.6","1","0","5.1","3","23.1","101","110",2012
"30","Andrea Bargnani","C","26","TOR","31","31","1032","10.9","25.2","0.432","1.8","6","0.296","9.1","19.2","0.474","7.9","9","0.873","1.3","7.7","9","3.2","0.9","0.8","3.6","2.7","31.4","104","106",2012
"31","Matt Barnes","SF","31","LAL","63","16","1440","6.4","14.2","0.452","1.7","5.1","0.333","4.7","9.2","0.518","3.5","4.7","0.742","3.6","9.1","12.7","4.6","1.3","1.8","2.7","5.6","18.1","112","103",2012
"32","Earl Barron","C","30","GSW","2","0","9","11.6","23.1","0.5","0","0","0","11.6","23.1","0.5","0","0","0","5.8","0","5.8","0","0","0","0","28.9","23.1","110","117",2012
"33","Brandon Bass","PF","26","BOS","59","39","1868","8.6","18","0.479","0","0","0","8.6","18","0.479","3.8","4.6","0.81","2.7","7.7","10.4","1.6","1","1.5","1.8","3.8","21","103","99",2012
"34","Tony Battie","C","35","PHI","27","11","295","3.4","9.3","0.373","0","0.2","0","3.4","9.1","0.38","0.7","0.7","1","1.5","10.7","12.2","2.9","0.7","1.1","0.7","4.7","7.6","94","99",2012
"35","Shane Battier","SF","33","MIA","65","10","1499","4","10.3","0.387","2.2","6.4","0.339","1.8","3.8","0.468","0.8","1.3","0.622","2","3.5","5.5","2.9","2.2","1.2","1.3","3.7","10.9","108","102",2012
"36","Nicolas Batum","SF","23","POR","59","34","1791","8.5","18.8","0.451","3.1","8.1","0.391","5.3","10.8","0.496","3.9","4.7","0.836","2.4","5.6","8","2.5","1.7","1.8","2.6","3.1","24","112","107",2012
"37","Jerryd Bayless","PG","23","TOR","31","11","705","8.9","21.1","0.424","3.4","7.9","0.423","5.6","13.1","0.424","5.7","6.7","0.852","0.6","4.4","5","9","1.8","0.3","4","5.3","26.9","110","106",2012
"38","Michael Beasley","SF","23","MIN","47","7","1087","10.5","23.5","0.445","1.8","4.8","0.376","8.7","18.7","0.462","2.9","4.5","0.642","1.8","8","9.8","2.1","0.9","0.9","3.8","3.9","25.6","95","107",2012
"39","Rodrigue Beaubois","PG","23","DAL","53","12","1151","8.6","20.3","0.422","1.7","6","0.288","6.8","14.3","0.479","2.6","3.1","0.841","0.9","6","6.9","6.9","2.6","1.3","3.2","4.5","21.5","100","101",2012
"40","Marco Belinelli","SG","25","NOH","66","55","1966","7.9","19","0.417","3","7.9","0.377","4.9","11.1","0.445","2.8","3.6","0.783","0.5","4.2","4.8","2.8","1.3","0.1","1.9","3.2","21.6","105","109",2012
"41","Raja Bell","SG","35","UTA","34","33","796","5.3","11.5","0.466","2.2","5.7","0.391","3.1","5.7","0.54","1.4","1.6","0.84","0.4","2.8","3.2","2.5","0.9","0.1","1.4","5.1","14.3","115","112",2012
"42","Keith Benson","C","23","GSW","3","0","9","0","5.8","0","0","0","0","0","5.8","0","0","0","0","11.6","5.8","17.3","0","0","0","0","0","0","98","115",2012
"43","Mike Bibby","PG","33","NYK","39","4","557","3.2","11.5","0.282","2.5","7.9","0.318","0.7","3.6","0.205","0.6","0.7","0.75","0.5","5","5.5","7.4","1.9","0.3","1.8","4.2","9.5","97","103",2012
"44","Andris Biedrinš","C","25","GSW","47","35","739","2.7","4.5","0.609","0","0","0","2.7","4.5","0.609","0.1","0.6","0.111","3.2","9.2","12.4","1.1","1.6","3.2","1","8.8","5.6","118","105",2012
"45","Chauncey Billups","SG","35","LAC","20","20","607","7.4","20.2","0.364","4.3","11.1","0.384","3.1","9.1","0.34","7.5","8.4","0.895","0.4","4.1","4.4","7.1","0.8","0.3","3.4","3.5","26.5","114","111",2012
