"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","ORtg","DRtg","Yr"
"1","Tariq Abdul-Wahad","SG","25","TOT","61","56","1578","8.6","20.3","0.424","0.1","0.7","0.13","8.5","19.6","0.435","4.6","6.1","0.756","3.2","6","9.2","3.1","1.9","0.9","3.3","4.6","21.9","98","103",2000
"2","Shareef Abdur-Rahim","SF","23","VAN","82","82","3223","9.7","20.9","0.465","0.5","1.6","0.302","9.3","19.3","0.478","7.3","9","0.809","3.6","9.9","13.5","4.4","1.5","1.4","4.1","4","27.2","108","106",2000
"3","Cory Alexander","PG","26","DEN","29","2","329","4.3","15.1","0.286","1.4","5.4","0.257","2.9","9.7","0.302","2.6","3.4","0.773","1.2","5.2","6.5","8.9","3.7","0.3","4.3","6","12.6","84","103",2000
"4","Ray Allen*","SG","24","MIL","82","82","3070","10.8","23.8","0.455","2.9","6.9","0.423","7.9","16.9","0.468","6","6.7","0.887","1.4","4.7","6.1","5.2","1.9","0.3","3.1","3.2","30.5","115","110",2000
"5","Rafer Alston","PG","23","MIL","27","0","361","3.9","13.6","0.284","0.4","2","0.214","3.4","11.6","0.296","0.4","0.6","0.75","0.7","2.6","3.3","10","1.7","0","4.2","4.2","8.6","76","112",2000
"6","John Amaechi","C","29","ORL","80","53","1684","9","20.5","0.437","0","0.2","0.167","8.9","20.3","0.439","6.5","8.5","0.766","1.8","6","7.8","2.8","1","1.1","4.1","4.7","24.5","98","104",2000
"7","Derek Anderson","SG","25","LAC","64","58","2201","8.8","20","0.438","1.3","4.1","0.309","7.5","15.8","0.472","6.3","7.2","0.877","1.9","4.1","6","5.1","2.1","0.3","3.9","3.5","25.1","105","111",2000
"8","Kenny Anderson","PG","29","BOS","82","82","2593","8.5","19.3","0.44","1.7","4.3","0.386","6.8","15","0.456","3.8","5","0.775","1.1","3.3","4.4","8.2","2.7","0.2","2.5","4.5","22.5","112","107",2000
"9","Nick Anderson","SG","32","SAC","72","72","2094","7.1","18.1","0.391","3","9.2","0.332","4","8.9","0.452","0.9","1.8","0.487","1.9","5.9","7.8","2.8","2.2","0.4","2.2","2.7","18","97","103",2000
"10","Shandon Anderson","SF","26","HOU","82","82","2700","6.9","14.7","0.473","1.5","4.2","0.351","5.5","10.4","0.523","3.7","4.8","0.767","1.7","5.5","7.2","4.5","1.8","0.6","3.7","3.4","19","106","107",2000
"11","Chris Anstey","C","25","CHI","73","11","1007","8.6","19.4","0.442","0.1","0.3","0.167","8.5","19.1","0.447","6.2","7.8","0.789","4.8","10.1","14.9","3.5","1.5","1.3","4.3","9.6","23.4","100","102",2000
"12","Greg Anthony","PG","32","POR","82","3","1548","5.8","14.4","0.406","3","8","0.378","2.8","6.3","0.443","3","3.9","0.772","0.6","4","4.6","7.2","2","0.3","2.9","4.9","17.7","110","103",2000
"13","B.J. Armstrong","PG","32","CHI","27","18","583","7.6","17.1","0.446","1.2","2.7","0.448","6.4","14.5","0.446","2","2.3","0.88","0.2","4.1","4.3","7.2","0.6","0.1","3.7","3.1","18.5","98","110",2000
"14","Darrell Armstrong","PG","31","ORL","82","82","2590","9.2","21.3","0.433","2.6","7.7","0.34","6.6","13.6","0.485","4.3","4.7","0.911","1.2","3.9","5.1","9.5","3.2","0.2","4.7","2.6","25.3","107","102",2000
"15","Chucky Atkins","PG","25","ORL","82","0","1626","9.5","22.5","0.424","1.7","4.9","0.35","7.8","17.5","0.445","2.9","4","0.729","0.6","3.2","3.8","9.3","1.6","0.1","4.3","4.2","23.7","100","106",2000
"16","Stacey Augmon","SG","31","POR","59","0","692","6.4","13.5","0.474","0","0.2","0","6.4","13.4","0.48","2.9","4.2","0.673","3.2","5.7","9","4.1","2.1","0.8","2.9","5.3","15.7","103","101",2000
"17","Isaac Austin","C","30","WAS","59","23","1173","6.7","15.5","0.429","0","0.2","0.25","6.6","15.4","0.431","4.1","6","0.686","2.8","9.6","12.4","3.3","0.8","1.7","4.7","5.6","17.5","89","106",2000
"18","Anthony Avent","PF","30","LAC","49","3","377","3.9","13","0.302","0","0","0","3.9","13","0.302","3.1","4.3","0.719","3.1","6.9","10","1.5","2.2","2","3.3","8.4","11","76","107",2000
"19","William Avery","PG","20","MIN","59","1","484","6.1","19.6","0.309","1.9","6.8","0.286","4.1","12.8","0.322","2.6","3.9","0.667","0.9","3.5","4.3","9.5","1.5","0.2","4.5","6.5","16.6","84","107",2000
"20","Toby Bailey","SG","24","PHO","46","2","449","6.6","15.9","0.414","0.2","1.1","0.2","6.4","14.8","0.431","5.1","7.4","0.692","3","5.2","8.2","3.4","1.5","0.5","2.7","6.3","18.5","100","102",2000
"21","Vin Baker","C","28","SEA","79","75","2849","9.3","20.4","0.455","0","0.1","0.25","9.2","20.2","0.457","5.1","7.4","0.682","4.1","6.8","10.9","2.7","0.8","1.2","3.8","5.2","23.7","99","106",2000
"22","Charles Barkley*","PF","36","HOU","20","18","620","8.7","18.2","0.477","0.5","2.1","0.231","8.2","16.1","0.51","5.8","9","0.645","5.8","11.3","17.2","5.2","1.2","0.3","3.6","3.9","23.8","110","104",2000
