"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","ORtg","DRtg","Yr"
"1","Alaa Abdelnaby","PF","22","POR","43","0","290","9.1","19.1","0.474","0","0","0","9.1","19.1","0.474","4.1","7.2","0.568","4.4","10.2","14.7","2","0.7","2","3.6","6.4","22.2","99","103",1991
"2","Mahmoud Abdul-Rauf","PG","21","DEN","67","19","1505","11.7","28.3","0.413","0.7","2.8","0.24","11","25.5","0.432","2.4","2.7","0.857","1","2.4","3.4","5.8","1.5","0.1","3.1","4.2","26.4","96","118",1991
"3","Mark Acres","C","28","ORL","68","0","1313","4","7.9","0.509","0","0.1","0.333","4","7.8","0.512","2.4","3.7","0.653","5.1","8","13.2","0.9","0.9","0.9","1.5","8","10.5","116","109",1991
"4","Michael Adams","PG","28","DEN","66","66","2346","10.1","25.6","0.394","3","10.2","0.296","7.1","15.4","0.459","8.4","9.5","0.879","1","3.6","4.6","12.5","2.6","0.1","4.3","2.9","31.5","113","115",1991
"5","Mark Aguirre","SF","31","DET","78","13","2006","10.9","23.7","0.462","0.6","2","0.308","10.3","21.6","0.477","6.2","8.3","0.757","3.5","6.2","9.7","3.6","1.2","0.5","3.3","5.4","28.7","109","105",1991
"6","Danny Ainge","SG","31","POR","80","0","1710","9.4","19.9","0.472","2.8","7","0.406","6.6","12.9","0.508","3.2","3.9","0.826","1.3","4.5","5.7","8","1.8","0.4","2.8","5.4","24.9","119","106",1991
"7","Mark Alarie","PF","27","WSB","42","1","587","8.3","18.9","0.44","0.4","1.8","0.238","7.9","17.1","0.461","3.4","4","0.854","3.4","6.4","9.8","3.8","1.3","0.7","3.4","7.4","20.5","100","109",1991
"8","Steve Alford","PG","26","DAL","34","0","236","12.7","25.3","0.504","1.5","5","0.304","11.2","20.3","0.553","5.6","6.7","0.839","2.2","3","5.2","4.8","1.7","0.2","3.5","2.4","32.6","112","113",1991
"9","Greg Anderson","PF","26","TOT","68","2","924","5.5","12.9","0.43","0","0","0","5.5","12.9","0.431","2.9","5.5","0.522","4.6","10.6","15.2","0.8","1.7","2.2","4","6.7","14","86","109",1991
"10","Nick Anderson","SG","23","ORL","70","42","1971","9.8","21","0.467","0.4","1.4","0.293","9.4","19.6","0.479","4.2","6.3","0.668","2.3","7.2","9.4","2.6","1.8","1.1","2.8","3.5","24.2","104","108",1991
"11","Ron Anderson","SF","32","PHI","82","13","2340","11","22.6","0.485","0.2","0.9","0.209","10.8","21.7","0.497","3.5","4.2","0.833","2.2","5.7","7.9","2.5","1.4","0.3","2.1","3.5","25.7","107","110",1991
"12","Willie Anderson","SG","24","SAS","75","75","2592","8.5","18.6","0.457","0.1","0.7","0.2","8.4","18","0.467","3.2","4","0.798","1.3","5.3","6.6","6.7","1.5","0.9","3.1","4.2","20.3","103","105",1991
"13","Michael Ansley","SF","23","ORL","67","1","877","7.9","14.5","0.548","0","0","0","7.9","14.5","0.548","5","7","0.717","6.7","7.2","13.9","1.4","1.5","0.4","1.8","6.9","20.9","126","109",1991
"14","B.J. Armstrong","PG","23","CHI","82","0","1731","8.8","18.3","0.481","0.4","0.9","0.5","8.4","17.5","0.48","2.8","3.2","0.874","0.7","3.6","4.3","8.7","2","0.1","3.1","3.4","20.9","111","108",1991
"15","Vincent Askew","SG","24","GSW","7","0","85","6.5","13.6","0.48","0","0","0","6.5","13.6","0.48","4.9","6","0.818","3.8","2.2","6","7.1","1.1","0","3.3","11.4","18","115","115",1991
"16","Keith Askins","SF","23","MIA","39","1","266","6.2","14.7","0.42","1.1","4.5","0.24","5.1","10.2","0.5","2.2","4.5","0.48","5.5","6.9","12.4","3.5","2.9","2.4","2","8.4","15.6","106","104",1991
"17","Miloš Babic","PF","22","CLE","12","0","52","5.8","18.4","0.316","0","0","0","5.8","18.4","0.316","6.8","11.6","0.583","5.8","2.9","8.7","3.9","1","1","4.9","6.8","18.4","84","112",1991
"18","Thurl Bailey","PF","29","UTA","82","22","2486","8.1","17.7","0.458","0","0.1","0","8.1","17.6","0.459","4.4","5.5","0.808","2","6.2","8.2","2.5","1.1","1.8","2.6","3.2","20.6","101","106",1991
"19","Cedric Ball","PF","22","LAC","7","0","26","5.5","14.8","0.375","0","0","0","5.5","14.8","0.375","3.7","3.7","1","9.2","11.1","20.3","0","0","3.7","3.7","9.2","14.8","96","104",1991
"20","Ken Bannister","PF","30","LAC","47","3","339","6.1","11.5","0.531","0","0.1","0","6.1","11.3","0.538","3.5","9.2","0.385","4.8","8.8","13.6","1.3","0.7","1","3.5","10.3","15.7","93","107",1991
"21","Charles Barkley*","SF","27","PHI","67","67","2498","13.4","23.4","0.57","0.9","3.1","0.284","12.5","20.3","0.614","9.5","13.2","0.722","5.2","8.5","13.7","5.7","2.2","0.7","4.2","3.5","37.1","123","106",1991
"22","Dana Barros","PG","23","SEA","66","0","750","10.2","20.7","0.495","2.1","5.4","0.395","8.1","15.3","0.53","5.2","5.7","0.918","1.1","3.6","4.7","7.4","1.5","0.1","3.6","2.7","27.8","120","112",1991
"23","John Battle","SG","28","ATL","79","2","1863","10.4","22.5","0.461","0.4","1.3","0.286","10","21.2","0.471","7.1","8.3","0.854","0.9","3.3","4.2","5.7","1.2","0.2","3","3.8","28.2","112","114",1991
"24","Kenny Battle","SG","26","TOT","56","8","945","6.1","13","0.472","0.1","1.1","0.125","6","11.9","0.504","3.2","4.3","0.753","3.8","4.3","8.1","2.9","2.8","0.8","2.4","5","15.6","108","112",1991
"25","William Bedford","C","27","DET","60","4","562","9.9","22.5","0.438","0.5","1.2","0.385","9.4","21.3","0.441","5.1","7.2","0.705","5.1","7.1","12.2","3","0.2","3.3","3","7.1","25.3","106","104",1991
"26","Benoit Benjamin","C","26","TOT","70","65","2236","8.4","17","0.496","0","0","0","8.4","17","0.496","4.6","6.4","0.712","3.4","12.3","15.8","2.6","1.2","3.2","5.1","4","21.4","97","103",1991
"27","Winston Bennett","SF","25","CLE","27","13","334","6","16.2","0.374","0","0","0","6","16.2","0.374","5.3","7.1","0.745","4.5","5.1","9.7","4.2","1.2","0.3","3","7.6","17.4","98","111",1991
"28","Larry Bird*","SF","34","BOS","60","60","2277","9.9","21.8","0.454","1.6","4.2","0.389","8.2","17.5","0.47","3.5","3.9","0.891","1.1","9.8","10.9","9.2","2.3","1.2","4","2.5","24.9","109","103",1991
"29","Rolando Blackman","SG","31","DAL","80","80","2965","10.9","22.6","0.482","0.7","2","0.351","10.2","20.7","0.494","4.8","5.6","0.865","1.1","3.3","4.4","5.2","1.2","0.3","2.7","2.6","27.3","110","114",1991
"30","Lance Blanks","SG","24","DET","38","0","214","6.3","14.9","0.426","0.5","3.9","0.125","5.9","11","0.533","2.4","3.4","0.714","1","3.9","4.9","6.3","2.2","0.5","4.4","8.5","15.6","92","105",1991
"31","Mookie Blaylock","PG","23","NJN","72","70","2585","8.1","19.4","0.416","0.3","1.7","0.154","7.8","17.7","0.441","2.6","3.3","0.79","1.3","3.4","4.7","8.3","3.2","0.7","3.9","3.4","19","97","107",1991
"32","Muggsy Bogues","PG","26","CHH","81","46","2299","5.2","11.2","0.46","0","0.3","0","5.2","11","0.471","1.8","2.3","0.796","1.2","3.4","4.6","14.4","2.9","0.1","2.6","3.4","12.2","114","110",1991
"33","Manute Bol","C","28","PHI","82","6","1522","2.1","5.4","0.396","0","0.5","0.071","2.1","4.9","0.427","0.8","1.4","0.585","2.2","9.4","11.5","0.7","0.5","8.1","2.1","6.1","5.1","80","102",1991
"34","Anthony Bonner","PF","22","SAC","34","6","750","7","15.5","0.448","0","0","0","7","15.5","0.448","3","5.1","0.579","4","6.9","10.9","3.3","2.6","0.3","2.8","4.2","16.9","97","107",1991
"35","Sam Bowie","C","29","NJN","62","51","1916","7.9","18.2","0.434","0.1","0.6","0.182","7.8","17.7","0.442","4.3","5.8","0.732","4.4","7.7","12.1","3.7","1.1","2.3","3.6","4.4","20.2","101","107",1991
"36","Randy Breuer","C","30","MIN","73","44","1505","6.8","15","0.453","0","0","0","6.8","15","0.453","1.2","2.7","0.443","3.9","8","11.9","2.5","1.2","2.8","2.4","4.6","14.8","97","109",1991
"37","Frank Brickowski","PF","31","MIL","75","73","1912","9.7","18.4","0.527","0","0.1","0","9.7","18.4","0.528","5.2","6.5","0.798","3.4","7.8","11.1","3.4","2.2","1.1","4.2","6.7","24.6","108","105",1991
"38","Scott Brooks","PG","25","MIN","80","0","980","8.4","19.6","0.43","2.4","7.2","0.333","6","12.5","0.485","3.2","3.8","0.847","1.5","2.3","3.8","10.8","2.8","0.3","2.7","6.5","22.5","116","112",1991
