"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","ORtg","DRtg","Yr"
"1","Zaid Abdul-Aziz","C","30","BUF","22","0","195","5.7","17","0.338","0","0","0","5.7","17","0.338","7.6","9.9","0.767","9.4","11.2","20.6","1.6","0.7","2.1","0","4.8","19","0","99",1977
"2","Kareem Abdul-Jabbar*","C","29","LAL","82","0","3016","13.5","23.3","0.579","0","0","0","13.5","23.3","0.579","5.7","8.1","0.701","4","12.5","16.6","4.8","1.5","4","0","4","32.7","0","92",1977
"3","Tom Abernethy","SF","22","LAL","70","0","1378","5.6","11.6","0.484","0","0","0","5.6","11.6","0.484","3.4","4.5","0.754","3.8","5.9","9.7","3.3","1.6","0.3","0","3.9","14.6","0","100",1977
"4","Alvan Adams","C","22","PHO","72","0","2278","10.3","21.8","0.474","0","0","0","10.3","21.8","0.474","5","6.6","0.754","3.6","9.3","12.9","6.4","1.9","1.7","0","5.1","25.6","0","94",1977
"5","Don Adams","SF","29","BUF","77","0","1710","5.7","13.8","0.411","0","0","0","5.7","13.8","0.411","3.4","4.5","0.746","3.4","6.3","9.7","3.9","1.9","0.4","0","5.3","14.7","0","101",1977
"6","Lucius Allen","PG","29","LAL","78","0","2482","8.7","19.1","0.456","0","0","0","8.7","19.1","0.456","3.6","4.7","0.774","1.1","3.6","4.6","7.5","2.1","0.4","0","3.4","21","0","101",1977
"7","Jerome Anderson","SG","23","IND","27","0","164","7.1","16.1","0.441","0","0","0","7.1","16.1","0.441","3.8","5.5","0.7","2.5","0.8","3.3","2.7","1.6","0.5","0","7.1","18","0","106",1977
"8","Tiny Archibald*","PG","28","NYN","34","0","1277","9.1","20.3","0.446","0","0","0","9.1","20.3","0.446","7.1","9.1","0.785","0.8","2.1","2.9","9.2","2.1","0.4","0","2.8","25.3","0","102",1977
"9","Jim Ard","C","28","BOS","63","0","969","4.4","11.7","0.378","0","0","0","4.4","11.7","0.378","2.3","3.5","0.645","3.5","10.1","13.6","2.4","0.8","1.3","0","5.9","11.1","0","96",1977
"10","Bird Averitt","SG","24","BUF","75","0","1136","9.2","24.4","0.378","0","0","0","9.2","24.4","0.378","4.8","6.7","0.716","0.8","2.3","3.1","5.3","1.2","0.2","0","5","23.2","0","106",1977
"11","Dennis Awtrey","C","28","PHO","72","0","1760","4.1","9.5","0.429","0","0","0","4.1","9.5","0.429","2.3","3.2","0.722","2.8","6.3","9.1","4.7","0.6","0.8","0","4.3","10.5","0","100",1977
"12","Mike Bantom","PF-SF","25","TOT","77","0","1909","8.6","18.1","0.478","0","0","0","8.6","18.1","0.478","5.4","7.4","0.723","4.4","6.9","11.3","2.4","1.5","1.2","0","5.6","22.7","0","99",1977
"13","Tom Barker","C","21","ATL","59","0","1354","6.2","14.8","0.417","0","0","0","6.2","14.8","0.417","3.8","5.6","0.683","3.8","9.8","13.6","2","1.1","1.4","0","7.6","16.1","0","99",1977
"14","Marvin Barnes","PF","24","DET","53","0","989","9","20.2","0.447","0","0","0","9","20.2","0.447","4.7","7","0.679","3.1","8.2","11.3","2","1.7","1.5","0","6.2","22.8","0","99",1977
"15","Jim Barnett","SG","32","PHI","16","0","231","5.4","12.3","0.438","0","0","0","5.4","12.3","0.438","1.9","3.5","0.556","1.3","1.3","2.7","4.4","0.8","0","0","5.4","12.7","0","104",1977
"16","Norton Barnhill","SG","23","SEA","4","0","10","9","27","0.333","0","0","0","9","27","0.333","0","0","0","9","4.5","13.5","4.5","0","0","0","22.5","18","0","103",1977
"17","Mike Barr","SG","26","KCK","73","0","1224","4.5","10.3","0.437","0","0","0","4.5","10.3","0.437","1.5","2.1","0.719","1.2","3.6","4.8","6.5","1.9","0.7","0","3.5","10.5","0","101",1977
"18","Rick Barry*","SF","32","GSW","79","0","2904","10.5","23.8","0.44","0","0","0","10.5","23.8","0.44","5.5","6","0.916","1.1","5.4","6.5","7.3","2.6","0.9","0","3","26.4","0","99",1977
"19","Tim Bassett","PF","25","NYN","76","0","2442","5.6","14","0.396","0","0","0","5.6","14","0.396","1.9","3.4","0.571","3.3","8.8","12.1","2.1","1.8","1","0","4.7","13","0","97",1977
"20","Butch Beard","PG","29","NYK","70","0","1082","6.1","12","0.505","0","0","0","6.1","12","0.505","3.1","4.5","0.688","2.1","4.6","6.7","5.9","2.3","0.2","0","5.6","15.2","0","100",1977
"21","Byron Beck","PF","32","DEN","53","0","480","9.6","22.1","0.435","0","0","0","9.6","22.1","0.435","3.2","4","0.818","4","4.6","8.6","3","1.3","0.1","0","5.3","22.5","0","99",1977
"22","Ron Behagen","PF","26","NOJ","60","0","1170","8.2","19.5","0.418","0","0","0","8.2","19.5","0.418","3.4","4.8","0.714","5.5","11","16.5","3.2","1.6","0.7","0","6.4","19.7","0","96",1977
"23","Mel Bennett","PF","22","IND","67","0","911","5","14.5","0.344","0","0","0","5","14.5","0.344","5.5","9.2","0.599","5.4","6.2","11.7","3.4","1.8","1.6","0","7.6","15.4","0","101",1977
"24","Henry Bibby","PG","27","PHI","81","0","2639","5.1","11.8","0.43","0","0","0","5.1","11.8","0.43","3.7","4.7","0.784","1.4","3.1","4.6","6","1.8","0.1","0","3.4","13.8","0","101",1977
"25","Bob Bigelow","SF","23","KCK","29","0","162","9.8","19.5","0.5","0","0","0","9.8","19.5","0.5","4.2","4.7","0.882","2.2","5.3","7.5","2.2","0.8","0.3","0","4.7","23.7","0","103",1977
"26","Dave Bing*","SG","33","WSB","64","0","1516","8.1","17.8","0.454","0","0","0","8.1","17.8","0.454","4.1","5.3","0.773","1.6","2.7","4.3","8.2","1.8","0.1","0","4.5","20.3","0","101",1977
