"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","ORtg","DRtg","Yr"
"1","Shareef Abdur-Rahim","C","30","SAC","80","45","2015","7.8","16.4","0.474","0.1","0.5","0.15","7.7","15.9","0.484","4.3","5.9","0.726","3.1","6.9","10","2.7","1.3","1","2.9","6.1","19.9","103","108",2007
"2","Hassan Adams","SG","22","NJN","61","8","495","8","14.3","0.556","0","0.1","0","8","14.2","0.56","2.5","3.8","0.667","3.7","4.5","8.2","1.4","1.8","0.4","2.3","5","18.5","109","107",2007
"3","Maurice Ager","SG","22","DAL","32","1","214","5.5","17.5","0.314","1.3","3.8","0.333","4.3","13.8","0.309","5","8.3","0.606","0.3","5","5.3","1.8","1","0.8","3.8","6.8","17.3","79","106",2007
"4","LaMarcus Aldridge","C","21","POR","63","22","1392","9.4","18.7","0.503","0","0.1","0","9.4","18.6","0.505","3.2","4.5","0.722","5.6","6.6","12.2","0.9","0.9","2.8","1.7","7.3","22.1","113","109",2007
"5","Malik Allen","PF","28","CHI","60","1","638","8.6","20.7","0.415","0","0.1","0","8.6","20.6","0.416","2.2","2.7","0.824","3.4","6.2","9.6","1.3","1.4","1.3","1.7","6.8","19.4","96","100",2007
"6","Ray Allen*","SG","31","SEA","55","55","2219","11.9","27.2","0.438","3.9","10.4","0.372","8","16.7","0.479","6.6","7.3","0.903","1.3","4.5","5.8","5.4","1.9","0.3","3.6","2.7","34.3","112","112",2007
"7","Tony Allen","SG","25","BOS","33","18","805","8.6","16.8","0.514","0.5","2.1","0.242","8.1","14.6","0.553","6.8","8.7","0.784","2.3","5.8","8","3.6","3.2","0.8","4.9","5.6","24.6","105","104",2007
"8","Rafer Alston","PG","30","HOU","82","82","3040","6.7","17.8","0.375","3.3","9.2","0.363","3.3","8.5","0.389","2.3","3.1","0.734","0.5","4.4","4.9","7.7","2.2","0.2","3","3.4","18.9","103","102",2007
"9","Lou Amundson","PF","24","TOT","11","0","89","3.6","8.9","0.4","0","0","0","3.6","8.9","0.4","2.4","5.9","0.4","7.7","8.9","16.6","0.6","0.6","4.8","3","8.9","9.5","91","103",2007
"10","Alan Anderson","SG","24","CHA","17","0","256","7.5","16.5","0.457","1","4.1","0.25","6.5","12.4","0.525","3.9","4.7","0.826","2.2","4.3","6.5","4.3","1.4","0","4.5","6.7","20","97","110",2007
"11","Derek Anderson","SF","32","CHA","50","32","1190","5.5","12.9","0.429","2.4","6.7","0.355","3.2","6.2","0.507","4.1","4.6","0.877","1.3","3.7","5","5.8","2.3","0.3","2.5","5","17.5","116","109",2007
"12","Carmelo Anthony","SF","22","DEN","65","65","2486","13.7","28.8","0.476","0.8","3","0.268","12.9","25.8","0.499","9.1","11.3","0.808","2.8","4.9","7.7","4.9","1.5","0.5","4.6","4","37.3","109","108",2007
"13","Rafael Araújo","C","26","UTA","28","0","248","5.7","13.7","0.415","0","0","0","5.7","13.7","0.415","3.8","6.1","0.621","4.6","9.3","13.9","2.1","1.3","0.4","3.6","8.2","15.2","93","106",2007
"14","Gilbert Arenas","PG","25","WAS","74","73","2942","11.2","26.8","0.418","3.6","10.1","0.351","7.7","16.7","0.459","10.5","12.5","0.844","1.1","4.8","5.9","7.7","2.4","0.2","4.1","4.3","36.5","115","111",2007
"15","Trevor Ariza","SG","21","ORL","57","7","1278","8.4","15.5","0.539","0","0.3","0","8.4","15.2","0.549","4.4","7.1","0.62","4.1","6.3","10.4","2.7","2.5","0.8","3.5","5.6","21.2","108","103",2007
"16","Darrell Armstrong","PG","38","IND","81","4","1275","6.4","15.4","0.414","2.9","8.7","0.336","3.4","6.6","0.515","3","3.8","0.785","1.4","4.1","5.5","7.8","2.9","0.2","3.1","4.2","18.6","110","105",2007
"17","Hilton Armstrong","C","22","NOK","56","5","634","5.7","10.5","0.544","0","0","0","5.7","10.5","0.544","3.4","5.6","0.597","4.9","7.6","12.5","0.8","1","2.2","2.9","6.6","14.8","106","105",2007
"18","Carlos Arroyo","PG","27","ORL","72","5","1304","8.3","19.6","0.425","0.6","2.1","0.275","7.7","17.5","0.443","5.4","6.8","0.795","1.3","4.2","5.5","8.3","1.6","0.1","3.7","5.4","22.6","105","107",2007
"19","Chucky Atkins","PG","32","MEM","75","23","2064","7.7","17.8","0.434","2.9","7.6","0.379","4.8","10.2","0.474","6.3","7.7","0.81","0.4","3","3.5","8.6","1.2","0.1","3.2","3.4","24.5","117","116",2007
"20","James Augustine","PF","22","ORL","2","0","7","7.6","22.9","0.333","0","0","0","7.6","22.9","0.333","0","0","0","7.6","15.3","22.9","15.3","0","0","0","15.3","15.3","112","102",2007
"21","Kelenna Azubuike","SG","23","GSW","41","9","669","7.1","15.9","0.445","2.5","5.7","0.43","4.6","10.2","0.454","4.4","5.6","0.782","1.9","4.9","6.8","2","1.6","0.7","2.8","3.5","21.1","108","109",2007
"22","Renaldo Balkman","SF","22","NYK","68","1","1064","6.9","13.7","0.505","0.2","1.3","0.185","6.7","12.3","0.54","2.5","4.5","0.567","4.8","9.8","14.6","2.2","2.8","2.2","2.4","7.3","16.6","109","102",2007
"23","Marcus Banks","PG","25","PHO","45","1","503","8.4","19.6","0.429","0.5","2.9","0.172","7.9","16.7","0.473","4.8","6","0.8","1","2.8","3.8","6","2.3","0.3","4","7","22.1","97","108",2007
"24","Leandro Barbosa","SG","24","PHO","80","18","2613","10.2","21.3","0.476","3.6","8.4","0.434","6.5","12.9","0.504","3.8","4.5","0.845","0.4","3.7","4.1","6.1","1.8","0.3","2.8","4","27.7","115","108",2007
"25","J.J. Barea","PG","22","DAL","33","1","191","7.9","21.9","0.359","1.7","5.9","0.286","6.2","16","0.386","4.5","6.7","0.667","2","5.1","7","6.7","0.3","0.3","3.9","5.3","21.9","94","108",2007
"26","Andrea Bargnani","PF","21","TOR","65","2","1629","8.5","19.9","0.427","3.2","8.5","0.373","5.3","11.4","0.468","3.7","4.5","0.824","1.7","6.5","8.1","1.6","1","1.7","3.4","5.7","23.9","99","106",2007
