"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","ORtg","DRtg","Yr"
"1","Alaa Abdelnaby","PF","25","BOS","13","0","159","7.6","17.4","0.436","0","0","0","7.6","17.4","0.436","5.1","7.9","0.64","3.8","10.7","14.5","0.9","0.6","0.9","5.4","6.3","20.2","86","108",1994
"2","Mahmoud Abdul-Rauf","PG","24","DEN","80","78","2617","11.2","24.4","0.46","0.8","2.5","0.316","10.4","21.9","0.476","4.2","4.4","0.956","0.5","2.7","3.2","6.9","1.6","0.2","2.9","2.9","27.4","109","107",1994
"3","Michael Adams","PG","31","WSB","70","67","2337","6.1","15","0.408","1.2","4.1","0.288","4.9","10.9","0.454","4.8","5.8","0.83","0.8","3.1","3.9","10.3","2.1","0.1","3.6","3","18.2","108","114",1994
"4","Mark Aguirre","SF","34","LAC","39","0","859","9.1","19.5","0.468","2.1","5.2","0.398","7.1","14.3","0.494","2.8","4","0.694","1.6","4.9","6.5","5.8","1.2","0.4","3.9","5.5","23.2","103","111",1994
"5","Danny Ainge","SG","34","PHO","68","1","1555","7.1","17.1","0.417","2.6","7.8","0.328","4.6","9.3","0.491","2.5","3","0.83","0.9","3.3","4.2","5.7","1.8","0.3","2.6","4.5","19.3","109","110",1994
"6","Gary Alexander","PF","24","TOT","11","0","55","7.6","13.3","0.571","0","0","0","7.6","13.3","0.571","2.8","8.5","0.333","6.6","7.6","14.2","1.9","2.8","0","7.6","9.5","18","82","103",1994
"7","Victor Alexander","C","24","GSW","69","39","1318","9.8","18.5","0.53","0.1","0.5","0.154","9.7","18","0.54","2.5","4.7","0.527","4.2","7.1","11.3","2.4","1","1.2","3.2","6.2","22.1","105","108",1994
"8","Eric Anderson","PF","23","NYK","11","0","39","9.3","22.5","0.412","2.7","2.7","1","6.6","19.9","0.333","6.6","18.6","0.357","8","14.6","22.5","2.7","0","1.3","2.7","11.9","27.8","99","96",1994
"9","Greg Anderson","PF","29","DET","77","47","1624","6.3","11.6","0.543","0","0.1","0.333","6.3","11.5","0.545","2.8","4.8","0.571","5.7","12.2","17.9","1.6","1.7","2.1","3","7.3","15.4","107","105",1994
"10","Kenny Anderson","PG","23","NJN","82","82","3135","9.2","22.1","0.417","0.6","2.1","0.303","8.6","20","0.429","5.5","6.8","0.818","1.4","3.7","5.2","12.6","2.5","0.2","4.3","3.2","24.6","106","106",1994
"11","Nick Anderson","SG","26","ORL","81","81","2811","9","18.9","0.478","1.8","5.6","0.322","7.2","13.3","0.545","3","4.5","0.672","2","6.5","8.5","5.3","2.4","0.6","3","2.7","22.9","111","106",1994
"12","Ron Anderson","SF","35","TOT","21","2","356","4.9","12.1","0.407","1","3.7","0.269","3.9","8.5","0.467","2.7","3.2","0.826","2.3","5.2","7.5","2.4","1.1","0.4","1.4","2.3","13.5","109","111",1994
"13","Willie Anderson","SG","27","SAS","80","79","2488","8.4","17.9","0.471","0.5","1.5","0.324","8","16.5","0.484","3.1","3.7","0.848","1.5","3.7","5.2","7.4","1.5","1","3.3","4","20.4","109","107",1994
"14","Greg Anthony","PG","26","NYK","80","36","1994","5.8","14.8","0.394","1.2","4.1","0.3","4.6","10.7","0.431","3.4","4.4","0.774","1.1","3.8","4.9","9.5","3","0.3","3.3","4.2","16.3","105","99",1994
"15","B.J. Armstrong","PG","26","CHI","82","82","2770","9","19","0.476","1.1","2.5","0.444","7.9","16.4","0.481","3.7","4.3","0.855","0.5","2.7","3.2","6.1","1.5","0.2","2.5","2.8","22.9","113","107",1994
"16","Vincent Askew","SG","27","SEA","80","3","1690","8.2","16.9","0.481","0.2","0.9","0.194","8","16","0.498","5.2","6.3","0.829","1.8","3.7","5.5","5.8","2.2","0.6","2.1","4.3","21.7","118","105",1994
"17","Keith Askins","SF","26","MIA","37","0","319","5.8","14.1","0.409","0.6","3.4","0.19","5.1","10.7","0.478","1.4","1.6","0.9","5.3","7.9","13.2","2.1","1.8","0.2","3.4","9.1","13.6","96","106",1994
"18","Stacey Augmon","SG","25","ATL","82","82","2605","8.6","16.8","0.51","0","0.1","0.143","8.6","16.7","0.513","6.5","8.5","0.764","3.5","4.2","7.7","3.7","2.9","0.9","2.9","3.5","23.7","116","102",1994
"19","Isaac Austin","C","24","PHI","14","0","201","7.2","16.5","0.439","0","0.2","0","7.2","16.2","0.446","3.5","5.7","0.609","6.2","11","17.2","4.2","1.2","2.5","4.2","7.2","18","96","106",1994
"20","Anthony Avent","PF","24","TOT","74","40","1371","5.5","14.7","0.377","0","0","0","5.5","14.7","0.377","3.3","4.5","0.724","5.3","7.2","12.5","2.4","1.2","1.1","3.1","5.4","14.4","93","109",1994
"21","John Bagley","PG","33","ATL","3","0","13","0","7.8","0","0","0","0","0","7.8","0","7.8","7.8","1","0","3.9","3.9","11.8","0","0","0","7.8","7.8","121","109",1994
"22","Thurl Bailey","PF","32","MIN","79","3","1297","9.1","17.8","0.51","0","0.1","0","9.1","17.7","0.512","4.7","5.8","0.799","2.6","5.8","8.4","2.1","0.8","2.3","2.3","3.6","22.8","111","110",1994
"23","Vin Baker","C","22","MIL","82","63","2560","8.6","17.2","0.501","0","0.1","0.2","8.6","17.1","0.502","4.6","8.2","0.569","5.5","6.8","12.3","3.2","1.2","2.3","3.2","4.6","21.9","106","109",1994
"24","Charles Barkley*","PF","30","PHO","65","65","2298","11.2","22.6","0.495","1","3.8","0.27","10.1","18.7","0.541","6.9","9.8","0.704","4.3","11.4","15.7","6.4","2.2","0.8","4.4","3.5","30.3","113","103",1994
"25","Dana Barros","PG","26","PHI","81","70","2519","8.2","17.5","0.469","2.7","7.1","0.381","5.5","10.4","0.529","2.3","2.9","0.8","0.6","3.3","3.9","8.4","2.1","0.1","3.3","1.9","21.4","111","112",1994
"26","Jon Barry","SG","24","MIL","72","7","1242","6.5","15.6","0.414","1.3","4.7","0.278","5.2","10.9","0.472","4","5","0.795","1.5","4.5","6","6.9","4.2","0.7","3.4","4.5","18.2","103","106",1994
"27","John Battle","SG","31","CLE","51","1","814","8.4","17.6","0.476","0.3","1.2","0.263","8","16.3","0.492","4.7","6.2","0.753","0.5","2.1","2.5","5.3","1.4","0.1","2.6","4.2","21.7","108","110",1994
"28","Benoit Benjamin","C","29","NJN","77","74","1817","7.8","16.3","0.48","0","0","0","7.8","16.3","0.48","4.2","5.9","0.71","3.7","10.1","13.8","1.2","1","2.5","2.7","5.5","19.9","105","103",1994
"29","Tony Bennett","PG","24","CHH","74","5","983","5.3","13.2","0.399","1.4","3.8","0.36","3.9","9.4","0.415","0.6","0.8","0.733","0.8","3.7","4.5","8.2","2","0.1","2","4.2","12.4","103","111",1994
"30","David Benoit","SF","25","UTA","55","18","1070","6.7","17.4","0.385","0.6","2.8","0.203","6.1","14.5","0.421","3.3","4.2","0.773","4.3","8.2","12.5","1.1","1.1","1.8","1.8","5.5","17.2","99","104",1994
"31","Rolando Blackman","SG","34","NYK","55","1","969","8.6","19.7","0.436","1.6","4.5","0.357","7","15.2","0.46","2.6","2.8","0.906","1.2","3.7","5","4.1","1.3","0.3","2.3","5.3","21.3","106","102",1994
"32","Mookie Blaylock","PG","26","ATL","81","81","2915","7.8","18.9","0.411","2","6","0.334","5.8","12.9","0.447","2","2.8","0.73","2","5.4","7.4","13.8","3.7","0.8","3.4","2.5","19.5","111","100",1994
"33","Corie Blount","PF","25","CHI","67","8","690","5.8","13.2","0.437","0","0","0","5.8","13.2","0.437","3.5","5.7","0.613","5.8","8.9","14.7","4.2","1.4","2.5","3.9","7","15","98","100",1994
"34","Muggsy Bogues","PG","29","CHH","77","77","2746","6.3","13.5","0.471","0","0.2","0.167","6.3","13.2","0.476","2.2","2.8","0.806","1.4","4.2","5.6","14","2.4","0","3.1","2.6","15","114","110",1994
