"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","ORtg","DRtg","Yr"
"1","Mahmoud Abdul-Rauf","PG","27","SAC","75","51","2131","10.2","22.9","0.445","2.3","6.1","0.382","7.8","16.8","0.468","2.8","3.4","0.846","0.4","2.6","3","4.7","1.4","0.1","2.9","4.3","25.5","105","112",1997
"2","Shareef Abdur-Rahim","PF","20","VAN","80","71","2802","10.7","23.5","0.453","0.1","0.5","0.259","10.5","23","0.457","7.5","10.1","0.746","4.2","6.6","10.7","3.4","1.5","1.5","4.4","3.9","28.9","102","112",1997
"3","Rafael Addison","SF","32","CHH","41","3","355","7.5","18.6","0.402","1.2","3.1","0.4","6.3","15.6","0.402","3.4","4.3","0.786","2.9","4","6.9","5.2","1.2","0.5","2.6","7.9","19.5","103","112",1997
"4","Cory Alexander","PG","23","SAS","80","6","1454","7.3","18.5","0.396","3.6","9.5","0.373","3.8","9","0.42","3.6","4.9","0.736","1.1","3.6","4.7","9.6","3.1","0.6","5.5","5.6","21.8","101","112",1997
"5","Jerome Allen","SG","24","TOT","76","1","943","4.4","12.5","0.353","1.7","5.3","0.323","2.7","7.2","0.375","2.4","4.1","0.583","1.4","4.1","5.5","8.6","1.8","0.2","3.9","4.8","12.9","95","109",1997
"6","Ray Allen*","SG","21","MIL","82","81","2532","8.3","19.2","0.43","2.5","6.3","0.393","5.8","12.9","0.448","4.3","5.3","0.823","2.1","4.8","6.9","4.4","1.6","0.2","3.2","4.6","23.3","109","110",1997
"7","Derrick Alston","C","24","ATL","2","0","11","0","25.1","0","0","0","0","0","25.1","0","0","10.1","0","15.1","5","20.1","0","0","0","0","0","0","35","109",1997
"8","Ashraf Amaya","PF","25","WSB","31","0","144","4.3","14.4","0.3","0.4","0.4","1","4","14.1","0.282","5.4","10.1","0.536","6.9","11.9","18.8","1.1","2.5","1.1","3.6","10.5","14.4","86","99",1997
"9","Greg Anderson","C","32","SAS","82","48","1659","4.3","8.7","0.496","0","0","0","4.3","8.6","0.498","2.1","3.1","0.667","5.2","9.6","14.8","1.1","2.1","2.2","2.4","7.5","10.7","105","108",1997
"10","Kenny Anderson","PG","26","POR","82","81","3081","8.3","19.5","0.427","2.3","6.3","0.361","6","13.2","0.458","5.7","7.5","0.768","1.6","4.7","6.2","10","2.8","0.3","3.3","3.8","24.6","117","104",1997
"11","Nick Anderson","SG","29","ORL","63","61","2163","7.2","18.2","0.397","3.6","10.2","0.353","3.6","8","0.453","1","2.4","0.404","1.7","6","7.6","4.6","3","0.8","2.2","4","19","104","104",1997
"12","Shandon Anderson","SG","23","UTA","65","0","1066","7.4","15.9","0.462","1.2","2.4","0.511","6.2","13.6","0.454","3.4","5","0.687","2.6","6.4","9","2.5","1.4","0.4","3.7","5.7","19.3","99","106",1997
"13","Willie Anderson","SG","30","MIA","28","1","303","5.2","11.5","0.453","1.4","3.4","0.421","3.8","8.1","0.467","3.1","3.6","0.85","2.7","4.8","7.5","6.1","2.5","0.7","3.4","6.5","14.9","111","101",1997
"14","Greg Anthony","PG","29","VAN","65","44","1863","5.8","14.8","0.393","2.6","6.9","0.37","3.2","7.8","0.413","3.8","5.2","0.73","0.7","4.6","5.4","11.9","3.8","0.1","3.8","3.6","17.9","108","110",1997
"15","B.J. Armstrong","PG","29","GSW","49","17","1020","7.6","16.7","0.453","1.3","4.6","0.278","6.3","12.1","0.519","3.5","4","0.861","0.4","3.4","3.8","6.5","1.3","0.1","2.7","2.9","19.9","110","116",1997
"16","Darrell Armstrong","PG","28","ORL","67","0","1010","7.1","18.6","0.383","3","9.7","0.304","4.1","8.8","0.47","4.9","5.7","0.868","1.9","2.2","4.1","9.4","3.3","0.5","5.3","6.1","22.1","103","107",1997
"17","Vincent Askew","SG","30","TOT","43","0","838","5.2","12","0.435","0.5","1.5","0.292","4.8","10.4","0.457","4.5","5.7","0.795","1.6","4.7","6.3","5.8","1.1","0.4","3","7.9","15.4","107","108",1997
"18","Keith Askins","SF","29","MIA","78","30","1773","4.2","9.8","0.433","2.1","5.3","0.401","2.1","4.5","0.469","1.2","1.8","0.672","2.6","5.7","8.3","2.3","1.6","0.6","1.8","6","11.8","111","102",1997
"19","Stacey Augmon","SG","28","TOT","60","10","942","6","12.6","0.477","0","0","0","6","12.6","0.477","4","5.6","0.711","2.7","5.2","7.9","3.2","2.4","1","3.7","5","16","100","103",1997
"20","Isaac Austin","C","27","MIA","82","17","1881","9.3","18.5","0.502","0","0.1","0","9.3","18.4","0.505","4.3","6.5","0.664","3.9","9.9","13.8","2.9","1.3","1.2","4.7","7.1","22.9","99","99",1997
"21","Vin Baker","PF","25","MIL","78","78","3159","10.7","21.2","0.505","0.3","0.9","0.278","10.5","20.3","0.515","6.1","8.8","0.687","4.5","9.1","13.6","3.6","1.4","1.9","4.2","4.7","27.8","108","106",1997
"22","Charles Barkley*","PF","33","HOU","53","53","2009","8.7","18","0.484","1.5","5.3","0.283","7.2","12.7","0.569","7.5","10.8","0.694","5.5","13.1","18.7","6.5","1.8","0.7","3.9","4","26.5","117","100",1997
"23","Dana Barros","PG","29","BOS","24","8","708","7.8","17.9","0.435","3","7.4","0.41","4.7","10.5","0.453","2.6","3","0.86","0.4","3","3.4","5.7","1.8","0.4","2.8","2.4","21.2","109","114",1997
"24","Brent Barry","SG","25","LAC","59","0","1094","7.4","18.2","0.409","2.7","8.3","0.324","4.8","9.9","0.481","3.7","4.5","0.817","1.4","3.8","5.3","7.4","2.5","0.7","3.7","4.2","21.2","107","109",1997
"25","Jon Barry","SG","27","ATL","58","8","965","5.7","14.1","0.407","2.8","7.1","0.387","3","7","0.426","2.1","2.6","0.804","1.5","4.2","5.7","6.6","3.2","0.2","3.4","3.2","16.3","108","103",1997
"26","Benoit Benjamin","C","32","TOR","4","3","44","6","14.5","0.417","0","0","0","6","14.5","0.417","3.6","4.8","0.75","3.6","7.2","10.8","1.2","1.2","0","2.4","6","15.7","99","110",1997
"27","Elmer Bennett","PG","26","TOT","9","0","75","4.2","13.2","0.316","2.1","6.2","0.333","2.1","6.9","0.3","4.9","6.9","0.7","0","2.8","2.8","7.6","2.8","0","6.9","4.9","15.3","82","111",1997
"28","Travis Best","PG","24","IND","76","46","2064","7.2","16.2","0.442","1.5","4.1","0.368","5.7","12.2","0.467","3.9","5.1","0.756","0.9","3.4","4.3","8.3","2.6","0.1","4","5.8","19.7","105","106",1997
"29","Mookie Blaylock","PG","29","ATL","78","78","3056","9.1","21","0.432","4","10.9","0.366","5.1","10","0.505","2.4","3.1","0.753","2.1","5.4","7.5","8.4","3.8","0.4","3.3","2.6","24.5","115","100",1997
"30","Corie Blount","PF","28","LAL","58","18","1009","4.8","9.3","0.514","0.1","0.2","0.333","4.7","9.2","0.517","2.9","4.3","0.675","5.9","8.5","14.4","1.8","1.1","1.4","2.6","6.3","12.6","112","104",1997
"31","Muggsy Bogues","PG","32","CHH","65","65","1880","5.9","12.8","0.46","1.7","4.2","0.417","4.2","8.6","0.482","1.6","1.8","0.844","0.7","3.3","4.1","13.5","2.4","0.1","3.1","3.3","15","119","111",1997
"32","Dexter Boney","SG","26","PHO","8","0","48","6.4","20.4","0.316","1.1","6.4","0.167","5.4","13.9","0.385","6.4","8.6","0.75","3.2","3.2","6.4","0","2.1","1.1","1.1","3.2","20.4","95","110",1997
"33","Melvin Booker","PG","24","TOT","21","4","430","5.6","12.7","0.438","1.5","4.5","0.324","4.1","8.3","0.5","2.2","2.4","0.9","0.8","2.7","3.5","6.4","0.4","0.2","3.3","3.4","14.8","105","118",1997
"34","Bruce Bowen","SF","25","MIA","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54.4","0","0","0","0","60",1997
"35","Donnie Boyce","SG","23","ATL","22","2","154","7.5","22.6","0.333","0.7","5.7","0.125","6.8","16.9","0.404","3.9","7.9","0.5","2.5","2.9","5.4","4.7","3.6","1.4","5.7","6.1","19.7","77","102",1997
