"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","ORtg","DRtg","Yr"
"1","Shareef Abdur-Rahim","PF","29","SAC","72","30","1961","8.8","16.8","0.525","0.1","0.6","0.227","8.7","16.2","0.536","5.8","7.4","0.784","2.8","6.7","9.5","4","1.3","1.1","2.9","6","23.6","115","105",2006
"2","Alex Acker","SG","23","DET","5","0","35","6.3","25.3","0.25","1.6","7.9","0.2","4.7","17.4","0.273","0","0","0","1.6","6.3","7.9","6.3","1.6","0","6.3","6.3","14.2","61","105",2006
"3","Malik Allen","PF","27","CHI","54","20","701","8.9","18.2","0.49","0.1","0.1","1","8.8","18.1","0.488","1.7","2.8","0.605","3.2","7.1","10.3","1.5","1","1.2","2.5","6.8","19.6","98","104",2006
"4","Ray Allen*","SG","30","SEA","78","78","3022","11.8","26","0.454","4.7","11.3","0.412","7.1","14.7","0.486","5.6","6.2","0.903","1.2","4.5","5.8","5","1.8","0.3","3.3","2.6","33.9","118","116",2006
"5","Tony Allen","PG","24","BOS","51","9","978","6.9","14.6","0.471","0.6","1.8","0.324","6.3","12.8","0.492","5.3","7.1","0.746","1.7","4.2","5.9","3.6","2.7","1","3.6","6.7","19.6","103","106",2006
"6","Rafer Alston","PG","29","HOU","63","63","2431","6.3","16.6","0.379","2.3","7","0.327","4","9.6","0.418","2.2","3.2","0.692","0.8","4.9","5.7","9.5","2.3","0.3","3.5","4.4","17.1","99","104",2006
"7","Chris Andersen","C","27","NOK","32","2","570","5.3","9.3","0.571","0","0","0","5.3","9.3","0.571","4.6","9.8","0.476","5.8","8.9","14.7","0.6","0.8","3.9","2.5","8","15.2","109","104",2006
"8","Alan Anderson","SF","23","CHA","36","7","564","6.8","16.5","0.414","2.2","5.3","0.414","4.6","11.2","0.415","3","3.7","0.805","2.1","4.3","6.4","2.9","1","0.4","2.9","4.4","18.9","101","111",2006
"9","Derek Anderson","SG","31","TOT","43","11","1047","5.5","15.5","0.356","2","6.9","0.299","3.5","8.6","0.402","4.8","5.7","0.838","1.1","6.2","7.3","5.2","1.2","0.3","2.8","5","17.9","102","106",2006
"10","Shandon Anderson","SF","32","MIA","48","1","638","4.4","10.4","0.429","0.4","1.6","0.263","4","8.8","0.458","1.1","1.5","0.722","1.5","5.2","6.7","2.5","1.4","0.5","2","6.2","10.4","95","106",2006
"11","Martynas Andriuškevicius","C","19","CLE","6","0","9","0","5.9","0","0","0","0","0","5.9","0","0","0","0","5.9","17.8","23.8","0","11.9","0","0","5.9","0","64","78",2006
"12","Carmelo Anthony","SF","21","DEN","80","80","2941","13.1","27.3","0.481","0.6","2.6","0.243","12.5","24.7","0.506","10","12.3","0.808","2.1","4.7","6.8","3.8","1.5","0.7","3.8","4","36.9","110","108",2006
"13","Rafael Araújo","C","25","TOR","52","34","601","4.6","12.7","0.366","0","0.1","0","4.6","12.6","0.368","1.3","2.5","0.536","3.8","8.9","12.6","1.3","2.1","0.5","3.7","9.1","10.6","77","110",2006
"14","Gilbert Arenas","PG","24","WAS","80","80","3384","11.5","25.6","0.447","3.1","8.3","0.369","8.4","17.3","0.485","10.1","12.3","0.82","0.9","3.4","4.3","7.4","2.5","0.4","4.6","4.4","36.1","115","108",2006
"15","Trevor Ariza","SF","20","TOT","57","10","999","5","12.1","0.412","0.1","0.3","0.2","4.9","11.8","0.416","4.1","6.8","0.606","4.2","7.5","11.6","3.3","3","0.6","3.3","5.3","14.1","96","106",2006
