"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","ORtg","DRtg","Yr"
"1","Quincy Acy","PF","24","NYK","68","22","1287","6.2","13.5","0.459","0.7","2.5","0.3","5.5","11.1","0.494","3.1","4","0.784","3.2","9.1","12.3","2.8","1.1","0.9","2.5","6","16.3","105","109",2015
"2","Jordan Adams","SG","20","MEM","30","0","248","7.4","18.1","0.407","2.1","5.3","0.4","5.3","12.8","0.41","2.9","4.8","0.609","1.9","4","5.9","3.4","3.4","1.5","2.9","5.1","19.8","96","100",2015
"3","Steven Adams","C","21","OKC","70","67","1771","6.1","11.3","0.544","0","0.1","0","6.1","11.2","0.547","2.9","5.8","0.502","5.6","9.2","14.8","1.9","1.1","2.4","2.8","6.3","15.2","108","104",2015
"4","Jeff Adrien","PF","28","MIN","17","0","215","4.5","10.4","0.432","0","0","0","4.5","10.4","0.432","5.2","9","0.579","5.4","12.8","18.2","3.5","0.9","2.1","2.1","7.1","14.2","109","108",2015
"5","Arron Afflalo","SG","29","TOT","78","72","2502","7.5","17.8","0.424","2.4","6.7","0.354","5.2","11.1","0.466","3.4","4","0.843","0.5","4.4","5","2.6","0.8","0.1","2.3","3.4","20.8","103","111",2015
"6","Alexis Ajinça","C","26","NOP","68","8","957","9.9","18.1","0.55","0","0","0","9.9","18.1","0.55","4.4","5.4","0.818","5.7","11.6","17.3","2.6","1.2","2.8","3.8","8.3","24.3","113","103",2015
"7","Furkan Aldemir","PF","23","PHI","41","9","540","3.7","7.2","0.513","0","0.5","0","3.7","6.8","0.548","1.2","2.5","0.481","7.2","9.1","16.3","2.6","1.6","1.5","1.6","8.9","8.6","117","104",2015
"8","Cole Aldrich","C","26","NYK","61","16","976","7.8","16.2","0.478","0","0","0","7.8","16.2","0.478","2.7","3.5","0.781","5.4","12.8","18.2","4","2","3.5","3.2","6.6","18.2","104","102",2015
"9","LaMarcus Aldridge","PF","29","POR","71","71","2512","13.4","28.7","0.466","0.8","2.1","0.352","12.6","26.6","0.475","6.2","7.3","0.845","3.6","11.1","14.7","2.5","1","1.4","2.5","2.5","33.7","108","102",2015
"10","Lavoy Allen","C","25","IND","63","0","1070","6.8","14.4","0.472","0","0","0","6.8","14.4","0.472","1.6","2.3","0.702","5.9","9.6","15.6","3.5","0.7","2","1.9","4.9","15.2","109","102",2015
