"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","ORtg","DRtg","Yr"
"1","Kareem Abdul-Jabbar*","C","35","LAL","79","79","2554","13.1","22.2","0.588","0","0","0","13.1","22.2","0.589","5","6.7","0.749","3","7.7","10.7","3.6","1.1","3.1","3.6","4","31.2","118","104",1983
"2","Alvan Adams","C","28","PHO","80","75","2447","9.2","18.9","0.486","0","0.1","0.333","9.2","18.9","0.487","3.5","4.2","0.829","3.1","7.5","10.6","7.3","2.2","1.4","4.7","5.5","21.9","102","98",1983
"3","Mark Aguirre","SF","23","DAL","81","75","2784","12.9","26.7","0.483","0.3","1.3","0.211","12.6","25.4","0.496","7.2","9.9","0.728","3.2","5.3","8.5","5.6","1.3","0.4","4.4","4.1","33.2","108","110",1983
"4","Danny Ainge","SG","23","BOS","80","76","2048","8","16.2","0.496","0.1","0.7","0.172","7.9","15.6","0.509","1.6","2.2","0.742","1.9","3","4.8","5.7","2.5","0.1","2.2","5.8","17.8","110","104",1983
"5","Dwight Anderson","PG","22","DEN","5","0","33","9.1","18.2","0.5","0","0","0","9.1","18.2","0.5","9.1","13","0.7","0","2.6","2.6","3.9","1.3","0","6.5","9.1","27.3","96","112",1983
"6","J.J. Anderson","SF","22","TOT","65","2","1202","7.1","14.1","0.501","0","0.1","0","7.1","14","0.507","3.7","6.5","0.571","4.4","6.5","11","2.5","2.3","0.8","2.9","5.7","17.9","103","103",1983
"7","Richard Anderson","C","22","SDC","78","5","1274","6.4","15.8","0.404","0.3","0.7","0.368","6.1","15.1","0.405","1.8","2.5","0.696","4.1","5.9","10","4.4","2.1","1","3.4","6.2","14.7","94","108",1983
"8","Tiny Archibald*","PG","34","BOS","66","19","1811","6","14.1","0.425","0.1","0.6","0.208","5.9","13.5","0.435","5.6","7.5","0.743","0.6","1.7","2.3","10.4","1","0.1","4.2","2.8","17.7","104","108",1983
"9","John Bagley","PG","22","CLE","68","3","990","8","18.5","0.432","0","0.7","0","8","17.8","0.448","3.2","4.2","0.762","0.8","3.9","4.8","8.3","2.7","0.2","5.9","3.7","19.2","89","106",1983
"10","James Bailey","PF","25","TOT","75","39","1765","10.2","20.6","0.497","0","0","0","10.2","20.6","0.498","6","8.6","0.702","4.5","8.1","12.6","1.8","1.1","1.6","5.2","7.2","26.5","99","106",1983
"11","Greg Ballard","SF","28","WSB","78","78","2840","10.2","21.7","0.473","0.2","0.6","0.351","10","21","0.477","3.1","4","0.781","2.1","6.5","8.6","4.5","2.3","0.4","2.7","3","23.8","104","99",1983
