"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","ORtg","DRtg","Yr"
"1","Quincy Acy","PF","25","SAC","59","29","876","6.5","11.7","0.556","1","2.7","0.388","5.5","9","0.606","2.7","3.7","0.735","3.6","6.7","10.3","1.5","1.6","1.3","1.5","5.6","16.8","124","108",2016
"2","Jordan Adams","SG","21","MEM","2","0","15","6.9","20.6","0.333","0","3.4","0","6.9","17.2","0.4","10.3","17.2","0.6","0","6.9","6.9","10.3","10.3","0","6.9","6.9","24","84","90",2016
"3","Steven Adams","C","22","OKC","80","80","2014","6.4","10.5","0.613","0","0","0","6.4","10.5","0.613","2.8","4.8","0.582","5.4","7.7","13.1","1.5","1","2.2","2.1","5.5","15.7","123","105",2016
"4","Arron Afflalo","SG","30","NYK","71","57","2371","7.7","17.3","0.443","2","5.2","0.382","5.7","12.2","0.469","2.4","2.8","0.84","0.5","5.3","5.8","3.1","0.5","0.2","1.8","3.1","19.7","105","112",2016
"5","Alexis Ajinça","C","27","NOP","59","17","861","8.6","18.1","0.476","0","0.1","0","8.6","18.1","0.478","3","3.6","0.839","4.3","11.2","15.5","1.8","1.1","2.1","3.1","7.7","20.3","100","107",2016
"6","Cole Aldrich","C","27","LAC","60","5","800","8.4","14.1","0.596","0","0","0","8.4","14.1","0.596","3.8","5.3","0.714","5.4","12.7","18","3.1","2.9","4.3","4","8.7","20.5","113","94",2016
"7","LaMarcus Aldridge","PF","30","SAS","74","74","2261","12.1","23.7","0.513","0","0.4","0","12.1","23.3","0.521","5.9","6.8","0.858","4","10.3","14.3","2.5","0.9","1.8","2.2","3.4","30.1","114","99",2016
"8","Cliff Alexander","PF","20","POR","8","0","36","6.9","13.9","0.5","0","0","0","6.9","13.9","0.5","0","0","0","2.8","5.6","8.3","0","1.4","2.8","1.4","1.4","13.9","100","107",2016
"9","Lavoy Allen","PF","26","IND","79","28","1599","5.9","11.5","0.516","0","0","0","5.9","11.5","0.516","1.4","2.3","0.63","5","8.1","13.2","2.4","0.8","1.3","2.1","4.6","13.3","110","104",2016
"10","Tony Allen","SG","34","MEM","64","57","1620","6.8","14.9","0.458","0.5","1.3","0.357","6.4","13.6","0.468","2.9","4.4","0.652","3.3","6.1","9.4","2.2","3.5","0.6","2.5","5.6","17","101","105",2016
"11","Al-Farouq Aminu","SF","25","POR","82","82","2341","6.4","15.4","0.416","2.7","7.5","0.361","3.7","7.9","0.468","2.5","3.3","0.737","2.1","8.6","10.7","2.9","1.5","1.1","2.6","3.7","17.9","105","107",2016
"12","Lou Amundson","PF","33","NYK","29","0","204","4.8","13.4","0.358","0","0","0","4.8","13.4","0.358","3.5","6.8","0.519","5.8","6.6","12.3","3","1.5","1.8","3.8","11.1","13.1","87","106",2016
