"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","ORtg","DRtg","Yr"
"1","Kareem Abdul-Jabbar*","C","38","LAL","79","79","2629","13.4","23.8","0.564","0","0","0","13.4","23.7","0.565","6","7.8","0.765","2.4","6.1","8.5","5","1.2","2.3","3.6","4.4","32.8","118","106",1986
"2","Alvan Adams","C","31","PHO","78","45","2005","7.8","15.5","0.502","0","0","0","7.8","15.5","0.504","3.6","4.6","0.783","3.4","7.5","10.9","7.4","2.4","1.1","4.7","6.2","19.2","104","105",1986
"3","Michael Adams","PG","23","SAC","18","0","139","5.4","14.9","0.364","0","1","0","5.4","13.9","0.39","2.7","4.1","0.667","0.7","1.4","2","7.5","3","0.3","3.7","3","13.5","86","109",1986
"4","Mark Aguirre","SF","26","DAL","74","73","2501","12.5","24.9","0.503","0.3","1.1","0.286","12.2","23.9","0.513","6","8.5","0.705","3.3","5","8.4","6.4","1.2","0.3","4.7","4.3","31.4","107","113",1986
"5","Danny Ainge","SG","26","BOS","80","78","2407","7","13.8","0.504","0.5","1.4","0.356","6.4","12.4","0.521","2.4","2.7","0.904","0.9","3.7","4.6","8","1.9","0.1","2.5","4","16.8","115","105",1986
"6","Ron Anderson","SF","27","TOT","77","30","1676","8.8","17.8","0.494","0.1","0.3","0.222","8.7","17.6","0.498","2.4","3.6","0.669","3.7","4.1","7.8","4.1","1.6","0.2","2.3","3.5","20.1","107","108",1986
"7","John Bagley","PG","25","CLE","78","77","2472","7","16.5","0.423","0.2","0.7","0.243","6.8","15.8","0.431","3.2","4.1","0.791","1.5","3.8","5.3","14","2.3","0.2","4.6","3.2","17.4","102","109",1986
"8","James Bailey","PF","28","NYK","48","36","1245","7.9","17.3","0.456","0","0.2","0","7.9","17.2","0.46","5","6.5","0.772","4","9.1","13.1","2","1.3","1.6","3.9","8.1","20.8","98","103",1986
"9","Thurl Bailey","PF","24","UTA","82","13","2358","9.5","21.2","0.448","0","0.1","0","9.5","21.1","0.451","4.5","5.5","0.83","2.9","6.8","9.7","3","0.8","2.2","2.8","3.2","23.6","102","105",1986
"10","Greg Ballard","SF","31","GSW","75","14","1792","7","14.7","0.477","0.4","0.9","0.486","6.6","13.8","0.477","2.6","3.2","0.802","3.4","7.3","10.7","2.1","1.7","0.2","1.4","4.5","17","115","111",1986
"11","Gene Banks","SF","26","CHI","82","33","2139","8","15.5","0.517","0","0.4","0","8","15.1","0.532","4.1","5.7","0.718","4","4.1","8.1","5.6","1.8","0.2","3.1","4.8","20.1","114","113",1986
"12","Ken Bannister","PF","25","NYK","70","15","1405","8.1","16.6","0.491","0","0","0","8.1","16.6","0.492","4.5","8.6","0.526","3.1","8.1","11.2","1.5","1.5","0.8","4.5","7.2","20.8","91","104",1986
"13","Charles Barkley*","PF","22","PHI","80","80","2952","9.6","16.8","0.572","0.3","1.2","0.227","9.4","15.6","0.598","6.4","9.4","0.685","5.7","10.9","16.6","5","2.8","2","5.7","5.4","25.9","111","100",1986
"14","John Battle","SG","23","ATL","64","0","639","7.6","16.7","0.455","0","0.5","0","7.6","16.2","0.47","5.6","7.7","0.728","0.9","3.8","4.7","5.6","1.7","0.2","3.5","6","20.8","104","108",1986
"15","Benoit Benjamin","C","21","LAC","79","37","2088","7.3","14.8","0.49","0","0.1","0.333","7.2","14.7","0.491","5.1","6.9","0.746","3.6","9.8","13.4","1.8","1.4","4.6","3.2","6.4","19.7","106","107",1986
"16","Kent Benson","C","31","DET","72","51","1344","6.9","14.2","0.484","0","0.1","0.5","6.9","14.2","0.484","2.3","2.8","0.795","4","8.8","12.9","2.7","2","1.7","2","6.7","16.1","110","104",1986
"17","Larry Bird*","SF","29","BOS","82","81","3113","12.1","24.5","0.496","1.2","3","0.423","10.9","21.5","0.506","6.7","7.5","0.896","2.9","9.4","12.3","8.5","2.5","0.8","4.1","2.8","32.2","117","99",1986
"18","Otis Birdsong","SG","30","NJN","77","74","2395","10.5","20.5","0.513","0.2","0.4","0.364","10.4","20.1","0.516","2.4","4.1","0.581","1.7","2.2","3.9","5.1","1.6","0.3","3.5","4.4","23.5","103","110",1986
"19","Uwe Blab","C","23","DAL","48","0","409","5.1","10.8","0.468","0","0","0","5.1","10.8","0.468","4.1","7.7","0.537","2.9","7.6","10.5","2","0.3","1.4","3.2","7.5","14.2","95","111",1986
"20","Rolando Blackman","SG","26","DAL","82","81","2787","11.4","22.2","0.514","0.1","0.5","0.138","11.3","21.7","0.522","6.8","8.1","0.836","1.5","3.4","4.9","4.6","1.3","0.4","3.2","2.3","29.7","114","113",1986
"21","Manute Bol","C","23","WSB","80","60","2090","3","6.4","0.46","0","0","0","3","6.4","0.462","1","2","0.488","2.9","8.2","11.1","0.5","0.6","9.2","1.5","5.9","6.9","95","99",1986
"22","Sam Bowie","C","24","POR","38","34","1132","6.8","14","0.484","0","0","0","6.8","14","0.484","4.6","6.5","0.708","3.8","9.5","13.3","4","0.9","3.9","3.6","5.8","18.2","106","105",1986
"23","Dudley Bradley","SG","28","WSB","70","7","842","4.2","12","0.349","1","3.9","0.25","3.2","8.1","0.397","1.8","3.2","0.571","1.4","4.1","5.5","6.2","4.9","0.2","2.5","5.8","11.2","91","101",1986
"24","Mike Bratz","PG","30","SAC","33","0","269","4.5","12.2","0.371","0.7","2.4","0.286","3.8","9.8","0.393","2.4","3.1","0.778","0.3","3.7","4","6.8","2.3","0","3","7.5","12.2","94","109",1986
