"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","ORtg","DRtg","Yr"
"1","Mark Acres","C","27","ORL","80","50","1691","3.8","7.8","0.484","0.1","0.1","0.75","3.7","7.7","0.48","2.3","3.3","0.692","4.2","7.6","11.7","1.8","1","0.7","1.9","6.8","9.9","110","114",1990
"2","Michael Adams","PG","27","DEN","79","74","2690","6.7","16.7","0.402","2.7","7.3","0.366","4.1","9.4","0.431","4.5","5.3","0.85","0.8","3","3.8","8.4","2","0.1","2.4","2.3","20.7","114","109",1990
"3","Mark Aguirre","SF","30","DET","78","40","2005","11.1","22.8","0.488","0.8","2.4","0.333","10.3","20.4","0.506","4.9","6.4","0.756","3","4.8","7.7","3.7","0.9","0.5","3.1","5.1","27.9","111","106",1990
"4","Danny Ainge","PG","30","SAC","75","68","2727","9.2","21","0.438","2","5.3","0.374","7.2","15.7","0.46","4","4.9","0.831","1.3","4.7","5.9","8.2","2.1","0.3","3.4","4.3","24.4","107","110",1990
"5","Mark Alarie","PF","26","WSB","82","10","1893","9.5","20","0.473","0.3","1.3","0.204","9.2","18.8","0.49","2.8","3.4","0.812","3.9","5.7","9.5","3.6","1.5","1","2.6","5.6","21.9","106","110",1990
"6","Steve Alford","PG","25","DAL","41","0","302","10.6","23.2","0.457","1.2","3.7","0.318","9.4","19.5","0.483","5.9","6.2","0.946","0.3","3.9","4.2","6.6","2.5","0.5","2.7","3.7","28.3","113","108",1990
"7","Randy Allen","SG","25","SAC","63","6","746","7.1","15.9","0.444","0","0.5","0","7.1","15.4","0.457","1.5","2.9","0.535","3.3","5.9","9.2","1.5","1.1","1.3","1.9","6.8","15.6","95","111",1990
"8","Greg Anderson","PF","25","MIL","60","28","1291","8.3","16.4","0.507","0","0","0","8.3","16.4","0.507","3.5","6.4","0.535","4.2","9.9","14.1","0.9","1.2","2","3","6.7","20.1","101","105",1990
"9","Nick Anderson","SG","22","ORL","81","9","1785","9.6","19.4","0.494","0","0.4","0.059","9.6","19","0.504","4.8","6.8","0.705","2.8","5.4","8.2","3.2","1.8","0.9","3.6","3.6","24","105","114",1990
"10","Richard Anderson","PF","29","CHH","54","2","604","7.1","17.1","0.417","3","8.1","0.37","4.1","9","0.459","1.5","1.9","0.783","2.7","7.6","10.3","4.5","1.6","0.7","2.1","5.2","18.7","106","109",1990
"11","Ron Anderson","SF","31","PHI","78","3","2089","9","20","0.451","0.1","0.5","0.143","9","19.5","0.459","3.9","4.7","0.838","1.9","5.1","7","3.4","1.7","0.3","1.9","3.4","22","108","110",1990
"12","Willie Anderson","SG","23","SAS","82","81","2788","9.3","18.9","0.492","0.1","0.5","0.269","9.2","18.5","0.497","3.8","5.1","0.748","2","4.5","6.5","6.4","1.9","1","3.5","4.4","22.5","108","106",1990
"13","Michael Ansley","SF","22","ORL","72","5","1221","8.7","17.6","0.497","0","0","0","8.7","17.6","0.497","6.2","8.6","0.722","7.1","6.6","13.7","1.5","0.9","0.6","1.9","5.7","23.6","120","115",1990
"14","B.J. Armstrong","PG","22","CHI","81","0","1291","7.3","15.1","0.485","0.1","0.2","0.5","7.2","14.8","0.484","2.7","3","0.885","0.7","3.2","3.9","7.6","1.8","0.2","3.2","4","17.4","107","112",1990
"15","John Bagley","PG","29","BOS","54","17","1095","4.5","9.7","0.459","0","0.8","0.056","4.4","8.9","0.495","1.3","1.7","0.744","1.2","2.8","4","13.2","1.8","0.2","4","3.4","10.3","102","111",1990
"16","Thurl Bailey","SF","28","UTA","82","33","2583","9.1","18.9","0.481","0","0.2","0","9.1","18.7","0.485","4.3","5.5","0.779","2.2","5.7","7.9","2.6","0.6","1.9","2.7","3.4","22.5","105","108",1990
"17","Ken Bannister","PF","29","LAC","52","1","589","6.3","13.2","0.478","0","0.1","0","6.3","13.1","0.481","4.3","9","0.473","3.2","6","9.2","1.5","1.4","0.6","3.6","7.6","16.9","92","109",1990
"18","Charles Barkley*","SF","26","PHI","79","79","3085","11.4","19","0.6","0.3","1.5","0.217","11.1","17.5","0.632","9","12","0.749","5.8","8.8","14.7","4.9","2.4","0.8","3.9","4","32.1","128","105",1990
"19","Dana Barros","PG","22","SEA","81","25","1630","9.2","22.8","0.405","2.9","7.4","0.399","6.3","15.4","0.408","2.7","3.4","0.809","1.1","3","4.1","6.3","1.6","0","3.8","3","24.2","104","113",1990
"20","John Battle","SG","27","ATL","60","48","1477","9.3","18.4","0.506","0.1","0.4","0.154","9.3","18","0.514","3.5","4.6","0.756","0.9","2.4","3.4","5.2","0.9","0.1","3","3.9","22.2","110","117",1990
"21","Kenny Battle","SG","25","PHO","59","8","729","6.1","11.1","0.547","0.1","0.3","0.25","6","10.9","0.554","3.6","5.4","0.671","2.9","5.2","8.1","2.5","2.3","0.7","2.1","6.1","15.8","116","106",1990
"22","William Bedford","C","26","DET","42","0","246","11.2","25.8","0.432","0.2","1.2","0.167","11","24.6","0.445","1.9","4.5","0.409","3.1","8.9","12","0.8","0.6","3.5","4.3","8.1","24.4","85","101",1990
"23","Benoit Benjamin","C","25","LAC","71","58","2313","7.6","14.4","0.526","0","0","0","7.6","14.4","0.527","4.9","6.7","0.732","3.3","10.5","13.7","3.3","1.2","3.9","3.9","4.5","20.1","106","103",1990
