"","Tm","W"
"1","Milwaukee Bucks",12
"2","Baltimore Bullets",8
"3","New York Knicks",7
"4","Los Angeles Lakers",5
"5","Chicago Bulls",3
"6","Philadelphia 76ers",3
"7","Atlanta Hawks",1
"8","San Francisco Warriors",1
