"","Tm","W"
"1","Miami Heat",16
"2","Dallas Mavericks",14
"3","Detroit Pistons",10
"4","Phoenix Suns",10
"5","Cleveland Cavaliers",7
"6","Los Angeles Clippers",7
"7","San Antonio Spurs",7
"8","New Jersey Nets",5
"9","Los Angeles Lakers",3
"10","Chicago Bulls",2
"11","Indiana Pacers",2
"12","Sacramento Kings",2
"13","Washington Wizards",2
"14","Denver Nuggets",1
"15","Milwaukee Bucks",1
