"","Tm","W"
"1","Miami Heat",16
"2","Oklahoma City Thunder",13
"3","Boston Celtics",11
"4","San Antonio Spurs",10
"5","Philadelphia 76ers",7
"6","Indiana Pacers",6
"7","Los Angeles Lakers",5
"8","Los Angeles Clippers",4
"9","Denver Nuggets",3
"10","Memphis Grizzlies",3
"11","Atlanta Hawks",2
"12","Chicago Bulls",2
"13","New York Knicks",1
"14","Orlando Magic",1
