"","Tm","W"
"1","Los Angeles Lakers",12
"2","New York Knicks",9
"3","Milwaukee Bucks",6
"4","Boston Celtics",5
"5","Atlanta Hawks",2
"6","Baltimore Bullets",2
"7","Golden State Warriors",1
