"","Tm","W"
"1","Los Angeles Lakers",16
"2","Orlando Magic",13
"3","Cleveland Cavaliers",10
"4","Denver Nuggets",10
"5","Boston Celtics",7
"6","Houston Rockets",7
"7","Dallas Mavericks",5
"8","Atlanta Hawks",4
"9","Chicago Bulls",3
"10","Miami Heat",3
"11","Philadelphia 76ers",2
"12","Portland Trail Blazers",2
"13","New Orleans Hornets",1
"14","San Antonio Spurs",1
"15","Utah Jazz",1
