"","Tm","W"
"1","Boston Celtics",12
"2","Phoenix Suns",10
"3","Golden State Warriors",7
"4","Cleveland Cavaliers",6
"5","Buffalo Braves",4
"6","Detroit Pistons",4
"7","Washington Bullets",3
"8","Seattle SuperSonics",2
"9","Milwaukee Bucks",1
"10","Philadelphia 76ers",1
