"","Tm","W"
"1","San Antonio Spurs",16
"2","New Jersey Nets",14
"3","Dallas Mavericks",10
"4","Detroit Pistons",8
"5","Sacramento Kings",7
"6","Los Angeles Lakers",6
"7","Philadelphia 76ers",6
"8","Boston Celtics",4
"9","Orlando Magic",3
"10","Portland Trail Blazers",3
"11","Indiana Pacers",2
"12","Milwaukee Bucks",2
"13","Minnesota Timberwolves",2
"14","New Orleans Hornets",2
"15","Phoenix Suns",2
"16","Utah Jazz",1
