"","Tm","W"
"1","San Antonio Spurs",16
"2","Detroit Pistons",15
"3","Miami Heat",11
"4","Phoenix Suns",9
"5","Dallas Mavericks",6
"6","Indiana Pacers",6
"7","Seattle SuperSonics",6
"8","Washington Wizards",4
"9","Boston Celtics",3
"10","Houston Rockets",3
"11","Chicago Bulls",2
"12","Denver Nuggets",1
"13","Philadelphia 76ers",1
"14","Sacramento Kings",1
