"","Tm","W"
"1","Los Angeles Lakers",15
"2","New Jersey Nets",11
"3","Sacramento Kings",10
"4","Boston Celtics",9
"5","Charlotte Hornets",4
"6","Dallas Mavericks",4
"7","Detroit Pistons",4
"8","San Antonio Spurs",4
"9","Indiana Pacers",2
"10","Philadelphia 76ers",2
"11","Seattle SuperSonics",2
"12","Toronto Raptors",2
"13","Orlando Magic",1
"14","Utah Jazz",1
