"","Tm","W"
"1","Golden State Warriors",16
"2","Cleveland Cavaliers",14
"3","Houston Rockets",9
"4","Atlanta Hawks",8
"5","Los Angeles Clippers",7
"6","Chicago Bulls",6
"7","Memphis Grizzlies",6
"8","Washington Wizards",6
"9","San Antonio Spurs",3
"10","Brooklyn Nets",2
"11","Milwaukee Bucks",2
"12","Dallas Mavericks",1
"13","Portland Trail Blazers",1
