"","Tm","W"
"1","Los Angeles Lakers",15
"2","Detroit Pistons",14
"3","Dallas Mavericks",10
"4","Boston Celtics",9
"5","Atlanta Hawks",6
"6","Utah Jazz",6
"7","Denver Nuggets",5
"8","Chicago Bulls",4
"9","Cleveland Cavaliers",2
"10","Milwaukee Bucks",2
"11","Seattle SuperSonics",2
"12","Washington Bullets",2
"13","Houston Rockets",1
"14","New York Knicks",1
"15","Portland Trail Blazers",1
