"","Tm","W"
"1","Golden State Warriors",16
"2","Cleveland Cavaliers",13
"3","Boston Celtics",9
"4","San Antonio Spurs",8
"5","Washington Wizards",7
"6","Houston Rockets",6
"7","Toronto Raptors",4
"8","Utah Jazz",4
"9","Los Angeles Clippers",3
"10","Atlanta Hawks",2
"11","Chicago Bulls",2
"12","Memphis Grizzlies",2
"13","Milwaukee Bucks",2
"14","Oklahoma City Thunder",1
