"","Tm","W"
"1","Toronto Raptors",16
"2","Golden State Warriors",14
"3","Milwaukee Bucks",10
"4","Portland Trail Blazers",8
"5","Denver Nuggets",7
"6","Philadelphia 76ers",7
"7","Houston Rockets",6
"8","Boston Celtics",5
"9","San Antonio Spurs",3
"10","Los Angeles Clippers",2
"11","Brooklyn Nets",1
"12","Oklahoma City Thunder",1
"13","Orlando Magic",1
"14","Utah Jazz",1
