"","Tm","W"
"1","San Antonio Spurs",16
"2","Miami Heat",13
"3","Indiana Pacers",10
"4","Oklahoma City Thunder",10
"5","Los Angeles Clippers",6
"6","Washington Wizards",6
"7","Brooklyn Nets",5
"8","Portland Trail Blazers",5
"9","Atlanta Hawks",3
"10","Dallas Mavericks",3
"11","Golden State Warriors",3
"12","Memphis Grizzlies",3
"13","Toronto Raptors",3
"14","Houston Rockets",2
"15","Chicago Bulls",1
