"","Tm","W"
"1","Dallas Mavericks",16
"2","Miami Heat",14
"3","Chicago Bulls",9
"4","Oklahoma City Thunder",9
"5","Memphis Grizzlies",7
"6","Atlanta Hawks",6
"7","Boston Celtics",5
"8","Los Angeles Lakers",4
"9","New Orleans Hornets",2
"10","Orlando Magic",2
"11","Portland Trail Blazers",2
"12","San Antonio Spurs",2
"13","Denver Nuggets",1
"14","Indiana Pacers",1
"15","Philadelphia 76ers",1
