"","Tm","W"
"1","Boston Celtics",12
"2","Houston Rockets",12
"3","Philadelphia 76ers",9
"4","Kansas City Kings",7
"5","Milwaukee Bucks",3
"6","Phoenix Suns",3
"7","San Antonio Spurs",3
"8","Chicago Bulls",2
"9","Los Angeles Lakers",1
"10","Portland Trail Blazers",1
