"","Tm","W"
"1","Golden State Warriors",12
"2","Washington Bullets",8
"3","Chicago Bulls",7
"4","Boston Celtics",6
"5","Seattle SuperSonics",4
"6","Buffalo Braves",3
"7","Houston Rockets",3
"8","Kansas City-Omaha Kings",2
"9","Detroit Pistons",1
"10","New York Knicks",1
