"","Tm","W"
"1","Seattle SuperSonics",12
"2","Phoenix Suns",9
"3","Washington Bullets",9
"4","San Antonio Spurs",7
"5","Atlanta Hawks",5
"6","Philadelphia 76ers",5
"7","Los Angeles Lakers",3
"8","Denver Nuggets",1
"9","Kansas City Kings",1
"10","Portland Trail Blazers",1
