"","Tm","W"
"1","Houston Rockets",15
"2","New York Knicks",14
"3","Indiana Pacers",10
"4","Utah Jazz",8
"5","Chicago Bulls",6
"6","Denver Nuggets",6
"7","Phoenix Suns",6
"8","Atlanta Hawks",5
"9","Miami Heat",2
"10","Seattle SuperSonics",2
"11","New Jersey Nets",1
"12","Portland Trail Blazers",1
"13","San Antonio Spurs",1
