"","Tm","W"
"1","Boston Celtics",15
"2","Houston Rockets",13
"3","Los Angeles Lakers",8
"4","Milwaukee Bucks",7
"5","Philadelphia 76ers",6
"6","Dallas Mavericks",5
"7","Denver Nuggets",5
"8","Atlanta Hawks",4
"9","Washington Bullets",2
"10","Detroit Pistons",1
"11","Portland Trail Blazers",1
"12","Utah Jazz",1
