"","Tm","W"
"1","Los Angeles Lakers",12
"2","Philadelphia 76ers",12
"3","Boston Celtics",7
"4","San Antonio Spurs",4
"5","Seattle SuperSonics",3
"6","Washington Bullets",3
"7","Milwaukee Bucks",2
"8","Phoenix Suns",2
"9","Denver Nuggets",1
"10","Houston Rockets",1
