"","Tm","W"
"1","Minneapolis Lakers",11
"2","Syracuse Nationals",6
"3","Anderson Packers",4
"4","Fort Wayne Pistons",3
"5","Indianapolis Olympians",3
"6","New York Knicks",3
"7","Sheboygan Red Skins",1
"8","Tri-Cities Blackhawks",1
