"","Tm","W"
"1","New York Knicks",12
"2","Los Angeles Lakers",11
"3","Milwaukee Bucks",5
"4","Atlanta Hawks",4
"5","Baltimore Bullets",3
"6","Phoenix Suns",3
"7","Chicago Bulls",1
"8","Philadelphia 76ers",1
