"","Tm","W"
"1","Boston Celtics",12
"2","Milwaukee Bucks",11
"3","New York Knicks",5
"4","Chicago Bulls",4
"5","Capital Bullets",3
"6","Detroit Pistons",3
"7","Buffalo Braves",2
"8","Los Angeles Lakers",1
