"","Tm","W"
"1","Boston Celtics",16
"2","Los Angeles Lakers",14
"3","Detroit Pistons",10
"4","San Antonio Spurs",9
"5","Cleveland Cavaliers",7
"6","New Orleans Hornets",7
"7","Utah Jazz",6
"8","Orlando Magic",5
"9","Atlanta Hawks",3
"10","Houston Rockets",2
"11","Philadelphia 76ers",2
"12","Washington Wizards",2
"13","Dallas Mavericks",1
"14","Phoenix Suns",1
"15","Toronto Raptors",1
