"","Tm","W"
"1","Golden State Warriors",16
"2","Cleveland Cavaliers",12
"3","Boston Celtics",11
"4","Houston Rockets",11
"5","New Orleans Pelicans",5
"6","Philadelphia 76ers",5
"7","Utah Jazz",5
"8","Toronto Raptors",4
"9","Indiana Pacers",3
"10","Milwaukee Bucks",3
"11","Oklahoma City Thunder",2
"12","Washington Wizards",2
"13","Miami Heat",1
"14","Minnesota Timberwolves",1
"15","San Antonio Spurs",1
