"","Tm","W"
"1","Detroit Pistons",15
"2","Portland Trail Blazers",12
"3","Chicago Bulls",10
"4","Phoenix Suns",9
"5","San Antonio Spurs",6
"6","Los Angeles Lakers",4
"7","New York Knicks",4
"8","Philadelphia 76ers",4
"9","Boston Celtics",2
"10","Cleveland Cavaliers",2
"11","Utah Jazz",2
"12","Houston Rockets",1
"13","Milwaukee Bucks",1
