"","Tm","W"
"1","Houston Rockets",15
"2","Orlando Magic",11
"3","Indiana Pacers",10
"4","San Antonio Spurs",9
"5","New York Knicks",6
"6","Phoenix Suns",6
"7","Chicago Bulls",5
"8","Los Angeles Lakers",5
"9","Utah Jazz",2
"10","Boston Celtics",1
"11","Charlotte Hornets",1
"12","Cleveland Cavaliers",1
"13","Seattle SuperSonics",1
