"","Tm","W"
"1","Boston Celtics",12
"2","Los Angeles Lakers",10
"3","Philadelphia 76ers",7
"4","San Francisco Warriors",4
"5","Detroit Pistons",2
"6","New York Knicks",2
"7","St. Louis Hawks",2
"8","Chicago Bulls",1
