"","Tm","W"
"1","San Antonio Spurs",15
"2","New York Knicks",12
"3","Indiana Pacers",9
"4","Portland Trail Blazers",7
"5","Utah Jazz",5
"6","Atlanta Hawks",3
"7","Los Angeles Lakers",3
"8","Philadelphia 76ers",3
"9","Detroit Pistons",2
"10","Miami Heat",2
"11","Sacramento Kings",2
"12","Houston Rockets",1
"13","Minnesota Timberwolves",1
"14","Orlando Magic",1
