"","Tm","W"
"1","Cleveland Cavaliers",16
"2","Golden State Warriors",15
"3","Oklahoma City Thunder",11
"4","Toronto Raptors",10
"5","Miami Heat",7
"6","San Antonio Spurs",6
"7","Portland Trail Blazers",5
"8","Atlanta Hawks",4
"9","Charlotte Hornets",3
"10","Indiana Pacers",3
"11","Boston Celtics",2
"12","Los Angeles Clippers",2
"13","Dallas Mavericks",1
"14","Houston Rockets",1
