"","Tm","W"
"1","Chicago Bulls",15
"2","Phoenix Suns",13
"3","Seattle SuperSonics",10
"4","New York Knicks",9
"5","Houston Rockets",6
"6","San Antonio Spurs",5
"7","Charlotte Hornets",4
"8","Cleveland Cavaliers",3
"9","Los Angeles Clippers",2
"10","Los Angeles Lakers",2
"11","New Jersey Nets",2
"12","Utah Jazz",2
"13","Boston Celtics",1
"14","Indiana Pacers",1
"15","Portland Trail Blazers",1
