"","Tm","W"
"1","Los Angeles Lakers",16
"2","Boston Celtics",15
"3","Orlando Magic",10
"4","Phoenix Suns",10
"5","Cleveland Cavaliers",6
"6","Atlanta Hawks",4
"7","San Antonio Spurs",4
"8","Utah Jazz",4
"9","Milwaukee Bucks",3
"10","Dallas Mavericks",2
"11","Denver Nuggets",2
"12","Oklahoma City Thunder",2
"13","Portland Trail Blazers",2
"14","Chicago Bulls",1
"15","Miami Heat",1
